,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME
0,TU000017040,2021-01,41.0331,40.5167,9.0,"RIZE, TU"
1,TU000017040,2021-03,41.0331,40.5167,9.0,"RIZE, TU"
2,TU000017040,2021-04,41.0331,40.5167,9.0,"RIZE, TU"
3,TU000017040,2021-05,41.0331,40.5167,9.0,"RIZE, TU"
4,TU000017040,2021-06,41.0331,40.5167,9.0,"RIZE, TU"
5,TU000017040,2021-07,41.0331,40.5167,9.0,"RIZE, TU"
6,TU000017040,2021-08,41.0331,40.5167,9.0,"RIZE, TU"
7,TU000017040,2021-09,41.0331,40.5167,9.0,"RIZE, TU"
8,TU000017040,2021-10,41.0331,40.5167,9.0,"RIZE, TU"
9,TU000017040,2021-11,41.0331,40.5167,9.0,"RIZE, TU"
10,TU000017040,2021-12,41.0331,40.5167,9.0,"RIZE, TU"
11,TU000017040,2022-01,41.0331,40.5167,9.0,"RIZE, TU"
12,TU000017040,2022-02,41.0331,40.5167,9.0,"RIZE, TU"
13,TU000017040,2022-03,41.0331,40.5167,9.0,"RIZE, TU"
14,TU000017040,2022-04,41.0331,40.5167,9.0,"RIZE, TU"
15,TU000017040,2022-05,41.0331,40.5167,9.0,"RIZE, TU"
16,TU000017040,2022-06,41.0331,40.5167,9.0,"RIZE, TU"
17,TU000017040,2022-07,41.0331,40.5167,9.0,"RIZE, TU"
18,TU000017040,2022-08,41.0331,40.5167,9.0,"RIZE, TU"
19,TU000017040,2022-10,41.0331,40.5167,9.0,"RIZE, TU"
20,TU000017040,2022-11,41.0331,40.5167,9.0,"RIZE, TU"
21,TU000017040,2022-12,41.0331,40.5167,9.0,"RIZE, TU"
22,TU000017074,2021-05,41.3667,33.7831,800.0,"KASTAMONU, TU"
23,TU000017074,2021-06,41.3667,33.7831,800.0,"KASTAMONU, TU"
24,TU000017074,2021-07,41.3667,33.7831,800.0,"KASTAMONU, TU"
25,TU000017074,2021-08,41.3667,33.7831,800.0,"KASTAMONU, TU"
26,TU000017074,2021-09,41.3667,33.7831,800.0,"KASTAMONU, TU"
27,TU000017074,2021-10,41.3667,33.7831,800.0,"KASTAMONU, TU"
28,TU000017074,2021-11,41.3667,33.7831,800.0,"KASTAMONU, TU"
29,TU000017074,2022-01,41.3667,33.7831,800.0,"KASTAMONU, TU"
30,TU000017074,2022-02,41.3667,33.7831,800.0,"KASTAMONU, TU"
31,TU000017074,2022-03,41.3667,33.7831,800.0,"KASTAMONU, TU"
32,TU000017074,2022-04,41.3667,33.7831,800.0,"KASTAMONU, TU"
33,TU000017074,2022-05,41.3667,33.7831,800.0,"KASTAMONU, TU"
34,TU000017074,2022-06,41.3667,33.7831,800.0,"KASTAMONU, TU"
35,TU000017074,2022-07,41.3667,33.7831,800.0,"KASTAMONU, TU"
36,TU000017074,2022-08,41.3667,33.7831,800.0,"KASTAMONU, TU"
37,TU000017074,2022-09,41.3667,33.7831,800.0,"KASTAMONU, TU"
38,TU000017074,2022-10,41.3667,33.7831,800.0,"KASTAMONU, TU"
39,TU000017074,2022-11,41.3667,33.7831,800.0,"KASTAMONU, TU"
40,TU000017090,2021-01,39.75,37.0167,1285.0,"SIVAS, TU"
41,TU000017090,2021-02,39.75,37.0167,1285.0,"SIVAS, TU"
