"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AGM00060444","1980-08","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19800830",",5,S","","","","","12.0","5,S,30,","","","","","","","","","","","","","","","17.81","5,,,S"
"AGM00060444","1980-09","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","114.3","4,S","","","","","","","0","3,S","0","3,S","0","4,S","26","4,S","2","4,S","19800927","+,3,S","","","19800903","+,4,S","12.0","3,S,27,+","","","33.0","4,S,03,+","","","0.0","4,S","","","22.70","4,S","29.62","4,,,S","15.78","3,,,S"
"AGM00060444","1981-01","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","5,S","14","5,S","0","5,S","0","5,S","0","5,S","19810113",",5,S","","","19810104",",5,S","-5.0","5,S,13,","","","14.0","5,S,04,","","","","","","","3.83","7,S","7.85","5,,,S","-0.19","5,,,S"
"AGM00060444","1981-02","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","","","","","0","5,S","1","5,S","0","5,S","","","","","19810225",",5,S","","","","","22.0","5,S,25,","","","","","","","","","10.78","5,,,S","",""
"AGM00060444","1981-03","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","3,S","1","3,S","0","4,S","5","4,S","0","4,S","19810319",",3,S","","","19810312","+,4,S","-3.0","3,S,19,","","","25.0","4,S,12,+","","","","","","","11.47","6,S","17.56","4,,,S","5.39","3,,,S"
"AGM00060444","1981-05","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","","","","","0","5,S","17","5,S","2","5,S","","","","","19810531",",5,S","","","","","35.0","5,S,31,","","","","","","","","","24.69","5,,,S","",""
"AGM00060444","1981-06","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","","","","","0","5,S","23","5,S","11","5,S","","","","","19810630","+,5,S","","","","","36.0","5,S,30,+","","","","","","","","","31.00","5,,,S","",""
"AGM00060444","1982-03","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","4,S","6","4,S","0","3,S","2","3,S","0","3,S","19820309",",4,S","","","19820329",",3,S","-2.2","4,S,09,","","","23.1","3,S,29,","","","","","","","8.59","6,S","14.10","3,,,S","3.09","4,,,S"
"AGM00060444","1982-04","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","","","","","0","4,S","5","4,S","0","4,S","","","","","19820412",",4,S","","","","","24.6","4,S,12,","","","","","","","","","16.25","4,,,S","",""
"AGM00060444","1982-06","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","147.1","4,S","","","","","","","0","4,S","0","4,S","0","3,S","27","3,S","10","3,S","19820628","+,4,S","","","19820625","+,3,S","12.0","4,S,28,+","","","38.0","3,S,25,+","","","0.0","3,S","","","23.99","4,S","31.67","3,,,S","16.30","4,,,S"
"AGM00060444","1982-07","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19820725",",5,S","","","","","14.1","5,S,25,","","","","","","","","","","","","","","","18.58","5,,,S"
"AGM00060444","1982-09","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","96.7","3,S","","","","","","","0","1,S","0","1,S","0","2,S","26","2,S","0","2,S","19820913","+,1,S","","","19820906",",2,S","10.9","1,S,13,+","","","32.0","2,S,06,","","","7.4","2,S","","","21.54","3,S","27.99","2,,,S","15.09","1,,,S"
"AGM00060444","1983-02","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","0.0","3,S","","","","","","","0","2,S","7","2,S","0","3,S","0","3,S","0","3,S","19830211",",2,S","","","19830201",",3,S","-3.3","2,S,11,","","","17.1","3,S,01,","","","314.9","3,S","","","5.73","3,S","10.13","3,,,S","1.33","2,,,S"
"AGM00060444","1983-03","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","0.0","5,S","","","","","","","0","2,S","6","2,S","0","5,S","0","5,S","0","5,S","19830305",",2,S","","","19830322",",5,S","-2.4","2,S,05,","","","20.7","5,S,22,","","","255.7","5,S","","","8.61","5,S","14.20","5,,,S","3.03","2,,,S"
"AGM00060444","1983-04","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","4,S","2","4,S","0","2,S","14","2,S","0","2,S","19830404",",4,S","","","19830411",",2,S","-2.2","4,S,04,","","","25.7","2,S,11,","","","","","","","12.89","6,S","19.82","2,,,S","5.96","4,,,S"
"AGM00060444","1983-05","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","4,S","0","4,S","","","","","","","19830524","+,4,S","","","","","3.9","4,S,24,+","","","","","","","","","","","","","","","10.28","4,,,S"
"AGM00060444","1983-06","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","108.3","4,S","","","","","","","0","2,S","0","2,S","0","4,S","25","4,S","11","4,S","19830615",",2,S","","","19830607",",4,S","7.0","2,S,15,","","","35.4","4,S,07,","","","3.9","4,S","","","22.37","4,S","30.09","4,,,S","14.65","2,,,S"
"AGM00060444","1983-08","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","","","","","0","5,S","26","5,S","17","5,S","","","","","19830808",",5,S","","","","","38.0","5,S,08,","","","","","","","","","32.88","5,,,S","",""
"AGM00060444","1983-09","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","92.7","4,S","","","","","","","0","3,S","0","3,S","0","2,S","27","2,S","1","2,S","19830929",",3,S","","","19830916",",2,S","8.2","3,S,29,","","","33.0","2,S,16,","","","7.3","2,S","","","21.55","4,S","28.60","2,,,S","14.51","3,,,S"
"AGM00060444","1983-10","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","","","","","0","5,S","19","5,S","0","5,S","","","","","19831011",",5,S","","","","","26.6","5,S,11,","","","","","","","","","22.19","5,,,S","",""
"AGM00060444","1984-01","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","5,S","6","5,S","0","4,S","0","4,S","0","4,S","19840112",",5,S","","","19840102",",4,S","-1.4","5,S,12,","","","14.5","4,S,02,","","","","","","","5.75","6,S","9.95","4,,,S","1.55","5,,,S"
"AGM00060444","1984-02","36.067","4.767","930.0","BORDJ BOU ARRERIDJ, AG","","","","","","","","","","","0","5,S","8","5,S","0","2,S","0","2,S","0","2,S","19840226",",5,S","","","19840228",",2,S","-4.2","5,S,26,","","","20.5","2,S,28,","","","","","","","5.27","6,S","9.27","2,,,S","1.26","5,,,S"
