"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00009979","1750-03","-33.7622","121.9336","58.0","CORAMUP, AS","2","2,a","0","2,a","0","2,a","17500327",",2,a","2.2","2,,a,27,","4.2","2,,,a"
"ASN00009979","1750-05","-33.7622","121.9336","58.0","CORAMUP, AS","3","1,a","2","1,a","0","1,a","17500529","+,1,a","3.0","1,,a,29,+","7.6","1,,,a"
"ASN00009979","2002-03","-33.7622","121.9336","58.0","CORAMUP, AS","4",",a","1",",a","0",",a","20020323",",,a","6.0",",,a,23,","10.8",",,,a"
"ASN00009979","2002-04","-33.7622","121.9336","58.0","CORAMUP, AS","7",",a","2",",a","0",",a","20020418",",,a","24.8",",,a,18,","42.6",",,,a"
"ASN00009979","2002-05","-33.7622","121.9336","58.0","CORAMUP, AS","3",",a","3",",a","0",",a","20020507",",,a","5.8",",,a,07,","15.2",",,,a"
"ASN00009979","2002-06","-33.7622","121.9336","58.0","CORAMUP, AS","7",",a","5",",a","0",",a","20020615",",,a","10.6",",,a,15,","39.4",",,,a"
"ASN00009979","2002-07","-33.7622","121.9336","58.0","CORAMUP, AS","9",",a","8",",a","1",",a","20020713",",,a","26.8",",,a,13,","90.6",",,,a"
"ASN00009979","2002-08","-33.7622","121.9336","58.0","CORAMUP, AS","5","2,a","3","2,a","1","2,a","20020827",",2,a","33.6","2,,a,27,","61.8",",a,,a"
"ASN00009979","2002-09","-33.7622","121.9336","58.0","CORAMUP, AS","5","4,a","5","4,a","0","4,a","20020912",",4,a","10.0","4,,a,12,","47.4",",a,,a"
"ASN00009979","2002-10","-33.7622","121.9336","58.0","CORAMUP, AS","4","3,a","3","3,a","0","3,a","20021018",",3,a","6.0","3,,a,18,","43.5",",a,,a"
"ASN00009979","2002-11","-33.7622","121.9336","58.0","CORAMUP, AS","3",",a","3",",a","0",",a","20021123","+,,a","16.0",",,a,23,+","36.0",",,,a"
"ASN00009979","2002-12","-33.7622","121.9336","58.0","CORAMUP, AS","5",",a","5",",a","0",",a","20021228",",,a","13.2",",,a,28,","31.2",",,,a"
"ASN00009979","2003-01","-33.7622","121.9336","58.0","CORAMUP, AS","1",",a","1",",a","0",",a","20030129",",,a","3.0",",,a,29,","3.0",",,,a"
"ASN00009979","2003-02","-33.7622","121.9336","58.0","CORAMUP, AS","6",",a","1",",a","0",",a","20030217",",,a","18.8",",,a,17,","24.6",",,,a"
"ASN00009979","2003-03","-33.7622","121.9336","58.0","CORAMUP, AS","3",",a","2",",a","0",",a","20030301",",,a","3.2",",,a,01,","7.2",",,,a"
"ASN00009979","2003-04","-33.7622","121.9336","58.0","CORAMUP, AS","6",",a","6",",a","1",",a","20030413",",,a","29.0",",,a,13,","57.4",",,,a"
