"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00C6-0530","1941-11","-21.05","-49.07","480.0","CATIGUA, BR","10",",I","9",",I","2",",I","19411112",",,I","50.5",",,I,12,","164.3",",,,I"
"BR00C6-0530","1941-12","-21.05","-49.07","480.0","CATIGUA, BR","15",",I","9",",I","0",",I","19411210","+,,I","21.0",",,I,10,+","98.5",",,,I"
"BR00C6-0530","1942-01","-21.05","-49.07","480.0","CATIGUA, BR","14",",I","11",",I","2",",I","19420120",",,I","34.7",",,I,20,","176.4",",,,I"
"BR00C6-0530","1942-02","-21.05","-49.07","480.0","CATIGUA, BR","13",",I","9",",I","2",",I","19420219",",,I","38.1",",,I,19,","165.8",",,,I"
"BR00C6-0530","1942-03","-21.05","-49.07","480.0","CATIGUA, BR","7",",I","4",",I","1",",I","19420303",",,I","47.4",",,I,03,","100.2",",,,I"
"BR00C6-0530","1942-04","-21.05","-49.07","480.0","CATIGUA, BR","5",",I","4",",I","2",",I","19420405",",,I","66.8",",,I,05,","153.6",",,,I"
"BR00C6-0530","1942-05","-21.05","-49.07","480.0","CATIGUA, BR","4",",I","1",",I","0",",I","19420507",",,I","18.0",",,I,07,","20.4",",,,I"
"BR00C6-0530","1942-06","-21.05","-49.07","480.0","CATIGUA, BR","3",",I","0",",I","0",",I","19420609",",,I","0.4",",,I,09,","1.4",",,,I"
"BR00C6-0530","1942-07","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19420720","+,,I","0.1",",,I,20,+","0.6",",,,I"
"BR00C6-0530","1942-08","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19420831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00C6-0530","1942-09","-21.05","-49.07","480.0","CATIGUA, BR","4",",I","3",",I","0",",I","19420905",",,I","20.5",",,I,05,","28.9",",,,I"
"BR00C6-0530","1942-10","-21.05","-49.07","480.0","CATIGUA, BR","8",",I","7",",I","2",",I","19421029","+,,I","40.0",",,I,29,+","129.1",",,,I"
"BR00C6-0530","1942-11","-21.05","-49.07","480.0","CATIGUA, BR","10",",I","7",",I","1",",I","19421127",",,I","36.1",",,I,27,","101.1",",,,I"
"BR00C6-0530","1942-12","-21.05","-49.07","480.0","CATIGUA, BR","14",",I","14",",I","3",",I","19421221",",,I","39.0",",,I,21,","170.1",",,,I"
"BR00C6-0530","1943-01","-21.05","-49.07","480.0","CATIGUA, BR","17",",I","16",",I","6",",I","19430108",",,I","66.1",",,I,08,","433.5",",,,I"
"BR00C6-0530","1943-02","-21.05","-49.07","480.0","CATIGUA, BR","14",",I","10",",I","3",",I","19430215",",,I","60.7",",,I,15,","265.8",",,,I"
"BR00C6-0530","1943-03","-21.05","-49.07","480.0","CATIGUA, BR","13",",I","12",",I","3",",I","19430309",",,I","42.8",",,I,09,","226.3",",,,I"
"BR00C6-0530","1943-04","-21.05","-49.07","480.0","CATIGUA, BR","2",",I","2",",I","0",",I","19430415",",,I","4.0",",,I,15,","6.5",",,,I"
"BR00C6-0530","1943-05","-21.05","-49.07","480.0","CATIGUA, BR","1",",I","1",",I","0",",I","19430502",",,I","15.5",",,I,02,","15.5",",,,I"
"BR00C6-0530","1943-06","-21.05","-49.07","480.0","CATIGUA, BR","3",",I","3",",I","1",",I","19430608",",,I","36.8",",,I,08,","48.8",",,,I"
"BR00C6-0530","1943-07","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19430731","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00C6-0530","1943-08","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19430805",",,I","0.1",",,I,05,","0.1",",,,I"
"BR00C6-0530","1943-09","-21.05","-49.07","480.0","CATIGUA, BR","5",",I","5",",I","1",",I","19430924",",,I","25.4",",,I,24,","68.5",",,,I"
"BR00C6-0530","1943-10","-21.05","-49.07","480.0","CATIGUA, BR","11",",I","10",",I","4",",I","19431013",",,I","30.4",",,I,13,","189.1",",,,I"
"BR00C6-0530","1943-11","-21.05","-49.07","480.0","CATIGUA, BR","6",",I","6",",I","1",",I","19431119",",,I","30.6",",,I,19,","116.0",",,,I"
"BR00C6-0530","1943-12","-21.05","-49.07","480.0","CATIGUA, BR","11",",I","11",",I","1",",I","19431225",",,I","55.0",",,I,25,","184.7",",,,I"
"BR00C6-0530","1944-01","-21.05","-49.07","480.0","CATIGUA, BR","14",",I","14",",I","1",",I","19440124",",,I","34.1",",,I,24,","159.6",",,,I"
"BR00C6-0530","1944-02","-21.05","-49.07","480.0","CATIGUA, BR","11",",I","9",",I","2",",I","19440218",",,I","54.4",",,I,18,","158.7",",,,I"
"BR00C6-0530","1944-03","-21.05","-49.07","480.0","CATIGUA, BR","11",",I","9",",I","1",",I","19440318",",,I","65.0",",,I,18,","164.9",",,,I"
"BR00C6-0530","1944-04","-21.05","-49.07","480.0","CATIGUA, BR","5",",I","4",",I","1",",I","19440421",",,I","63.7",",,I,21,","94.9",",,,I"
"BR00C6-0530","1944-05","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19440531","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00C6-0530","1944-06","-21.05","-49.07","480.0","CATIGUA, BR","1",",I","0",",I","0",",I","19440605",",,I","1.2",",,I,05,","1.2",",,,I"
"BR00C6-0530","1944-07","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19440731","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00C6-0530","1944-08","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19440831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00C6-0530","1944-09","-21.05","-49.07","480.0","CATIGUA, BR","1",",I","0",",I","0",",I","19440908",",,I","0.5",",,I,08,","0.5",",,,I"
"BR00C6-0530","1944-10","-21.05","-49.07","480.0","CATIGUA, BR","9",",I","8",",I","1",",I","19441013",",,I","40.6",",,I,13,","88.6",",,,I"
"BR00C6-0530","1944-11","-21.05","-49.07","480.0","CATIGUA, BR","13",",I","9",",I","0",",I","19441124","+,,I","10.0",",,I,24,+","64.1",",,,I"
"BR00C6-0530","1944-12","-21.05","-49.07","480.0","CATIGUA, BR","2",",I","2",",I","1",",I","19441206",",,I","31.0",",,I,06,","34.7",",,,I"
"BR00C6-0530","1945-01","-21.05","-49.07","480.0","CATIGUA, BR","9",",I","7",",I","2",",I","19450130",",,I","41.3",",,I,30,","129.2",",,,I"
"BR00C6-0530","1945-02","-21.05","-49.07","480.0","CATIGUA, BR","15",",I","14",",I","3",",I","19450212",",,I","82.0",",,I,12,","297.8",",,,I"
"BR00C6-0530","1945-03","-21.05","-49.07","480.0","CATIGUA, BR","11",",I","9",",I","1",",I","19450321",",,I","27.7",",,I,21,","115.5",",,,I"
"BR00C6-0530","1945-04","-21.05","-49.07","480.0","CATIGUA, BR","3",",I","2",",I","0",",I","19450430",",,I","18.6",",,I,30,","32.3",",,,I"
"BR00C6-0530","1945-05","-21.05","-49.07","480.0","CATIGUA, BR","0",",I","0",",I","0",",I","19450531","+,,I","0.2",",,I,31,+","0.5",",,,I"
"BR00C6-0530","1945-06","-21.05","-49.07","480.0","CATIGUA, BR","2",",I","2",",I","0",",I","19450606",",,I","3.5",",,I,06,","6.3",",,,I"
"BR00C6-0530","1945-07","-21.05","-49.07","480.0","CATIGUA, BR","3",",I","2",",I","0",",I","19450705",",,I","21.2",",,I,05,","27.8",",,,I"
"BR00C6-0530","1945-08","-21.05","-49.07","480.0","CATIGUA, BR","1",",I","1",",I","0",",I","19450831",",,I","4.1",",,I,31,","4.1",",,,I"
"BR00C6-0530","1945-09","-21.05","-49.07","480.0","CATIGUA, BR","3",",I","2",",I","1",",I","19450916",",,I","26.5",",,I,16,","34.2",",,,I"
"BR00C6-0530","1945-10","-21.05","-49.07","480.0","CATIGUA, BR","7",",I","6",",I","1",",I","19451005",",,I","31.1",",,I,05,","98.1",",,,I"
"BR00C6-0530","1945-11","-21.05","-49.07","480.0","CATIGUA, BR","16",",I","16",",I","1",",I","19451102",",,I","30.0",",,I,02,","203.7",",,,I"
