"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00D5-0050","1936-01","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","10",",I","6",",I","2",",I","19360111",",,I","34.0",",,I,11,","130.4",",,,I"
"BR00D5-0050","1936-02","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","11",",I","6",",I","0",",I","19360218",",,I","23.8",",,I,18,","75.1",",,,I"
"BR00D5-0050","1936-03","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","10",",I","4",",I","2",",I","19360304",",,I","54.0",",,I,04,","110.2",",,,I"
"BR00D5-0050","1936-04","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","9",",I","4",",I","1",",I","19360413",",,I","36.6",",,I,13,","64.9",",,,I"
"BR00D5-0050","1936-05","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","2",",I","0",",I","0",",I","19360529",",,I","1.1",",,I,29,","2.1",",,,I"
"BR00D5-0050","1936-06","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","0",",I","0",",I","0",",I","19360630","+,,I","0.0",",,I,30,+","0.0",",,,I"
"BR00D5-0050","1936-07","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","0",",I","0",",I","0",",I","19360731","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00D5-0050","1936-08","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","11",",I","7",",I","0",",I","19360826",",,I","10.3",",,I,26,","50.5",",,,I"
"BR00D5-0050","1936-09","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","6",",I","5",",I","0",",I","19360924",",,I","15.2",",,I,24,","45.9",",,,I"
"BR00D5-0050","1936-10","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","3",",I","2",",I","0",",I","19361018",",,I","5.0",",,I,18,","10.2",",,,I"
"BR00D5-0050","1936-11","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","11",",I","8",",I","1",",I","19361104",",,I","36.2",",,I,04,","119.7",",,,I"
"BR00D5-0050","1936-12","-22.37","-48.85","476.0","PEDERNEIRAS CPEF D5 005, BR","15",",I","13",",I","3",",I","19361203",",,I","44.5",",,I,03,","256.6",",,,I"
