"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BR00E4-0280","1937-01","-23.83","-47.65","710.0","USINA BATISTA, BR","13",",I","12",",I","4",",I","19370110",",,I","83.0",",,I,10,","323.7",",,,I"
"BR00E4-0280","1937-02","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","5",",I","1",",I","19370208",",,I","38.0",",,I,08,","97.4",",,,I"
"BR00E4-0280","1944-04","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","3",",I","0",",I","19440411",",,I","16.0",",,I,11,","26.4",",,,I"
"BR00E4-0280","1944-05","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","2",",I","0",",I","19440516","+,,I","6.0",",,I,16,+","12.0",",,,I"
"BR00E4-0280","1944-06","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","1",",I","0",",I","19440627",",,I","7.3",",,I,27,","9.3",",,,I"
"BR00E4-0280","1944-07","-23.83","-47.65","710.0","USINA BATISTA, BR","1",",I","1",",I","0",",I","19440706",",,I","6.0",",,I,06,","6.0",",,,I"
"BR00E4-0280","1944-08","-23.83","-47.65","710.0","USINA BATISTA, BR","0",",I","0",",I","0",",I","19440831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00E4-0280","1944-09","-23.83","-47.65","710.0","USINA BATISTA, BR","4",",I","3",",I","0",",I","19440908",",,I","8.0",",,I,08,","18.9",",,,I"
"BR00E4-0280","1944-10","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","6",",I","0",",I","19441017",",,I","23.0",",,I,17,","60.6",",,,I"
"BR00E4-0280","1944-11","-23.83","-47.65","710.0","USINA BATISTA, BR","10",",I","9",",I","1",",I","19441108",",,I","38.7",",,I,08,","138.2",",,,I"
"BR00E4-0280","1944-12","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","3",",I","1",",I","19441210",",,I","34.0",",,I,10,","65.2",",,,I"
"BR00E4-0280","1945-01","-23.83","-47.65","710.0","USINA BATISTA, BR","14",",I","11",",I","5",",I","19450130",",,I","50.0",",,I,30,","298.2",",,,I"
"BR00E4-0280","1945-02","-23.83","-47.65","710.0","USINA BATISTA, BR","21",",I","18",",I","2",",I","19450201",",,I","76.1",",,I,01,","253.4",",,,I"
"BR00E4-0280","1945-03","-23.83","-47.65","710.0","USINA BATISTA, BR","13",",I","11",",I","3",",I","19450309",",,I","71.1",",,I,09,","217.7",",,,I"
"BR00E4-0280","1945-04","-23.83","-47.65","710.0","USINA BATISTA, BR","9",",I","3",",I","1",",I","19450420",",,I","33.0",",,I,20,","48.5",",,,I"
"BR00E4-0280","1945-05","-23.83","-47.65","710.0","USINA BATISTA, BR","4",",I","2",",I","0",",I","19450518",",,I","9.0",",,I,18,","13.7",",,,I"
"BR00E4-0280","1945-06","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","6",",I","2",",I","19450623",",,I","72.0",",,I,23,","162.5",",,,I"
"BR00E4-0280","1947-01","-23.83","-47.65","710.0","USINA BATISTA, BR","24",",I","17",",I","7",",I","19470109",",,I","44.7",",,I,09,","387.7",",,,I"
"BR00E4-0280","1947-02","-23.83","-47.65","710.0","USINA BATISTA, BR","11",",I","9",",I","2",",I","19470215",",,I","33.5",",,I,15,","131.4",",,,I"
"BR00E4-0280","1947-03","-23.83","-47.65","710.0","USINA BATISTA, BR","10",",I","9",",I","0",",I","19470307",",,I","14.6",",,I,07,","53.8",",,,I"
"BR00E4-0280","1947-04","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","2",",I","0",",I","19470409",",,I","18.8",",,I,09,","40.9",",,,I"
"BR00E4-0280","1947-05","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","2",",I","0",",I","19470520",",,I","18.8",",,I,20,","35.2",",,,I"
"BR00E4-0280","1947-06","-23.83","-47.65","710.0","USINA BATISTA, BR","4",",I","2",",I","0",",I","19470620",",,I","5.8",",,I,20,","10.6",",,,I"
"BR00E4-0280","1947-07","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","5",",I","1",",I","19470728",",,I","27.4",",,I,28,","62.3",",,,I"
"BR00E4-0280","1947-08","-23.83","-47.65","710.0","USINA BATISTA, BR","8",",I","7",",I","0",",I","19470828",",,I","20.2",",,I,28,","67.2",",,,I"
"BR00E4-0280","1947-09","-23.83","-47.65","710.0","USINA BATISTA, BR","13",",I","9",",I","2",",I","19470925",",,I","62.3",",,I,25,","185.3",",,,I"
"BR00E4-0280","1947-10","-23.83","-47.65","710.0","USINA BATISTA, BR","8",",I","7",",I","0",",I","19471004",",,I","15.4",",,I,04,","54.5",",,,I"
"BR00E4-0280","1947-11","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","5",",I","1",",I","19471125",",,I","56.8",",,I,25,","84.9",",,,I"
"BR00E4-0280","1947-12","-23.83","-47.65","710.0","USINA BATISTA, BR","10",",I","9",",I","5",",I","19471211",",,I","66.2",",,I,11,","248.9",",,,I"
"BR00E4-0280","1948-01","-23.83","-47.65","710.0","USINA BATISTA, BR","17",",I","15",",I","1",",I","19480122",",,I","28.8",",,I,22,","185.4",",,,I"
"BR00E4-0280","1948-02","-23.83","-47.65","710.0","USINA BATISTA, BR","15",",I","12",",I","1",",I","19480218",",,I","28.1",",,I,18,","131.5",",,,I"
"BR00E4-0280","1948-03","-23.83","-47.65","710.0","USINA BATISTA, BR","10",",I","6",",I","1",",I","19480312",",,I","42.2",",,I,12,","113.0",",,,I"
"BR00E4-0280","1948-04","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","3",",I","0",",I","19480404",",,I","12.7",",,I,04,","17.7",",,,I"
"BR00E4-0280","1948-05","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","4",",I","2",",I","19480529",",,I","29.7",",,I,29,","66.7",",,,I"
"BR00E4-0280","1948-06","-23.83","-47.65","710.0","USINA BATISTA, BR","0",",I","0",",I","0",",I","19480630","+,,I","0.0",",,I,30,+","0.0",",,,I"
"BR00E4-0280","1948-07","-23.83","-47.65","710.0","USINA BATISTA, BR","0",",I","0",",I","0",",I","19480704",",,I","0.2",",,I,04,","0.2",",,,I"
"BR00E4-0280","1948-08","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","3",",I","0",",I","19480813",",,I","25.0",",,I,13,","44.3",",,,I"
"BR00E4-0280","1948-09","-23.83","-47.65","710.0","USINA BATISTA, BR","1",",I","1",",I","0",",I","19480912",",,I","6.2",",,I,12,","6.2",",,,I"
"BR00E4-0280","1948-10","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","5",",I","1",",I","19481029",",,I","50.0",",,I,29,","91.5",",,,I"
"BR00E4-0280","1948-11","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","4",",I","1",",I","19481127",",,I","56.2",",,I,27,","92.5",",,,I"
"BR00E4-0280","1948-12","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","6",",I","0",",I","19481205",",,I","18.7",",,I,05,","56.2",",,,I"
"BR00E4-0280","1949-01","-23.83","-47.65","710.0","USINA BATISTA, BR","9",",I","8",",I","2",",I","19490113",",,I","39.9",",,I,13,","135.5",",,,I"
"BR00E4-0280","1949-02","-23.83","-47.65","710.0","USINA BATISTA, BR","12",",I","9",",I","4",",I","19490209",",,I","58.0",",,I,09,","239.5",",,,I"
"BR00E4-0280","1949-03","-23.83","-47.65","710.0","USINA BATISTA, BR","9",",I","8",",I","2",",I","19490328",",,I","35.7",",,I,28,","100.2",",,,I"
"BR00E4-0280","1949-04","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","6",",I","2",",I","19490403",",,I","48.2",",,I,03,","115.5",",,,I"
"BR00E4-0280","1949-05","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","3",",I","0",",I","19490512",",,I","11.5",",,I,12,","32.7",",,,I"
"BR00E4-0280","1949-06","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","3",",I","0",",I","19490615",",,I","18.7",",,I,15,","35.4",",,,I"
"BR00E4-0280","1949-07","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","0",",I","0",",I","19490719",",,I","1.7",",,I,19,","3.1",",,,I"
"BR00E4-0280","1949-08","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","3",",I","0",",I","19490830",",,I","7.2",",,I,30,","14.1",",,,I"
"BR00E4-0280","1949-09","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","1",",I","0",",I","19490906",",,I","13.7",",,I,06,","14.3",",,,I"
"BR00E4-0280","1949-10","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","4",",I","1",",I","19491029",",,I","35.8",",,I,29,","59.6",",,,I"
"BR00E4-0280","1949-11","-23.83","-47.65","710.0","USINA BATISTA, BR","4",",I","3",",I","1",",I","19491106",",,I","36.3",",,I,06,","63.8",",,,I"
"BR00E4-0280","1949-12","-23.83","-47.65","710.0","USINA BATISTA, BR","12",",I","11",",I","7",",I","19491202",",,I","89.0",",,I,02,","341.8",",,,I"
"BR00E4-0280","1950-01","-23.83","-47.65","710.0","USINA BATISTA, BR","20",",I","17",",I","2",",I","19500105",",,I","36.0",",,I,05,","231.7",",,,I"
"BR00E4-0280","1950-02","-23.83","-47.65","710.0","USINA BATISTA, BR","21",",I","17",",I","4",",I","19500204",",,I","94.7",",,I,04,","337.6",",,,I"
"BR00E4-0280","1950-03","-23.83","-47.65","710.0","USINA BATISTA, BR","8",",I","7",",I","2",",I","19500320",",,I","45.0",",,I,20,","119.8",",,,I"
"BR00E4-0280","1950-04","-23.83","-47.65","710.0","USINA BATISTA, BR","10",",I","9",",I","2",",I","19500427",",,I","51.4",",,I,27,","166.0",",,,I"
"BR00E4-0280","1950-05","-23.83","-47.65","710.0","USINA BATISTA, BR","0",",I","0",",I","0",",I","19500531","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00E4-0280","1950-06","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","2",",I","0",",I","19500607",",,I","13.4",",,I,07,","17.2",",,,I"
"BR00E4-0280","1950-07","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","3",",I","0",",I","19500701",",,I","15.6",",,I,01,","36.2",",,,I"
"BR00E4-0280","1950-08","-23.83","-47.65","710.0","USINA BATISTA, BR","0",",I","0",",I","0",",I","19500831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00E4-0280","1950-09","-23.83","-47.65","710.0","USINA BATISTA, BR","4",",I","3",",I","0",",I","19500924",",,I","15.8",",,I,24,","29.2",",,,I"
"BR00E4-0280","1950-10","-23.83","-47.65","710.0","USINA BATISTA, BR","11",",I","7",",I","0",",I","19501017",",,I","20.0",",,I,17,","70.4",",,,I"
"BR00E4-0280","1950-11","-23.83","-47.65","710.0","USINA BATISTA, BR","10",",I","6",",I","1",",I","19501113",",,I","27.7",",,I,13,","82.6",",,,I"
"BR00E4-0280","1950-12","-23.83","-47.65","710.0","USINA BATISTA, BR","14",",I","10",",I","1",",I","19501205",",,I","36.5",",,I,05,","133.1",",,,I"
"BR00E4-0280","1951-01","-23.83","-47.65","710.0","USINA BATISTA, BR","18",",I","15",",I","1",",I","19510126",",,I","26.5",",,I,26,","196.4",",,,I"
"BR00E4-0280","1951-02","-23.83","-47.65","710.0","USINA BATISTA, BR","15",",I","11",",I","3",",I","19510207",",,I","78.5",",,I,07,","261.7",",,,I"
"BR00E4-0280","1951-03","-23.83","-47.65","710.0","USINA BATISTA, BR","11",",I","8",",I","0",",I","19510313",",,I","20.5",",,I,13,","123.1",",,,I"
"BR00E4-0280","1951-04","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","3",",I","0",",I","19510427",",,I","23.1",",,I,27,","39.3",",,,I"
"BR00E4-0280","1951-05","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","0",",I","0",",I","19510528",",,I","1.5",",,I,28,","2.5",",,,I"
"BR00E4-0280","1951-06","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","1",",I","0",",I","19510627",",,I","5.0",",,I,27,","7.5",",,,I"
"BR00E4-0280","1951-07","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","2",",I","1",",I","19510705",",,I","46.2",",,I,05,","48.9",",,,I"
"BR00E4-0280","1951-08","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","4",",I","3",",I","19510822",",,I","77.0",",,I,22,","153.8",",,,I"
"BR00E4-0280","1951-09","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","2",",I","0",",I","19510918",",,I","10.0",",,I,18,","15.2",",,,I"
"BR00E4-0280","1951-10","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","6",",I","1",",I","19511015",",,I","30.5",",,I,15,","106.5",",,,I"
"BR00E4-0280","1951-12","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","3",",I","0",",I","19511216",",,I","6.2",",,I,16,","20.0",",,,I"
"BR00E4-0280","1952-01","-23.83","-47.65","710.0","USINA BATISTA, BR","8",",I","6",",I","2",",I","19520108",",,I","58.5",",,I,08,","141.3",",,,I"
"BR00E4-0280","1952-02","-23.83","-47.65","710.0","USINA BATISTA, BR","12",",I","11",",I","1",",I","19520226",",,I","31.0",",,I,26,","190.1",",,,I"
"BR00E4-0280","1952-03","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","5",",I","1",",I","19520310",",,I","27.7",",,I,10,","87.5",",,,I"
"BR00E4-0280","1952-04","-23.83","-47.65","710.0","USINA BATISTA, BR","1",",I","1",",I","1",",I","19520401",",,I","62.0",",,I,01,","62.0",",,,I"
"BR00E4-0280","1952-05","-23.83","-47.65","710.0","USINA BATISTA, BR","0",",I","0",",I","0",",I","19520531","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00E4-0280","1952-06","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","6",",I","0",",I","19520615",",,I","18.0",",,I,15,","66.1",",,,I"
"BR00E4-0280","1952-07","-23.83","-47.65","710.0","USINA BATISTA, BR","0",",I","0",",I","0",",I","19520731","+,,I","0.0",",,I,31,+","0.0",",,,I"
"BR00E4-0280","1952-08","-23.83","-47.65","710.0","USINA BATISTA, BR","1",",I","1",",I","1",",I","19520827",",,I","28.3",",,I,27,","28.3",",,,I"
"BR00E4-0280","1952-09","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","4",",I","0",",I","19520919",",,I","20.6",",,I,19,","60.6",",,,I"
"BR00E4-0280","1952-10","-23.83","-47.65","710.0","USINA BATISTA, BR","12",",I","10",",I","2",",I","19521019",",,I","28.1",",,I,19,","126.0",",,,I"
"BR00E4-0280","1952-11","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","4",",I","0",",I","19521127",",,I","12.0",",,I,27,","34.4",",,,I"
"BR00E4-0280","1952-12","-23.83","-47.65","710.0","USINA BATISTA, BR","6",",I","3",",I","1",",I","19521231",",,I","68.3",",,I,31,","94.4",",,,I"
"BR00E4-0280","1953-01","-23.83","-47.65","710.0","USINA BATISTA, BR","12",",I","12",",I","2",",I","19530108",",,I","43.3",",,I,08,","181.4",",,,I"
"BR00E4-0280","1953-02","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","4",",I","2",",I","19530202",",,I","63.3",",,I,02,","109.9",",,,I"
"BR00E4-0280","1953-03","-23.83","-47.65","710.0","USINA BATISTA, BR","8",",I","7",",I","0",",I","19530319",",,I","15.4",",,I,19,","66.6",",,,I"
"BR00E4-0280","1953-04","-23.83","-47.65","710.0","USINA BATISTA, BR","8",",I","5",",I","1",",I","19530417",",,I","32.0",",,I,17,","57.2",",,,I"
"BR00E4-0280","1953-05","-23.83","-47.65","710.0","USINA BATISTA, BR","5",",I","4",",I","1",",I","19530526",",,I","34.5",",,I,26,","58.8",",,,I"
"BR00E4-0280","1953-06","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","2",",I","0",",I","19530610",",,I","15.9",",,I,10,","24.1",",,,I"
"BR00E4-0280","1953-07","-23.83","-47.65","710.0","USINA BATISTA, BR","3",",I","2",",I","1",",I","19530710",",,I","26.4",",,I,10,","44.1",",,,I"
"BR00E4-0280","1953-08","-23.83","-47.65","710.0","USINA BATISTA, BR","2",",I","1",",I","0",",I","19530824",",,I","24.6",",,I,24,","25.9",",,,I"
"BR00E4-0280","1953-09","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","2",",I","0",",I","19530916",",,I","18.0",",,I,16,","27.8",",,,I"
"BR00E4-0280","1953-10","-23.83","-47.65","710.0","USINA BATISTA, BR","15",",I","10",",I","0",",I","19531029",",,I","23.5",",,I,29,","117.1",",,,I"
"BR00E4-0280","1953-11","-23.83","-47.65","710.0","USINA BATISTA, BR","7",",I","7",",I","1",",I","19531130",",,I","72.8",",,I,30,","126.2",",,,I"
"BR00E4-0280","1953-12","-23.83","-47.65","710.0","USINA BATISTA, BR","9",",I","6",",I","0",",I","19531201",",,I","10.5",",,I,01,","42.9",",,,I"
"BR00E4-0280","1954-01","-23.83","-47.65","710.0","USINA BATISTA, BR","19",",I","15",",I","3",",I","19540115",",,I","65.8",",,I,15,","274.8",",,,I"
"BR00E4-0280","1954-02","-23.83","-47.65","710.0","USINA BATISTA, BR","14",",I","12",",I","1",",I","19540207",",,I","65.6",",,I,07,","165.5",",,,I"
"BR00E4-0280","1954-03","-23.83","-47.65","710.0","USINA BATISTA, BR","14",",I","8",",I","1",",I","19540313",",,I","59.8",",,I,13,","155.6",",,,I"
