"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA0010253G0","1981-08","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","3",",C","2",",C","0",",C","0",",C","0",",C","19810831","+,,C","19810831","+,,C","19810831",",,C","0",",,C,31,+","0",",,C,31,+","8.8",",,C,31,","15.2",",,,C","0",",,,C"
"CA0010253G0","1981-09","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","15",",C","9",",C","0",",C","0",",C","0",",C","19810930","+,,C","19810930","+,,C","19810920",",,C","0",",,C,30,+","0",",,C,30,+","25.2",",,C,20,","89.8",",,,C","0",",,,C"
"CA0010253G0","1981-10","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","14",",C","10",",C","1",",C","0",",C","0",",C","19811031","+,,C","19811031","+,,C","19811030",",,C","0",",,C,31,+","0",",,C,31,+","46.6",",,C,30,","162.8",",,,C","0",",,,C"
"CA0010253G0","1981-11","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","19",",C","14",",C","0",",C","0",",C","0",",C","19811130","+,,C","19811130","+,,C","19811120",",,C","0",",,C,30,+","0",",,C,30,+","21.3",",,C,20,","165.7",",,,C","0",",,,C"
"CA0010253G0","1981-12","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","18","5,C","13","5,C","3","5,C","0","3,C","0","4,C","19811231","+,3,C","19811231","+,4,C","19811204",",5,C","0","3,,C,31,+","0","4,,C,31,+","58.7","5,,C,04,","211.1","5,,,C","0","4,,,C"
"CA0010253G0","1982-02","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","16","3,C","11","3,C","1","3,C","","","0","1,C","","","19820228","+,1,C","19820218",",3,C","","","0","1,,C,28,+","34.2","3,,C,18,","181.6","1,a,,C","0","1,,,C"
"CA0010253G0","1982-03","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","11",",C","8",",C","0",",C","0",",C","0",",C","19820331","+,,C","19820331","+,,C","19820330",",,C","0",",,C,31,+","0",",,C,31,+","11.6",",,C,30,","49.8",",,,C","0",",,,C"
"CA0010253G0","1982-04","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","13",",C","9",",C","0",",C","0",",C","0",",C","19820430","+,,C","19820430","+,,C","19820402",",,C","0",",,C,30,+","0",",,C,30,+","14.0",",,C,02,","67.5",",,,C","0",",,,C"
"CA0010253G0","1982-05","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","8",",C","2",",C","0",",C","0",",C","0",",C","19820531","+,,C","19820531","+,,C","19820513",",,C","0",",,C,31,+","0",",,C,31,+","7.8",",,C,13,","16.0",",,,C","0",",,,C"
"CA0010253G0","1982-06","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","6",",C","4",",C","0",",C","0",",C","0",",C","19820630","+,,C","19820630","+,,C","19820626",",,C","0",",,C,30,+","0",",,C,30,+","21.0",",,C,26,","48.2",",,,C","0",",,,C"
"CA0010253G0","1982-07","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","10","1,C","4","1,C","0","1,C","0",",C","0",",C","19820731","+,,C","19820731","+,,C","19820702",",1,C","0",",,C,31,+","0",",,C,31,+","11.0","1,,C,02,","34.8","1,,,C","0",",,,C"
"CA0010253G0","1982-08","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","10",",C","2",",C","0",",C","0",",C","0",",C","19820831","+,,C","19820831","+,,C","19820811",",,C","0",",,C,31,+","0",",,C,31,+","6.8",",,C,11,","23.8",",,,C","0",",,,C"
"CA0010253G0","1982-09","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","7","1,C","3","1,C","0","1,C","0",",C","0",",C","19820930","+,,C","19820930","+,,C","19820910",",1,C","0",",,C,30,+","0",",,C,30,+","12.8","1,,C,10,","31.5","1,,,C","0",",,,C"
"CA0010253G0","1982-10","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","17",",C","9",",C","0",",C","0",",C","0",",C","19821031","+,,C","19821031","+,,C","19821023",",,C","0",",,C,31,+","0",",,C,31,+","18.0",",,C,23,","82.8",",,,C","0",",,,C"
"CA0010253G0","1982-11","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","17",",C","14",",C","0",",C","0",",C","0",",C","19821130","+,,C","19821130","+,,C","19821115",",,C","0",",,C,30,+","0",",,C,30,+","20.8",",,C,15,","123.3",",,,C","0",",,,C"
"CA0010253G0","1982-12","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","16",",C","14",",C","4",",C","0",",C","0",",C","19821231","+,,C","19821231","+,,C","19821202",",,C","0",",,C,31,+","0",",,C,31,+","44.6",",,C,02,","225.2",",,,C","0",",,,C"
"CA0010253G0","1983-01","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","20",",C","14",",C","0",",C","0",",C","0",",C","19830131","+,,C","19830131","+,,C","19830125",",,C","0",",,C,31,+","0",",,C,31,+","20.6",",,C,25,","161.9",",,,C","0",",,,C"
"CA0010253G0","1983-02","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","19",",C","15",",C","4",",C","0",",C","0",",C","19830228","+,,C","19830228","+,,C","19830210",",,C","0",",,C,28,+","0",",,C,28,+","70.4",",,C,10,","306.3",",,,C","0",",,,C"
"CA0010253G0","1983-03","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","21",",C","12",",C","2",",C","0",",C","0",",C","19830331","+,,C","19830331","+,,C","19830308",",,C","0",",,C,31,+","0",",,C,31,+","57.0",",,C,08,","198.0",",,,C","0",",,,C"
"CA0010253G0","1983-04","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","9",",C","7",",C","0",",C","0",",C","0",",C","19830430","+,,C","19830430","+,,C","19830401",",,C","0",",,C,30,+","0",",,C,30,+","19.0",",,C,01,","64.6",",,,C","0",",,,C"
"CA0010253G0","1983-05","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","9",",C","3",",C","0",",C","0",",C","0",",C","19830531","+,,C","19830531","+,,C","19830514",",,C","0",",,C,31,+","0",",,C,31,+","16.0",",,C,14,","32.0",",,,C","0",",,,C"
"CA0010253G0","1983-06","49.2","-123.9833","114.0","NANAIMO CITY YARD, BC CA","14",",C","8",",C","0",",C","0",",C","0",",C","19830630","+,,C","19830630","+,,C","19830616",",,C","0",",,C,30,+","0",",,C,30,+","10.4",",,C,16,","51.0",",,,C","0",",,,C"
