"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA004014299","1985-10","50.6","-103.25","587.0","LEMBERG, SK CA","3",",C","1",",C","0",",C","","","1",",C","","","19851007",",,C","19851007",",,C","","","90",",,C,07,","9.0",",,C,07,","12.2",",,,C","90",",,,C"
"CA004014299","1985-11","50.6","-103.25","587.0","LEMBERG, SK CA","4",",C","2",",C","0",",C","","","1",",C","","","19851111",",,C","19851104",",,C","","","50",",,C,11,","6.0",",,C,04,","15.0",",,,C","90",",,,C"
"CA004014299","1985-12","50.6","-103.25","587.0","LEMBERG, SK CA","7",",C","3",",C","0",",C","","","3",",C","","","19851218",",,C","19851218",",,C","","","55",",,C,18,","5.5",",,C,18,","21.5",",,,C","215",",,,C"
"CA004014299","1986-01","50.6","-103.25","587.0","LEMBERG, SK CA","6",",C","1",",C","0",",C","","","1",",C","","","19860122",",,C","19860122",",,C","","","40",",,C,22,","4.0",",,C,22,","14.0",",,,C","140",",,,C"
"CA004014299","1986-02","50.6","-103.25","587.0","LEMBERG, SK CA","5",",C","3",",C","0",",C","","","3",",C","","","19860206",",,C","19860206",",,C","","","60",",,C,06,","6.0",",,C,06,","19.0",",,,C","190",",,,C"
"CA004014299","1986-03","50.6","-103.25","587.0","LEMBERG, SK CA","2","2,C","0","2,C","0","2,C","","","0","2,C","","","19860307",",2,C","19860329","+,2,C","","","20","2,,C,07,","2.0","2,,C,29,+","4.0","2,,,C","20","2,,,C"
"CA004014299","1986-04","50.6","-103.25","587.0","LEMBERG, SK CA","4",",C","2",",C","0",",C","","","1",",C","","","19860413",",,C","19860422",",,C","","","80",",,C,13,","10.0",",,C,22,","21.1",",,,C","80",",,,C"
"CA004014299","1986-05","50.6","-103.25","587.0","LEMBERG, SK CA","7",",C","5",",C","0",",C","","","0",",C","","","19860531","+,,C","19860505",",,C","","","0",",,C,31,+","21.0",",,C,05,","61.4",",,,C","0",",,,C"
"CA004014299","1986-06","50.6","-103.25","587.0","LEMBERG, SK CA","9","1,C","4","1,C","0","1,C","","","0",",C","","","19860630","+,,C","19860630",",1,C","","","0",",,C,30,+","11.0","1,,C,30,","36.8","1,,,C","0",",,,C"
"CA004014299","1986-07","50.6","-103.25","587.0","LEMBERG, SK CA","13","2,C","9","2,C","2","2,C","","","0",",C","","","19860731","+,,C","19860704",",2,C","","","0",",,C,31,+","33.2","2,,C,04,","101.9","2,,,C","0",",,,C"
"CA004014299","1986-08","50.6","-103.25","587.0","LEMBERG, SK CA","4",",C","3",",C","0",",C","","","0",",C","","","19860831","+,,C","19860805",",,C","","","0",",,C,31,+","11.2",",,C,05,","20.9",",,,C","0",",,,C"
"CA004014299","1986-09","50.6","-103.25","587.0","LEMBERG, SK CA","10","1,C","7","1,C","0","1,C","","","0",",C","","","19860930","+,,C","19860925",",1,C","","","0",",,C,30,+","10.9","1,,C,25,","54.7","1,,,C","0",",,,C"
"CA004014299","1986-10","50.6","-103.25","587.0","LEMBERG, SK CA","5",",C","3",",C","0",",C","","","1",",C","","","19861030",",,C","19861030",",,C","","","50",",,C,30,","8.4",",,C,30,","21.7",",,,C","50",",,,C"
"CA004014299","1987-04","50.6","-103.25","587.0","LEMBERG, SK CA","1","3,C","1","3,C","0","3,C","","","1",",C","","","19870409",",,C","19870424",",3,C","","","25",",,C,09,","2.5","3,,C,24,","2.5","3,,,C","25",",,,C"
"CA004014299","1987-05","50.6","-103.25","587.0","LEMBERG, SK CA","5",",C","3",",C","0",",C","","","0",",C","","","19870531","+,,C","19870527",",,C","","","0",",,C,31,+","11.2",",,C,27,","25.9",",,,C","0",",,,C"
