"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA005020807","1968-11","49.3667","-97.05","242.0","DUFROST, MB CA","","","0.0",",C","1","1,C","0","1,C","0","1,C","0","1,C","1",",C","29",",C","12",",C","0",",C","0",",C","19681129",",,C","19681118","+,1,C","19681101",",1,C","19681103",",,C","-17.8",",C,29,","0","1,T,C,18,+","0.8","1,,C,01,","8.9",",C,03,","","","612.9",",C","0.8","1,,,C","0","1,T,,C","-2.10",",C","1.53",",,,C","-5.72",",,,C"
"CA005020807","1968-12","49.3667","-97.05","242.0","DUFROST, MB CA","","","0.0",",C","0","5,C","0","5,C","0","5,C","0","5,C","17",",C","31",",C","29",",C","0",",C","0",",C","19681224",",,C","19681222","+,5,C","19681222","+,5,C","19681201",",,C","-33.3",",C,24,","0","5,T,C,22,+","0.0","5,T,C,22,+","3.9",",C,01,","","","1003.2",",C","0.0","5,T,,C","0","5,T,,C","-14.03",",C","-10.02",",,,C","-18.04",",,,C"
"CA005020807","1969-01","49.3667","-97.05","242.0","DUFROST, MB CA","0.0","C","0.0",",C","","","","","","","","","28",",C","31",",C","31",",C","0",",C","0",",C","19690126",",,C","","","","","19690115","+,,C","-36.7",",C,26,","","","","","-2.2",",C,15,+","","","1222.2",",C","","","","","-21.09",",C","-16.35",",,,C","-25.84",",,,C"
"CA005020807","1969-02","49.3667","-97.05","242.0","DUFROST, MB CA","0.0","C","0.0",",C","","","","","","","","","15",",C","28",",C","24",",C","0",",C","0",",C","19690201",",,C","","","","","19690224",",,C","-35.0",",C,01,","","","","","2.2",",C,24,","","","879.0",",C","","","","","-13.06",",C","-8.23",",,,C","-17.89",",,,C"
"CA005020807","1969-03","49.3667","-97.05","242.0","DUFROST, MB CA","0.0","C","0.0",",C","","","","","","","","","11",",C","31",",C","29",",C","0",",C","0",",C","19690307",",,C","","","","","19690322",",,C","-27.8",",C,07,","","","","","2.2",",C,22,","","","891.9",",C","","","","","-10.44",",C","-5.14",",,,C","-15.74",",,,C"
"CA005020807","1969-04","49.3667","-97.05","242.0","DUFROST, MB CA","0.0","C","0.0",",C","3",",C","2",",C","0",",C","0",",C","0",",C","14",",C","2",",C","3",",C","0",",C","19690402",",,C","19690430","+,,C","19690425",",,C","19690425","+,,C","-16.7",",C,02,","0",",,C,30,+","18.3",",,C,25,","21.7",",C,25,+","","","359.2",",C","29.5",",,,C","0",",,,C","6.36",",C","12.19",",,,C","0.53",",,,C"
"CA005020807","1969-05","49.3667","-97.05","242.0","DUFROST, MB CA","13.9","C","13.9",",C","8",",C","5",",C","0",",C","0",",C","0",",C","8",",C","0",",C","9",",C","1",",C","19690520",",,C","19690531","+,,C","19690530",",,C","19690526",",,C","-5.0",",C,20,","0",",,C,31,+","12.7",",,C,30,","32.8",",C,26,","","","231.8",",C","32.2",",,,C","0",",,,C","11.30",",C","18.05",",,,C","4.55",",,,C"
"CA005020807","1969-06","49.3667","-97.05","242.0","DUFROST, MB CA","14.5","C","0.6",",C","9",",C","6",",C","0",",C","0",",C","0",",C","4",",C","0",",C","10",",C","0",",C","19690613",",,C","19690630","+,,C","19690626",",,C","19690609",",,C","-2.2",",C,13,","0",",,C,30,+","20.3",",,C,26,","27.8",",C,09,","","","174.0",",C","53.6",",,,C","0",",,,C","12.55",",C","18.92",",,,C","6.18",",,,C"
"CA005020807","1969-07","49.3667","-97.05","242.0","DUFROST, MB CA","54.3","C","39.8",",C","15",",C","8",",C","0",",C","0",",C","0",",C","0",",C","0",",C","26",",C","1",",C","19690702",",,C","19690731","+,,C","19690703",",,C","19690712",",,C","3.3",",C,02,","0",",,C,31,+","23.6",",,C,03,","35.0",",C,12,","37.4","C","37.4",",C","99.4",",,,C","0",",,,C","18.41",",C","24.53",",,,C","12.29",",,,C"
"CA005020807","1969-08","49.3667","-97.05","242.0","DUFROST, MB CA","157.4","C","103.1",",C","6",",C","3",",C","1",",C","0",",C","0",",C","0",",C","0",",C","30",",C","5",",C","19690831",",,C","19690831","+,,C","19690806",",,C","19690822",",,C","7.8",",C,31,","0",",,C,31,+","27.9",",,C,06,","33.9",",C,22,","47.7","C","10.3",",C","55.7",",,,C","0",",,,C","21.32",",C","27.73",",,,C","14.92",",,,C"
