"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA007057650","1963-06","47.05","-69.9333","411.0","STE PERPETUE, QC CA","","","18.7",",C","6",",C","3",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","22",",C","0",",C","19630607",",,C","","","19630630","+,,C","19630620",",,C","19630630",",,C","3.3",",C,07,","","","0",",,C,30,+","17.5",",,C,20,","31.7",",C,30,","","","95.9",",C","35.9",",,,C","0",",,,C","15.76",",C","23.02",",,,C","8.50",",,,C"
"CA007057650","1963-07","47.05","-69.9333","411.0","STE PERPETUE, QC CA","","","40.8",",C","12",",C","10",",C","2",",C","","","0",",C","0",",C","0",",C","0",",C","22",",C","0",",C","19630704",",,C","","","19630731","+,,C","19630708",",,C","19630729",",,C","5.6",",C,04,","","","0",",,C,31,+","29.5",",,C,08,","31.1",",C,29,","61.1","C","61.1",",C","130.4",",,,C","0",",,,C","17.68",",C","23.63",",,,C","11.72",",,,C"
"CA007057650","1963-08","47.05","-69.9333","411.0","STE PERPETUE, QC CA","","","0.0",",C","19",",C","11",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","11",",C","0",",C","19630823","+,,C","","","19630831","+,,C","19630823",",,C","19630806",",,C","2.8",",C,23,+","","","0",",,C,31,+","20.6",",,C,23,","25.6",",C,06,","210.8","C","149.7",",C","121.0",",,,C","0",",,,C","13.50",",C","18.72",",,,C","8.29",",,,C"
"CA007057650","1963-10","47.05","-69.9333","411.0","STE PERPETUE, QC CA","","","0.0",",C","7",",C","5",",C","2",",C","","","2",",C","0",",C","14",",C","2",",C","6",",C","0",",C","19631022",",,C","","","19631029",",,C","19631003",",,C","19631019",",,C","-6.1",",C,22,","","","102",",,C,29,","49.0",",,C,03,","25.0",",C,19,","","","323.5",",C","108.3",",,,C","158",",,,C","7.90",",C","13.10",",,,C","2.70",",,,C"
"CA007057650","1963-11","47.05","-69.9333","411.0","STE PERPETUE, QC CA","","","0.0",",C","21",",C","12",",C","1",",C","","","4",",C","0",",C","25",",C","4",",C","0",",C","0",",C","19631128",",,C","","","19631112",",,C","19631129",",,C","19631123",",,C","-13.3",",C,28,","","","104",",,C,12,","32.8",",,C,29,","18.3",",C,23,","","","518.9",",C","139.3",",,,C","312",",,,C","1.04",",C","5.80",",,,C","-3.73",",,,C"
"CA007057650","1963-12","47.05","-69.9333","411.0","STE PERPETUE, QC CA","","","0.0",",C","5",",C","2",",C","0",",C","","","2",",C","14",",C","31",",C","29",",C","0",",C","0",",C","19631231",",,C","","","19631210",",,C","19631210",",,C","19631208",",,C","-27.8",",C,31,","","","46",",,C,10,","4.6",",,C,10,","1.1",",C,08,","","","1011.1",",C","11.0",",,,C","110",",,,C","-14.28",",C","-10.75",",,,C","-17.81",",,,C"
"CA007057650","1964-01","47.05","-69.9333","411.0","STE PERPETUE, QC CA","0.0","C","0.0",",C","12",",C","8",",C","0",",C","","","6",",C","13",",C","31",",C","27",",C","0",",C","0",",C","19640113",",,C","","","19640109",",,C","19640109",",,C","19640125",",,C","-28.3",",C,13,","","","198",",,C,09,","19.8",",,C,09,","1.7",",C,25,","","","901.7",",C","72.1",",,,C","525",",,,C","-10.75",",C","-6.48",",,,C","-15.02",",,,C"
"CA007057650","1964-02","47.05","-69.9333","411.0","STE PERPETUE, QC CA","0.0","C","0.0",",C","14",",C","5",",C","0",",C","","","5",",C","12",",C","29",",C","28",",C","0",",C","0",",C","19640227","+,,C","","","19640224",",,C","19640224",",,C","19640206",",,C","-25.0",",C,27,+","","","89",",,C,24,","8.9",",,C,24,","0.6",",C,06,","","","829.6",",C","40.8",",,,C","408",",,,C","-10.27",",C","-5.45",",,,C","-15.10",",,,C"
"CA007057650","1964-03","47.05","-69.9333","411.0","STE PERPETUE, QC CA","0.0","C","0.0",",C","15",",C","8",",C","0",",C","","","6",",C","3",",C","29",",C","19",",C","0",",C","0",",C","19640317",",,C","","","19640326",",,C","19640305",",,C","19640305","+,,C","-20.6",",C,17,","","","135",",,C,26,","13.7",",,C,05,","7.2",",C,05,+","","","751.4",",C","68.6",",,,C","487",",,,C","-5.91",",C","-1.21",",,,C","-10.61",",,,C"
"CA007057650","1964-04","47.05","-69.9333","411.0","STE PERPETUE, QC CA","0.0","C","0.0",",C","10",",C","5",",C","0",",C","","","3",",C","1",",C","22",",C","4",",C","0",",C","0",",C","19640401",",,C","","","19640422","+,,C","19640408",",,C","19640430",",,C","-19.4",",C,01,","","","36",",,C,22,+","17.0",",,C,08,","18.3",",C,30,","","","506.2",",C","43.2",",,,C","125",",,,C","1.46",",C","6.59",",,,C","-3.67",",,,C"
