"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00707DBD4","1995-01","47.4167","-72.7833","169.0","LA TUQUE, QC CA","0.0","C","0.0","4,C","","","","","","","","","10","4,C","25","4,C","21","4,C","0","4,C","0","4,C","19950111",",4,C","","","","","19950115",",4,C","-38.1","4,C,11,","","","","","9.5","4,C,15,","","","763.5","4,C","","","-9.94","4,C","-5.20","4,,,C","-14.69","4,,,C","","","",""
"CA00707DBD4","1995-02","47.4167","-72.7833","169.0","LA TUQUE, QC CA","0.0","C","0.0","1,C","","","","","","","","","19","1,C","27","1,C","25","1,C","0","1,C","0","1,C","19950208",",1,C","","","","","19950201",",1,C","-32.4","1,C,08,","","","","","0.9","1,C,01,","","","900.8","1,C","","","-15.03","1,C","-8.29","1,,,C","-21.77","1,,,C","","","",""
"CA00707DBD4","1995-03","47.4167","-72.7833","169.0","LA TUQUE, QC CA","0.0","C","0.0","2,C","","","","","","","","","4","2,C","23","2,C","8","2,C","0","2,C","0","2,C","19950303",",2,C","","","","","19950315",",2,C","-30.4","2,C,03,","","","","","14.2","2,C,15,","","","616.7","2,C","","","-2.93","2,C","2.68","2,,,C","-8.54","2,,,C","","","",""
"CA00707DBD4","1995-04","47.4167","-72.7833","169.0","LA TUQUE, QC CA","0.0","C","0.0","5,C","","","","","","","","","1","5,C","21","5,C","2","4,C","0","4,C","0","4,C","19950405",",5,C","","","","","19950427",",4,C","-18.8","5,C,05,","","","","","14.0","4,C,27,","","","444.3","4,C","","","0.40","5,C","5.53","4,,,C","-4.72","5,,,C","","","",""
"CA00707DBD4","1995-05","47.4167","-72.7833","169.0","LA TUQUE, QC CA","1.8","C","1.8","4,C","","","","","","","","","0","4,C","6","4,C","0","4,C","3","4,C","0","4,C","19950507",",4,C","","","","","19950531",",4,C","-3.7","4,C,07,","","","","","29.2","4,C,31,","","","219.1","4,C","","","10.28","4,C","16.59","4,,,C","3.97","4,,,C","","","",""
"CA00707DBD4","1995-07","47.4167","-72.7833","169.0","LA TUQUE, QC CA","","","","","","","","","","","","","","","","","0","5,C","23","5,C","2","5,C","","","","","","","19950731",",5,C","","","","","","","35.0","5,C,31,","","","","","","","","","26.15","5,,,C","","","","","",""
"CA00707DBD4","1995-08","47.4167","-72.7833","169.0","LA TUQUE, QC CA","","","37.4",",C","","","","","","","","","0",",C","0",",C","0",",C","25",",C","0",",C","19950828",",,C","","","","","19950820",",,C","2.2",",C,28,","","","","","32.0",",C,20,","","","46.0",",C","","","18.06",",C","25.17",",,,C","10.94",",,,C","","","",""
"CA00707DBD4","1995-09","47.4167","-72.7833","169.0","LA TUQUE, QC CA","","","1.1","4,C","","","","","","","","","0","4,C","5","4,C","0","3,C","6","3,C","0","3,C","19950929",",4,C","","","","","19950912",",3,C","-2.8","4,C,29,","","","","","25.3","3,C,12,","","","198.7","3,C","","","10.71","4,C","17.31","3,,,C","4.11","4,,,C","","","",""
"CA00707DBD4","1995-10","47.4167","-72.7833","169.0","LA TUQUE, QC CA","","","0.0","3,C","","","","","","","","","0","3,C","4","3,C","0","3,C","2","3,C","0","3,C","19951030",",3,C","","","","","19951013",",3,C","-2.7","3,C,30,","","","","","27.2","3,C,13,","","","261.3","3,C","","","9.00","3,C","13.62","3,,,C","4.38","3,,,C","","","",""
"CA00707DBD4","1995-11","47.4167","-72.7833","169.0","LA TUQUE, QC CA","","","0.0","5,C","","","","","","","","","6","5,C","23","5,C","14","5,C","0","5,C","0","5,C","19951127",",5,C","","","","","19951112",",5,C","-22.6","5,C,27,","","","","","12.8","5,C,12,","","","589.6","5,C","","","-5.25","5,C","-0.87","5,,,C","-9.63","5,,,C","","","",""
