"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA008404210","1981-06","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","15",",C","8",",C","0",",C","","","0",",C","0",",C","1",",C","0",",C","0",",C","0",",C","19810613",",,C","","","19810630","+,,C","19810615",",,C","19810630",",,C","-1.0",",C,13,","","","0",",,C,30,+","23.1",",,C,15,","21.0",",C,30,","","","265.2",",C","90.9",",,,C","0",",,,C","9.49",",C","13.57",",,,C","5.42",",,,C"
"CA008404210","1981-07","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","","","11",",C","10",",C","0",",C","","","0",",C","0",",C","0",",C","","","","","","","19810724",",,C","","","19810731","+,,C","19810727",",,C","","","4.5",",C,24,","","","0",",,C,31,+","12.4",",,C,27,","","","","","","","56.6",",,,C","0",",,,C","","","","","10.55",",,,C"
"CA008404210","1981-08","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","13",",C","10",",C","2",",C","","","0",",C","0",",C","1",",C","0",",C","0",",C","0",",C","19810825",",,C","","","19810831","+,,C","19810817",",,C","19810817",",,C","-1.0",",C,25,","","","0",",,C,31,+","63.4",",,C,17,","21.0",",C,17,","","","162.6",",C","179.2",",,,C","0",",,,C","13.09",",C","16.47",",,,C","9.71",",,,C"
"CA008404210","1982-06","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","","","12",",C","6",",C","0",",C","","","0",",C","0","5,C","3","5,C","0","5,C","0","5,C","0","5,C","19820609","+,5,C","","","19820630","+,,C","19820630","+,,C","19820615",",5,C","-1.0","5,C,09,+","","","0",",,C,30,+","12.6",",,C,30,+","18.5","5,C,15,","","","","","61.4",",,,C","0",",,,C","8.36","7,C","12.52","5,,,C","4.20","5,,,C"
"CA008404210","1982-07","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","16",",C","12",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","4",",C","0",",C","19820728",",,C","","","19820731","+,,C","19820723",",,C","19820723","+,,C","2.0",",C,28,","","","0",",,C,31,+","21.0",",,C,23,","22.0",",C,23,+","155.6","","155.6",",C","103.4",",,,C","0",",,,C","13.31",",C","16.92",",,,C","9.71",",,,C"
"CA008404210","1982-08","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.7","1,C","14",",C","11",",C","1",",C","","","0",",C","0","1,C","0","1,C","0",",C","3",",C","0",",C","19820805",",1,C","","","19820831","+,,C","19820816",",,C","19820815","+,,C","4.0","1,C,05,","","","0",",,C,31,+","58.0",",,C,16,","24.0",",C,15,+","264.7","","109.1",",C","175.8",",,,C","0",",,,C","14.68","1,C","17.87",",,,C","11.48","1,,,C"
"CA008404210","1982-09","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0","2,C","15",",C","10",",C","0",",C","","","0",",C","0","1,C","1","1,C","0","1,C","0","1,C","0","1,C","19820930",",1,C","","","19820930","+,,C","19820914",",,C","19820914","+,1,C","0.0","1,C,30,","","","0",",,C,30,+","16.8",",,C,14,","18.0","1,C,14,+","495.8","","231.1","1,C","94.4",",,,C","0",",,,C","10.04","2,C","13.48","1,,,C","6.60","1,,,C"
"CA008404210","1983-05","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","","","11","2,C","9","2,C","0","2,C","","","0","1,C","","","","","","","","","","","","","","","19830517","+,1,C","19830515",",2,C","","","","","","","0","1,T,C,17,+","14.5","2,,C,15,","","","","","","","74.9","2,,,C","0","1,T,,C","","","","","",""
"CA008404210","1983-06","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","18",",C","15",",C","4",",C","","","0",",C","0",",C","0",",C","0",",C","0",",C","0",",C","19830606",",,C","","","19830630","+,,C","19830601",",,C","19830622",",,C","0.5",",C,06,","","","0",",,C,30,+","121.2",",,C,01,","20.5",",C,22,","","","235.2",",C","336.7",",,,C","0",",,,C","10.49",",C","14.75",",,,C","6.23",",,,C"
"CA008404210","1983-07","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","5.1",",C","16",",C","12",",C","2",",C","","","0",",C","0",",C","0",",C","0",",C","6",",C","0",",C","19830703",",,C","","","19830731","+,,C","19830723",",,C","19830715",",,C","4.0",",C,03,","","","0",",,C,31,+","32.2",",,C,23,","25.0",",C,15,","110.4","","110.4",",C","155.3",",,,C","0",",,,C","14.94",",C","18.53",",,,C","11.34",",,,C"
"CA008404210","1983-08","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","19",",C","12",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","1",",C","0",",C","19830829",",,C","","","19830831","+,,C","19830810",",,C","19830808",",,C","4.0",",C,29,","","","0",",,C,31,+","24.9",",,C,10,","22.0",",C,08,","283.7","","173.3",",C","115.4",",,,C","0",",,,C","12.74",",C","15.90",",,,C","9.58",",,,C"
"CA008404210","1983-09","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","12",",C","9",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","1",",C","0",",C","19830930","+,,C","","","19830930","+,,C","19830907",",,C","19830922",",,C","1.0",",C,30,+","","","0",",,C,30,+","17.8",",,C,07,","22.5",",C,22,","505.4","","221.7",",C","70.1",",,,C","0",",,,C","10.94",",C","15.43",",,,C","6.45",",,,C"
"CA008404210","1984-06","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","17",",C","12",",C","2",",C","","","0",",C","0",",C","2",",C","0",",C","0",",C","0",",C","19840616",",,C","","","19840630","+,,C","19840602",",,C","19840629",",,C","-1.0",",C,16,","","","0",",,C,30,+","33.1",",,C,02,","21.0",",C,29,","","","305.7",",C","189.8",",,,C","0",",,,C","8.14",",C","11.87",",,,C","4.42",",,,C"
"CA008404210","1984-07","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","18",",C","11",",C","1",",C","","","0",",C","0",",C","0",",C","0",",C","5",",C","0",",C","19840706",",,C","","","19840731","+,,C","19840709",",,C","19840704",",,C","5.5",",C,06,","","","0",",,C,31,+","46.3",",,C,09,","23.0",",C,04,","100.8","","100.8",",C","141.3",",,,C","0",",,,C","15.08",",C","18.35",",,,C","11.81",",,,C"
"CA008404210","1984-08","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.9",",C","13",",C","8",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","3",",C","0",",C","19840818",",,C","","","19840831","+,,C","19840807",",,C","19840816",",,C","2.0",",C,18,","","","0",",,C,31,+","23.6",",,C,07,","24.5",",C,16,","227.9","","127.1",",C","95.9",",,,C","0",",,,C","14.26",",C","18.31",",,,C","10.22",",,,C"
"CA008404210","1984-09","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","1.9",",C","16",",C","10",",C","0",",C","","","0",",C","0",",C","1",",C","0",",C","1",",C","0",",C","19840914",",,C","","","19840930","+,,C","19840916",",,C","19840901",",,C","0.0",",C,14,","","","0",",,C,30,+","12.8",",,C,16,","26.0",",C,01,","479.1","","251.2",",C","68.0",",,,C","0",",,,C","10.03",",C","13.23",",,,C","6.82",",,,C"
"CA008404210","1985-06","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0","3,C","12","2,C","8","2,C","1","2,C","","","0",",C","0","3,C","1","3,C","0","1,C","1","1,C","0","1,C","19850623",",3,C","","","19850630","+,,C","19850607",",2,C","19850625",",1,C","-1.0","3,C,23,","","","0",",,C,30,+","31.6","2,,C,07,","25.5","1,C,25,","","","268.5","1,C","123.4","2,,,C","0",",,,C","8.44","3,C","12.64","1,,,C","4.24","3,,,C"
"CA008404210","1985-07","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","1.5",",C","15",",C","10",",C","1",",C","","","0",",C","0",",C","0",",C","0",",C","8",",C","0",",C","19850702",",,C","","","19850731","+,,C","19850707",",,C","19850712","+,,C","3.0",",C,02,","","","0",",,C,31,+","67.0",",,C,07,","25.0",",C,12,+","122.6","","122.6",",C","141.1",",,,C","0",",,,C","14.43",",C","18.44",",,,C","10.42",",,,C"
"CA008404210","1985-08","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","3.8",",C","11",",C","7",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","5",",C","0",",C","19850819",",,C","","","19850831","+,,C","19850829",",,C","19850809",",,C","0.5",",C,19,","","","0",",,C,31,+","20.4",",,C,29,","25.0",",C,09,","257.2","","134.6",",C","53.9",",,,C","0",",,,C","14.11",",C","17.34",",,,C","10.89",",,,C"
"CA008404210","1985-09","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","14",",C","6",",C","1",",C","","","0",",C","0",",C","1",",C","0",",C","0",",C","0",",C","19850913",",,C","","","19850930","+,,C","19850928",",,C","19850919",",,C","0.0",",C,13,","","","0",",,C,30,+","34.0",",,C,28,","17.0",",C,19,","488.4","","231.2",",C","105.0",",,,C","0",",,,C","10.63",",C","13.88",",,,C","7.37",",,,C"
"CA008404210","1986-06","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","16",",C","12",",C","0",",C","","","0","2,C","0",",C","1",",C","0",",C","1",",C","0",",C","19860606",",,C","","","19860630","+,2,C","19860603",",,C","19860625",",,C","-1.0",",C,06,","","","0","2,,C,30,+","20.2",",,C,03,","24.5",",C,25,","","","288.5",",C","134.3",",,,C","0","2,,,C","8.72",",C","12.55",",,,C","4.88",",,,C"
"CA008404210","1986-07","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.9",",C","11",",C","5",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","2",",C","0",",C","19860710",",,C","","","19860731","+,,C","19860709",",,C","19860720",",,C","2.0",",C,10,","","","0",",,C,31,+","19.5",",,C,09,","25.5",",C,20,","172.5","","172.5",",C","56.7",",,,C","0",",,,C","12.80",",C","17.13",",,,C","8.47",",,,C"
"CA008404210","1986-08","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","16",",C","7",",C","0",",C","","","0",",C","0",",C","0",",C","0",",C","3",",C","0",",C","19860827",",,C","","","19860831","+,,C","19860810",",,C","19860821",",,C","7.5",",C,27,","","","0",",,C,31,+","11.6",",,C,10,","22.0",",C,21,","300.6","","128.1",",C","57.7",",,,C","0",",,,C","14.20",",C","17.47",",,,C","10.94",",,,C"
"CA008404210","1986-09","51.1833","-56.7667","15.0","WESTERN ARM BROOK, NL CA","0.0",",C","14",",C","6",",C","2",",C","","","0",",C","0",",C","4",",C","0",",C","1",",C","0",",C","19860926",",,C","","","19860930","+,,C","19860912",",,C","19860907",",,C","-3.0",",C,26,","","","0",",,C,30,+","28.6",",,C,12,","22.5",",C,07,","588.1","","287.5",",C","103.5",",,,C","0",",,,C","8.75",",C","12.82",",,,C","4.68",",,,C"
