"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA1MB000050","2012-06","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","13",",N","7",",N","0",",N","","","","","","","","","20120610",",,N","","","","","23.9",",,N,10,","95.0",",,,N","",""
"CA1MB000050","2012-07","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","7",",N","5",",N","0",",N","","","","","","","","","20120716",",,N","","","","","11.2",",,N,16,","34.4",",,,N","",""
"CA1MB000050","2012-08","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","8",",N","4",",N","0",",N","","","","","","","","","20120816",",,N","","","","","9.4",",,N,16,","30.2",",,,N","",""
"CA1MB000050","2012-09","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","4",",N","0",",N","0",",N","","","","","","","","","20120918","+,,N","","","","","1.3",",,N,18,+","3.9",",,,N","",""
"CA1MB000050","2012-10","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","13",",N","8",",N","1",",N","","","","","","","","","20121018",",,N","","","","","35.3",",,N,18,","93.7",",,,N","",""
"CA1MB000050","2012-11","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","7",",N","3",",N","0",",N","","","2","4,N","","","20121111",",4,N","20121111",",,N","","","140","4,,N,11,","15.2",",,N,11,","30.0",",,,N","244","4,,,N"
"CA1MB000050","2012-12","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","10",",N","2",",N","0",",N","","","4","5,N","","","20121209",",5,N","20121209",",,N","","","127","5,,N,09,","5.3",",,N,09,","17.1",",,,N","330","5,,,N"
"CA1MB000050","2013-01","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","8",",N","2",",N","0",",N","","","4",",N","","","20130112",",,N","20130112",",,N","","","74",",,N,12,","8.9",",,N,12,","16.2",",,,N","204",",,,N"
"CA1MB000050","2013-02","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","5",",N","3",",N","0",",N","","","3",",N","","","20130207",",,N","20130218",",,N","","","99",",,N,07,","6.6",",,N,18,","15.9",",,,N","236",",,,N"
"CA1MB000050","2013-03","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","6",",N","4",",N","0",",N","","","5",",N","","","20130305",",,N","20130305",",,N","","","152",",,N,05,","10.7",",,N,05,","29.5",",,,N","434",",,,N"
"CA1MB000050","2013-04","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","8",",N","2",",N","0",",N","","","2","1,N","","","20130416",",1,N","20130416",",,N","","","102","1,,N,16,","5.8",",,N,16,","17.0",",,,N","206","1,,,N"
"CA1MB000050","2013-05","49.218001","-98.093253","292.9","MORDEN 3.2 NNE, MB CA","13",",N","8",",N","3",",N","","","","","","","","","20130521",",,N","","","","","53.6",",,N,21,","144.7",",,,N","",""
