"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"CA1NS000068","2014-01","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","12",",N","10",",N","1",",N","","","","","20140117",",,N","","","27.4",",,N,17,","118.6",",,,N","",""
"CA1NS000068","2014-03","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","7","4,N","6","4,N","2","4,N","","","","","20140331",",4,N","","","35.6","4,,N,31,","115.1","4,,,N","",""
"CA1NS000068","2014-04","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","","","","","","","","","","","","","","","","","104.7","2,a,,N","",""
"CA1NS000068","2015-01","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","12","5,N","10","5,N","1","5,N","","","","","20150125",",5,N","","","41.1","5,,N,25,","135.6","5,,,N","",""
"CA1NS000068","2015-02","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","11","5,N","8","5,N","1","5,N","","","","","20150203",",5,N","","","35.8","5,,N,03,","110.5","5,,,N","",""
"CA1NS000068","2015-03","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","13","5,N","12","5,N","0","5,N","","","","","20150318",",5,N","","","20.1","5,,N,18,","120.1","5,,,N","",""
"CA1NS000068","2015-12","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","11","4,N","11","4,N","0","4,N","","","","","20151204",",4,N","","","19.6","4,,N,04,","126.3","4,,,N","",""
"CA1NS000068","2016-01","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","5","5,N","5","5,N","3","5,N","","","","","20160117",",5,N","","","29.7","5,,N,17,","88.9","5,,,N","",""
"CA1NS000068","2016-02","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","8","4,N","7","4,N","1","4,N","","","","","20160206",",4,N","","","33.8","4,,N,06,","89.7","4,,,N","",""
"CA1NS000068","2016-03","45.085355","-63.768382","140.8","RAWDON GOLD MINES 3.4 N, NS CA","8","2,N","8","2,N","1","2,N","","","","","20160303",",2,N","","","26.2","2,,N,03,","99.9","2,,,N","",""
