"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"CA1NS000205","2021-08","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","8","4,N","5","4,N","0","4,N","20210824",",4,N","20.8","4,,N,24,","131.6",",a,,N"
"CA1NS000205","2021-09","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","9",",N","5",",N","4",",N","20210903",",,N","46.5",",,N,03,","163.7",",,,N"
"CA1NS000205","2021-11","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","","","","","","","","","","","200.3","1,a,,N"
"CA1NS000205","2021-12","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","13","1,N","12","1,N","1","1,N","20211212",",1,N","37.3","1,,N,12,","137.6","1,,,N"
"CA1NS000205","2022-01","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","16","2,N","8","2,N","3","2,N","20220115",",2,N","53.8","2,,N,15,","182.2","2,,,N"
"CA1NS000205","2022-02","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","15",",N","11",",N","3",",N","20220205",",,N","47.5",",,N,05,","190.4",",,,N"
"CA1NS000205","2022-04","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","15","2,N","10","2,N","1","2,N","20220420",",2,N","38.1","2,,N,20,","108.8",",a,,N"
"CA1NS000205","2022-05","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","9",",N","5",",N","0",",N","20220505",",,N","11.2",",,N,05,","47.6",",,,N"
"CA1NS000205","2022-06","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","14",",N","9",",N","1",",N","20220610",",,N","50.8",",,N,10,","111.4",",,,N"
"CA1NS000205","2022-07","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","","","","","","","","","","","52.6",",a,,N"
"CA1NS000205","2022-08","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","8","2,N","3","2,N","0","2,N","20220814",",2,N","16.5","2,,N,14,","41.9",",a,,N"
"CA1NS000205","2022-09","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","13",",N","9",",N","2",",N","20220924",",,N","67.1",",,N,24,","160.8",",,,N"
"CA1NS000205","2022-11","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","13","3,N","6","3,N","0","3,N","20221114",",3,N","19.1","3,,N,14,","92.5",",a,,N"
"CA1NS000205","2022-12","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","10","5,N","6","5,N","2","5,N","20221224",",5,N","51.6","5,,N,24,","173.4",",a,,N"
"CA1NS000205","2023-01","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","22",",N","15",",N","3",",N","20230114",",,N","37.8",",,N,14,","221.9",",,,N"
"CA1NS000205","2023-02","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","13",",N","7",",N","0",",N","20230221",",,N","13.7",",,N,21,","63.2",",,,N"
"CA1NS000205","2023-03","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","15",",N","9",",N","0",",N","20230324",",,N","21.3",",,N,24,","93.5",",,,N"
"CA1NS000205","2023-04","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","9",",N","7",",N","0",",N","20230402",",,N","13.2",",,N,02,","44.5",",,,N"
"CA1NS000205","2023-05","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","7",",N","2",",N","1",",N","20230502",",,N","51.3",",,N,02,","64.3",",,,N"
"CA1NS000205","2023-06","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","16","2,N","13","2,N","3","2,N","20230606",",2,N","52.3","2,,N,06,","252.7",",a,,N"
"CA1NS000205","2023-08","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","12",",N","10",",N","5",",N","20230827",",,N","53.6",",,N,27,","249.5",",,,N"
"CA1NS000205","2023-10","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","13",",N","9",",N","2",",N","20231008",",,N","28.7",",,N,08,","129.6",",,,N"
"CA1NS000205","2023-11","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","8","1,N","4","1,N","3","1,N","20231123",",1,N","37.8","1,,N,23,","119.7","1,,,N"
"CA1NS000205","2023-12","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","13",",N","11",",N","1",",N","20231219",",,N","43.4",",,N,19,","142.1",",,,N"
"CA1NS000205","2024-01","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","15","2,N","10","2,N","1","2,N","202401","2,,N","33.3","2,,N,  ,","124.1",",a,,N"
"CA1NS000205","2024-02","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","13",",N","4",",N","1",",N","20240229",",,N","34.5",",,N,29,","78.9",",,,N"
"CA1NS000205","2024-03","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","18",",N","15",",N","4",",N","20240308",",,N","40.6",",,N,08,","256.6",",,,N"
"CA1NS000205","2024-04","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","7","3,N","5","3,N","0","3,N","20240405",",3,N","24.4","3,,N,05,","64.3","1,a,,N"
"CA1NS000205","2024-05","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","8",",N","3",",N","0",",N","20240529",",,N","13.7",",,N,29,","34.5",",,,N"
"CA1NS000205","2024-06","44.55163","-64.644441",,"BARSS CORNER 3.5 ESE, NS CA","12",",N","6",",N","0",",N","20240628",",,N","20.8",",,N,28,","79.9",",,,N"
