"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"CA1ON000149","2014-12","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","8","4,N","2","4,N","0","4,N","20141217",",4,N","8.9","4,,N,17,","46.2","2,a,,N"
"CA1ON000149","2015-01","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","","","","","","","","","","","54.0","2,a,,N"
"CA1ON000149","2015-04","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","12",",N","6",",N","0",",N","20150420",",,N","15.5",",,N,20,","53.6",",,,N"
"CA1ON000149","2015-06","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","18","1,N","11","1,N","2","1,N","20150608",",1,N","50.0","1,,N,08,","213.3","1,,,N"
"CA1ON000149","2015-07","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","8","4,N","3","4,N","0","4,N","20150715",",4,N","22.9","4,,N,15,","55.2","1,a,,N"
"CA1ON000149","2015-08","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","15","2,N","7","2,N","2","2,N","20150814",",2,N","40.9","2,,N,14,","150.1",",a,,N"
"CA1ON000149","2015-09","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","11","2,N","6","2,N","1","2,N","20150909",",2,N","36.3","2,,N,09,","67.0",",a,,N"
"CA1ON000149","2015-10","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","18",",N","11",",N","0",",N","20151009",",,N","20.1",",,N,09,","94.6",",,,N"
"CA1ON000149","2015-11","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","14",",N","11",",N","0",",N","20151122",",,N","18.3",",,N,22,","118.1",",,,N"
"CA1ON000149","2015-12","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","16","1,N","6","1,N","0","1,N","20151222",",1,N","20.3","1,,N,22,","74.5","1,,,N"
"CA1ON000149","2016-01","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","21",",N","12",",N","0",",N","20160119",",,N","11.7",",,N,19,","81.5",",,,N"
"CA1ON000149","2016-02","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","18","1,N","8","1,N","0","1,N","20160225",",1,N","24.9","1,,N,25,","93.9","1,,,N"
"CA1ON000149","2016-03","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","15","1,N","9","1,N","2","1,N","20160325",",1,N","37.8","1,,N,25,","149.5","1,,,N"
"CA1ON000149","2016-04","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","11","1,N","6","1,N","1","1,N","20160401",",1,N","28.2","1,,N,01,","97.6","1,,,N"
"CA1ON000149","2016-05","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","9",",N","3",",N","0",",N","20160514",",,N","20.3",",,N,14,","46.9",",,,N"
"CA1ON000149","2016-06","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","8","2,N","4","2,N","0","2,N","20160627",",2,N","17.5","2,,N,27,","53.6","2,,,N"
"CA1ON000149","2016-07","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","9","1,N","4","1,N","1","1,N","20160714",",1,N","34.5","1,,N,14,","61.5","1,,,N"
"CA1ON000149","2016-08","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","11","3,N","6","3,N","1","3,N","20160814",",3,N","46.5","3,,N,14,","153.2","1,a,,N"
"CA1ON000149","2016-09","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","10","3,N","5","3,N","0","3,N","20160927",",3,N","22.6","3,,N,27,","57.1","3,,,N"
"CA1ON000149","2016-10","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","19",",N","7",",N","0",",N","20161013",",,N","14.2",",,N,13,","56.7",",,,N"
"CA1ON000149","2016-11","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","14",",N","6",",N","0",",N","20161103",",,N","22.1",",,N,03,","54.9",",,,N"
"CA1ON000149","2016-12","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","25",",N","13",",N","0",",N","20161227",",,N","18.3",",,N,27,","111.9",",,,N"
"CA1ON000149","2017-01","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","23",",N","10",",N","0",",N","20170111",",,N","17.5",",,N,11,","105.1",",,,N"
"CA1ON000149","2017-02","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","14",",N","7",",N","0",",N","20170208",",,N","16.3",",,N,08,","52.6",",,,N"
"CA1ON000149","2017-03","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","17",",N","8",",N","0",",N","20170301",",,N","21.1",",,N,01,","65.3",",,,N"
"CA1ON000149","2017-04","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","12","2,N","9","2,N","0","2,N","20170421",",2,N","22.6","2,,N,21,","95.5",",a,,N"
"CA1ON000149","2017-05","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","12",",N","12",",N","0",",N","20170505",",,N","21.1",",,N,05,","123.1",",,,N"
"CA1ON000149","2017-06","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","12","2,N","6","2,N","2","2,N","20170623",",2,N","95.0","2,,N,23,","168.8","2,,,N"
"CA1ON000149","2017-07","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","10","3,N","6","3,N","0","3,N","20170723",",3,N","9.9","3,,N,23,","36.8",",a,,N"
"CA1ON000149","2017-09","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","11","1,N","7","1,N","1","1,N","20170920",",1,N","29.7","1,,N,20,","87.2","1,,,N"
"CA1ON000149","2017-10","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","14","3,N","7","3,N","0","3,N","20171015",",3,N","20.1","3,,N,15,","95.4",",a,,N"
"CA1ON000149","2017-11","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","15",",N","7",",N","0",",N","20171116",",,N","21.3",",,N,16,","85.7",",,,N"
"CA1ON000149","2017-12","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","","","","","","","","","","","49.8","2,a,,N"
"CA1ON000149","2018-01","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","","","","","","","","","","","95.2","2,a,,N"
"CA1ON000149","2018-02","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","","","","","","","","","","","110.4",",a,,N"
"CA1ON000149","2018-04","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","12","3,N","7","3,N","2","3,N","20180415",",3,N","34.3","3,,N,15,","121.1","1,a,,N"
"CA1ON000149","2018-05","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","9",",N","6",",N","0",",N","20180515",",,N","12.4",",,N,15,","50.0",",,,N"
"CA1ON000149","2018-06","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","10",",N","5",",N","0",",N","20180627",",,N","10.2",",,N,27,","39.5",",,,N"
"CA1ON000149","2018-07","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","6",",N","5",",N","0",",N","20180725",",,N","18.3",",,N,25,","43.7",",,,N"
"CA1ON000149","2018-08","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","12","2,N","10","2,N","1","2,N","20180818",",2,N","35.1","2,,N,18,","111.4",",a,,N"
"CA1ON000149","2018-09","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","10",",N","4",",N","0",",N","20180902",",,N","9.4",",,N,02,","30.2",",,,N"
"CA1ON000149","2018-10","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","","","","","","","","","","","64.6",",a,,N"
"CA1ON000149","2018-11","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","","","","","","","","","","","109.1",",a,,N"
"CA1ON000149","2018-12","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","18",",N","10",",N","0",",N","20181221",",,N","22.9",",,N,21,","91.3",",,,N"
"CA1ON000149","2019-01","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","19",",N","10",",N","0",",N","20190123","+,,N","16.0",",,N,23,+","81.9",",,,N"
"CA1ON000149","2019-02","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","19","1,N","9","1,N","0","1,N","20190213",",1,N","18.3","1,,N,13,","66.0","1,,,N"
"CA1ON000149","2019-03","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","15",",N","6",",N","0",",N","20190331",",,N","13.5",",,N,31,","66.6",",,,N"
"CA1ON000149","2019-04","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","12",",N","9",",N","1",",N","20190426",",,N","25.4",",,N,26,","105.7",",,,N"
"CA1ON000149","2019-05","43.742101","-81.246272","340.5","BRUSSELS 0.4 ESE MVCA, ON CA","14","2,N","8","2,N","0","2,N","20190526",",2,N","23.1","2,,N,26,","88.0","2,,,N"
