"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"CA1QC000076","2021-09","45.021764","-72.721938",,"EAST PINNACLE, QC CA","14","2,N","4","2,N","0","2,N","20210924",",2,N","21.3","2,,N,24,","53.1","2,,,N"
"CA1QC000076","2021-10","45.021764","-72.721938",,"EAST PINNACLE, QC CA","16","1,N","12","1,N","1","1,N","20211031",",1,N","26.9","1,,N,31,","142.8","1,,,N"
"CA1QC000076","2021-11","45.021764","-72.721938",,"EAST PINNACLE, QC CA","15","2,N","11","2,N","0","2,N","20211101",",2,N","22.6","2,,N,01,","113.8","2,,,N"
"CA1QC000076","2021-12","45.021764","-72.721938",,"EAST PINNACLE, QC CA","21","5,N","8","5,N","0","5,N","20211219",",5,N","16.5","5,,N,19,","77.5","3,a,,N"
"CA1QC000076","2022-01","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","31.7","3,a,,N"
"CA1QC000076","2022-10","45.021764","-72.721938",,"EAST PINNACLE, QC CA","12",",N","7",",N","1",",N","20221014",",,N","40.6",",,N,14,","77.3",",,,N"
"CA1QC000076","2022-11","45.021764","-72.721938",,"EAST PINNACLE, QC CA","16","3,N","5","3,N","2","3,N","20221107",",3,N","48.5","3,,N,07,","118.2",",a,,N"
"CA1QC000076","2022-12","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","94.3","1,a,,N"
"CA1QC000076","2023-01","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","140.5",",a,,N"
"CA1QC000076","2023-02","45.021764","-72.721938",,"EAST PINNACLE, QC CA","12","4,N","5","4,N","0","4,N","20230210",",4,N","18.3","4,,N,10,","50.8","1,a,,N"
"CA1QC000076","2023-03","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","76.2","1,a,,N"
"CA1QC000076","2023-04","45.021764","-72.721938",,"EAST PINNACLE, QC CA","10","3,N","5","3,N","1","3,N","20230406",",3,N","34.3","3,,N,06,","112.5","1,a,,N"
"CA1QC000076","2023-05","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","28.9","4,a,,N"
"CA1QC000076","2023-06","45.021764","-72.721938",,"EAST PINNACLE, QC CA","16","4,N","6","4,N","0","4,N","20230617",",4,N","21.1","4,,N,17,","106.9",",a,,N"
"CA1QC000076","2023-07","45.021764","-72.721938",,"EAST PINNACLE, QC CA","22","4,N","11","4,N","3","4,N","20230702",",4,N","58.9","4,,N,02,","261.5","2,a,,N"
"CA1QC000076","2023-08","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","129.4","1,a,,N"
"CA1QC000076","2023-09","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","81.6",",a,,N"
"CA1QC000076","2024-02","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","21.8","2,a,,N"
"CA1QC000076","2024-03","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","118.0","1,a,,N"
"CA1QC000076","2024-04","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","87.1",",a,,N"
"CA1QC000076","2024-05","45.021764","-72.721938",,"EAST PINNACLE, QC CA","","","","","","","","","","","103.5",",a,,N"
