"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00058251","1953-01","32.85","120.283","5.0","DONGTAI, CH","0.0","s","0.0",",s","6",",s","1",",s","0",",s","0",",s","27",",s","1",",s","0",",s","0",",s","19530118",",,s","19530125",",,s","19530110",",,s","-8.4",",s,18,","17.7",",,s,25,","17.4",",s,10,","","","521.3",",s","22.5",",,,s","1.52",",s","5.48",",,,s","-2.45",",,,s"
"CHM00058251","1953-02","32.85","120.283","5.0","DONGTAI, CH","0.0","s","0.0",",s","11",",s","7",",s","0",",s","0",",s","12",",s","0",",s","0",",s","0",",s","19530218",",,s","19530225",",,s","19530211",",,s","-5.1",",s,18,","13.8",",,s,25,","17.4",",s,11,","","","404.0",",s","67.4",",,,s","3.90",",s","6.89",",,,s","0.92",",,,s"
"CHM00058251","1953-03","32.85","120.283","5.0","DONGTAI, CH","0.0","s","0.0",",s","6",",s","5",",s","0",",s","0",",s","1",",s","0",",s","2",",s","0",",s","19530308",",,s","19530327",",,s","19530310",",,s","-0.4",",s,08,","20.5",",,s,27,","23.7",",s,10,","","","320.4",",s","54.9",",,,s","8.00",",s","12.69",",,,s","3.31",",,,s"
"CHM00058251","1953-04","32.85","120.283","5.0","DONGTAI, CH","15.5","s","15.5",",s","3",",s","1",",s","0",",s","0",",s","0",",s","0",",s","8",",s","0",",s","19530412",",,s","19530429",",,s","19530428",",,s","2.7",",s,12,","17.5",",,s,29,","31.9",",s,28,","","","149.4",",s","19.5",",,,s","13.87",",s","19.91",",,,s","7.83",",,,s"
"CHM00058251","1953-05","32.85","120.283","5.0","DONGTAI, CH","118.4","s","102.9",",s","6",",s","3",",s","2",",s","0",",s","0",",s","0",",s","27",",s","3",",s","19530503",",,s","19530506",",,s","19530525",",,s","8.2",",s,03,","37.0",",,s,06,","33.9",",s,25,","","","14.3",",s","76.7",",,,s","21.19",",s","26.87",",,,s","15.51",",,,s"
"CHM00058251","1953-06","32.85","120.283","5.0","DONGTAI, CH","323.1","s","204.7",",s","8",",s","6",",s","2",",s","0",",s","0",",s","0",",s","30",",s","7",",s","19530608",",,s","19530627",",,s","19530619",",,s","16.8",",s,08,","119.6",",,s,27,","37.5",",s,19,","","","0.0",",s","251.4",",,,s","25.16",",s","29.80",",,,s","20.51",",,,s"
"CHM00058251","1953-07","32.85","120.283","5.0","DONGTAI, CH","666.4","s","343.3",",s","11",",s","8",",s","2",",s","0",",s","0",",s","0",",s","31",",s","21",",s","19530701",",,s","19530715",",,s","19530730","+,,s","19.3",",s,01,","51.7",",,s,15,","36.7",",s,30,+","0.0","s","0.0",",s","144.2",",,,s","29.41",",s","33.36",",,,s","25.45",",,,s"
"CHM00058251","1953-08","32.85","120.283","5.0","DONGTAI, CH","1006.9","s","340.5",",s","10",",s","7",",s","1",",s","0",",s","0",",s","0",",s","31",",s","26",",s","19530830",",,s","19530803",",,s","19530824",",,s","19.8",",s,30,","48.0",",,s,03,","38.5",",s,24,","0.0","s","0.0",",s","130.4",",,,s","29.32",",s","33.66",",,,s","24.97",",,,s"
"CHM00058251","1953-09","32.85","120.283","5.0","DONGTAI, CH","1142.6","s","135.7",",s","6",",s","3",",s","1",",s","0",",s","0",",s","0",",s","30",",s","1",",s","19530930","+,,s","19530903",",,s","19530902",",,s","15.5",",s,30,+","113.4",",,s,03,","33.5",",s,02,","0.0","s","0.0",",s","124.0",",,,s","22.86",",s","27.17",",,,s","18.54",",,,s"
"CHM00058251","1953-10","32.85","120.283","5.0","DONGTAI, CH","1187.0","s","44.4",",s","5",",s","3",",s","0",",s","0",",s","0",",s","0",",s","25",",s","0",",s","19531025",",,s","19531027",",,s","19531012",",,s","10.3",",s,25,","13.2",",,s,27,","28.9",",s,12,","14.9","s","14.9",",s","21.5",",,,s","19.28",",s","24.38",",,,s","14.19",",,,s"
