"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CT000004656","1950-01","4.73","22.83","500.0","BANGASSOU, CT","240.4","I","240.4",",I","1",",I","0",",I","0",",I","0",",I","0",",I","0",",I","31",",I","27",",I","19500119",",,I","19500131",",,I","19500126",",,I","12.8",",I,19,","2.0",",,I,31,","37.4",",I,26,","","","0.0",",I","2.0",",,,I","26.09",",I","34.67",",,,I","17.51",",,,I"
"CT000004656","1950-02","4.73","22.83","500.0","BANGASSOU, CT","481.5","I","241.1",",I","1",",I","1",",I","0",",I","0",",I","0",",I","0",",I","28",",I","27",",I","19500216",",,I","19500222",",,I","19500228",",,I","13.5",",I,16,","10.0",",,I,22,","39.8",",I,28,","","","0.0",",I","10.0",",,,I","26.94",",I","36.15",",,,I","17.74",",,,I"
"CT000004656","1950-03","4.73","22.83","500.0","BANGASSOU, CT","760.2","I","278.7",",I","10",",I","7",",I","2",",I","0",",I","0",",I","0",",I","31",",I","24",",I","19500301",",,I","19500328",",,I","19500301",",,I","18.0",",I,01,","56.4",",,I,28,","38.8",",I,01,","","","0.0",",I","137.3",",,,I","27.32",",I","34.01",",,,I","20.64",",,,I"
"CT000004656","1950-04","4.73","22.83","500.0","BANGASSOU, CT","1026.4","I","266.2",",I","10",",I","8",",I","0",",I","0",",I","0",",I","0",",I","30",",I","21",",I","19500420",",,I","19500425","+,,I","19500421",",,I","19.6",",I,20,","14.5",",,I,25,+","36.8",",I,21,","","","0.0",",I","87.0",",,,I","27.21",",I","33.18",",,,I","21.23",",,,I"
"CT000004656","1950-05","4.73","22.83","500.0","BANGASSOU, CT","1257.5","I","231.1",",I","21",",I","18",",I","6",",I","0",",I","0",",I","0",",I","31",",I","11",",I","19500528","+,,I","19500501",",,I","19500505",",,I","19.2",",I,28,+","42.7",",,I,01,","35.2",",I,05,","","","0.0",",I","326.8",",,,I","25.79",",I","31.37",",,,I","20.21",",,,I"
"CT000004656","1950-06","4.73","22.83","500.0","BANGASSOU, CT","1470.5","I","213.0",",I","15",",I","11",",I","3",",I","0",",I","0",",I","0",",I","30",",I","8",",I","19500618",",,I","19500602",",,I","19500629",",,I","17.2",",I,18,","48.0",",,I,02,","33.0",",I,29,","","","0.0",",I","225.8",",,,I","25.43",",I","30.75",",,,I","20.11",",,,I"
"CT000004656","1950-07","4.73","22.83","500.0","BANGASSOU, CT","1662.7","I","192.2",",I","17",",I","14",",I","3",",I","0",",I","0",",I","0",",I","31",",I","2",",I","19500707","+,,I","19500725",",,I","19500707",",,I","18.6",",I,07,+","121.5",",,I,25,","32.5",",I,07,","0.0","I","0.0",",I","292.1",",,,I","24.53",",I","29.40",",,,I","19.66",",,,I"
"CT000004656","1950-08","4.73","22.83","500.0","BANGASSOU, CT","1860.6","I","197.9",",I","20",",I","10",",I","1",",I","0",",I","0",",I","0",",I","31",",I","5",",I","19500814","+,,I","19500815",",,I","19500816",",,I","17.8",",I,14,+","42.0",",,I,15,","33.8",",I,16,","0.0","I","0.0",",I","127.5",",,,I","24.72",",I","29.88",",,,I","19.56",",,,I"
"CT000004656","1950-09","4.73","22.83","500.0","BANGASSOU, CT","2062.9","I","202.3",",I","16",",I","9",",I","3",",I","0",",I","0",",I","0",",I","30",",I","6",",I","19500930",",,I","19500906",",,I","19500918","+,,I","18.0",",I,30,","64.2",",,I,06,","33.0",",I,18,+","0.0","I","0.0",",I","183.1",",,,I","25.08",",I","30.45",",,,I","19.70",",,,I"
"CT000004656","1950-10","4.73","22.83","500.0","BANGASSOU, CT","2281.4","I","218.5",",I","17",",I","11",",I","4",",I","0",",I","0",",I","0",",I","31",",I","9",",I","19501006",",,I","19501027",",,I","19501001",",,I","17.4",",I,06,","49.2",",,I,27,","34.0",",I,01,","0.0","I","0.0",",I","210.8",",,,I","25.38",",I","31.22",",,,I","19.54",",,,I"
