"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FIE00142271","1959-01","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","","","21",",E","14",",E","0",",E","6",",","31",",E","","","","","","","19590119",",,E","19590101",",,E","","","-30.2",",E,19,","10.9",",,E,01,","","","","","","","91.8",",,,E","","","","","-10.64",",,,E"
"FIE00142271","1959-02","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","","","9",",E","5",",E","0",",E","1",",","28",",E","","","","","","","19590202",",,E","19590220",",,E","","","-19.1",",E,02,","6.9",",,E,20,","","","","","","","23.3",",,,E","","","","","-7.59",",,,E"
"FIE00142271","1959-03","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","","","5",",E","2",",E","0",",E","0",",","29",",E","","","","","","","19590313",",,E","19590306",",,E","","","-13.6",",E,13,","16.2",",,E,06,","","","","","","","24.2",",,,E","","","","","-4.74",",,,E"
"FIE00142271","1959-04","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","","","8",",E","3",",E","0",",E","0",",","17",",E","","","","","","","19590401",",,E","19590410",",,E","","","-10.0",",E,01,","17.4",",,E,10,","","","","","","","37.6",",,,E","","","","","-0.78",",,,E"
"FIE00142271","1959-05","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","0.0",",E","9",",E","2",",E","0",",E","0",",E","6",",E","0",",E","4",",E","0",",E","19590523",",,E","19590504",",,E","19590515",",,E","-4.0",",E,23,","11.2",",,E,04,","25.9",",E,15,","","","277.1",",E","26.6",",,,E","9.40",",E","15.62",",,,E","3.17",",,,E"
"FIE00142271","1959-06","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","2.8",",E","13",",E","5",",E","0",",E","0",",E","1",",E","0",",E","17",",E","0",",E","19590620",",,E","19590602",",,E","19590609",",,E","-0.5",",E,20,","8.5",",,E,02,","27.7",",E,09,","","","124.7",",E","34.8",",,,E","14.27",",E","20.99",",,,E","7.55",",,,E"
"FIE00142271","1959-07","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","28.2",",E","9",",E","5",",E","1",",E","0",",E","0",",E","0",",E","27",",E","0",",E","19590723",",,E","19590701",",,E","19590725",",,E","3.0",",E,23,","45.9",",,E,01,","29.5",",E,25,","35.8","","35.8",",E","80.7",",,,E","18.09",",E","24.14",",,,E","12.04",",,,E"
"FIE00142271","1959-08","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","35.0",",E","8",",E","5",",E","0",",E","0",",E","0",",E","0",",E","23",",E","0",",E","19590812",",,E","19590825",",,E","19590823",",,E","3.0",",E,12,","13.2",",,E,25,","29.2",",E,23,","95.5","","59.7",",E","38.9",",,,E","17.54",",E","23.19",",,,E","11.88",",,,E"
"FIE00142271","1959-09","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","0.0",",E","5",",E","0",",E","0",",E","0",",E","4",",E","0",",E","0",",E","0",",E","19590923",",,E","19590917",",,E","19590912",",,E","-4.0",",E,23,","1.5",",,E,17,","21.0",",E,12,","364.5","","269.0",",E","4.3",",,,E","9.37",",E","13.91",",,,E","4.82",",,,E"
"FIE00142271","1959-10","60.4167","25.0331","45.0","TUUSULA HYRYLA, FI","","","0.0",",E","12",",E","3",",E","0",",E","0",",E","13",",E","2",",E","0",",E","0",",E","19591024","+,,E","19591025",",,E","19591005",",,E","-9.0",",E,24,+","8.0",",,E,25,","16.9",",E,05,","793.9","","429.4",",E","33.9",",,,E","4.48",",E","8.60",",,,E","0.36",",,,E"
