"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"FIE00144747","1982-01","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","12",",E","5",",E","0",",E","19820122",",,E","6.2",",,E,22,","30.2",",,,E"
"FIE00144747","1982-02","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","5",",E","0",",E","0",",E","19820209",",,E","2.3",",,E,09,","7.1",",,,E"
"FIE00144747","1982-03","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","11",",E","3",",E","0",",E","19820304",",,E","4.0",",,E,04,","21.9",",,,E"
"FIE00144747","1982-04","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","10",",E","6",",E","0",",E","19820407",",,E","16.4",",,E,07,","46.4",",,,E"
"FIE00144747","1982-05","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","14",",E","8",",E","0",",E","19820528",",,E","11.0",",,E,28,","47.2",",,,E"
"FIE00144747","1982-06","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","11",",E","7",",E","0",",E","19820616",",,E","13.5",",,E,16,","46.9",",,,E"
"FIE00144747","1982-07","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","6",",E","5",",E","0",",E","19820723",",,E","8.5",",,E,23,","27.5",",,,E"
"FIE00144747","1982-08","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","12",",E","10",",E","0",",E","19820810",",,E","23.8",",,E,10,","96.1",",,,E"
"FIE00144747","1982-09","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","9",",E","6",",E","0",",E","19820913",",,E","7.3",",,E,13,","31.2",",,,E"
"FIE00144747","1982-10","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","8",",E","5",",E","0",",E","19821014",",,E","11.2",",,E,14,","31.8",",,,E"
"FIE00144747","1982-11","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","18",",E","10",",E","0",",E","19821128",",,E","11.5",",,E,28,","69.0",",,,E"
"FIE00144747","1982-12","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","15",",E","6",",E","0",",E","19821221",",,E","7.8",",,E,21,","35.5",",,,E"
"FIE00144747","1983-01","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","19",",E","10",",E","0",",E","19830113",",,E","6.7",",,E,13,","56.1",",,,E"
"FIE00144747","1983-02","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","3",",E","2",",E","0",",E","19830201",",,E","4.2",",,E,01,","8.5",",,,E"
"FIE00144747","1983-03","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","12",",E","4",",E","0",",E","19830325",",,E","12.8",",,E,25,","33.8",",,,E"
"FIE00144747","1983-04","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","10",",E","5",",E","0",",E","19830409",",,E","19.0",",,E,09,","47.4",",,,E"
"FIE00144747","1983-05","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","10",",E","5",",E","0",",E","19830531",",,E","7.8",",,E,31,","31.8",",,,E"
"FIE00144747","1983-06","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","11",",E","7",",E","3",",E","19830603",",,E","50.3",",,E,03,","149.2",",,,E"
"FIE00144747","1983-07","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","14",",E","8",",E","0",",E","19830716",",,E","19.5",",,E,16,","69.2",",,,E"
"FIE00144747","1983-08","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","9",",E","6",",E","0",",E","19830828",",,E","14.0",",,E,28,","48.0",",,,E"
"FIE00144747","1983-09","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","18",",E","11",",E","1",",E","19830923",",,E","34.0",",,E,23,","129.4",",,,E"
"FIE00144747","1983-10","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","22",",E","12",",E","0",",E","19831005",",,E","12.4",",,E,05,","77.3",",,,E"
"FIE00144747","1983-11","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","17",",E","9",",E","0",",E","19831126",",,E","11.0",",,E,26,","52.5",",,,E"
"FIE00144747","1983-12","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","19",",E","8",",E","0",",E","19831208",",,E","11.5",",,E,08,","58.7",",,,E"
"FIE00144747","1984-01","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","24",",E","7",",E","0",",E","19840103",",,E","5.6",",,E,03,","52.1",",,,E"
"FIE00144747","1984-02","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","14",",E","2",",E","0",",E","19840203",",,E","3.1",",,E,03,","19.3",",,,E"
"FIE00144747","1984-03","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","12",",E","4",",E","0",",E","19840301",",,E","8.3",",,E,01,","34.1",",,,E"
"FIE00144747","1984-04","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","7",",E","3",",E","0",",E","19840401",",,E","12.0",",,E,01,","29.4",",,,E"
"FIE00144747","1984-05","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","4",",E","2",",E","0",",E","19840504",",,E","15.5",",,E,04,","25.0",",,,E"
"FIE00144747","1984-06","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","13",",E","9",",E","0",",E","19840630",",,E","11.7",",,E,30,","69.6",",,,E"
"FIE00144747","1984-07","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","18",",E","9",",E","1",",E","19840720",",,E","56.6",",,E,20,","130.1",",,,E"
"FIE00144747","1984-08","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","8",",E","5",",E","0",",E","19840829",",,E","8.0",",,E,29,","30.4",",,,E"
"FIE00144747","1984-09","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","11",",E","9",",E","0",",E","19840904",",,E","17.0",",,E,04,","67.8",",,,E"
"FIE00144747","1984-10","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","21",",E","13",",E","0",",E","19841009",",,E","13.9",",,E,09,","98.7",",,,E"
"FIE00144747","1984-11","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","12",",E","2",",E","0",",E","19841106",",,E","6.0",",,E,06,","21.7",",,,E"
"FIE00144747","1984-12","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","14",",E","1",",E","0",",E","19841219",",,E","2.6",",,E,19,","17.3",",,,E"
"FIE00144747","1985-01","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","11",",E","4",",E","0",",E","19850109",",,E","5.2",",,E,09,","25.7",",,,E"
"FIE00144747","1985-02","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","8",",E","0",",E","0",",E","19850201",",,E","2.3",",,E,01,","10.5",",,,E"
"FIE00144747","1985-03","62.85","27.2831","145.0","KARTTULA KALLIORANTA, FI","11",",E","4",",E","0",",E","19850310",",,E","7.1",",,E,10,","28.6",",,,E"
