"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007181","1975-05","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","","","","","0","4,S","6","4,S","0","4,S","","","","","19750520","+,4,S","","","","","24.0","4,S,20,+","","","","","","","16.63","4,,,S","",""
"FRM00007181","1975-06","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","","","","","0","5,S","9","5,S","0","5,S","","","","","19750613",",5,S","","","","","28.0","5,S,13,","","","","","","","19.68","5,,,S","",""
"FRM00007181","1975-08","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","5,S","0","5,S","","","","","","","19750824",",5,S","","","","","8.0","5,S,24,","","","","","","","","","","","","","13.85","5,,,S"
"FRM00007181","1975-09","48.583","5.955","337.1","OCHEY, FR","0.3","5,S","16",",S","6",",S","0",",S","0","3,S","0","3,S","0","2,S","9","2,S","0","2,S","19750920",",3,S","19750914",",,S","19750930",",2,S","6.0","3,S,20,","20.1",",,S,14,","25.0","2,S,30,","68.7","2,S","90.3",",,,S","15.50","5,S","19.89","2,,,S","11.11","3,,,S"
"FRM00007181","1975-10","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","4,S","3","4,S","","","","","","","19751029","+,4,S","","","","","-2.0","4,S,29,+","","","","","","","","","","","","","3.96","4,,,S"
"FRM00007181","1975-12","48.583","5.955","337.1","OCHEY, FR","","","6","2,S","3","2,S","0","2,S","0","5,S","21","5,S","7","3,S","0","3,S","0","3,S","19751220",",5,S","19751203",",2,S","19751202",",3,S","-9.0","5,S,20,","17.0","2,,S,03,","8.0","3,S,02,","","","34.3","2,,,S","0.15","7,S","2.21","3,,,S","-1.92","5,,,S"
"FRM00007181","1976-02","48.583","5.955","337.1","OCHEY, FR","","","10","3,S","3","3,S","0","3,S","","","","","4","4,S","0","4,S","0","4,S","","","19760213",",3,S","19760229",",4,S","","","9.9","3,,S,13,","15.0","4,S,29,","","","23.1","3,,,S","","","5.84","4,,,S","",""
"FRM00007181","1976-08","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","5,S","0","5,S","","","","","","","19760802",",5,S","","","","","8.0","5,S,02,","","","","","","","","","","","","","10.92","5,,,S"
"FRM00007181","1976-09","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","5,S","0","5,S","","","","","","","19760907",",5,S","","","","","4.0","5,S,07,","","","","","","","","","","","","","9.12","5,,,S"
"FRM00007181","1976-11","48.583","5.955","337.1","OCHEY, FR","","","14","4,S","6","4,S","0","4,S","","","","","0","3,S","0","3,S","0","3,S","","","19761130",",4,S","19761108","+,3,S","","","18.0","4,,S,30,","12.0","3,S,08,+","","","52.5","4,,,S","","","7.56","3,,,S","",""
"FRM00007181","1976-12","48.583","5.955","337.1","OCHEY, FR","","","14","3,S","5","3,S","0","3,S","","","","","10","5,S","0","5,S","0","5,S","","","19761201",",3,S","19761208",",5,S","","","16.0","3,,S,01,","9.0","5,S,08,","","","60.6","3,,,S","","","2.50","5,,,S","",""
"FRM00007181","1977-01","48.583","5.955","337.1","OCHEY, FR","","","19",",S","9",",S","0",",S","","","","","","","","","","","","","19770125",",,S","","","","","14.0",",,S,25,","","","","","83.8",",,,S","","","","","",""
"FRM00007181","1977-02","48.583","5.955","337.1","OCHEY, FR","","","21","2,S","15","2,S","0","2,S","","","","","2","1,S","0","1,S","0","1,S","","","19770206",",2,S","19770224","+,1,S","","","11.9","2,,S,06,","13.0","1,S,24,+","","","109.6","2,,,S","","","7.33","1,,,S","",""
"FRM00007181","1977-03","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","5,S","4","5,S","","","","","","","19770331",",5,S","","","","","-7.0","5,S,31,","","","","","","","","","","","","","4.35","5,,,S"
"FRM00007181","1977-04","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","3,S","12","3,S","","","","","","","19770410","+,3,S","","","","","-5.0","3,S,10,+","","","","","","","","","","","","","1.85","3,,,S"
"FRM00007181","1977-06","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","3,S","0","3,S","","","","","","","19770602",",3,S","","","","","5.0","3,S,02,","","","","","","","","","","","","","10.67","3,,,S"
"FRM00007181","1977-07","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","3,S","0","3,S","","","","","","","19770716",",3,S","","","","","6.0","3,S,16,","","","","","","","","","","","","","12.29","3,,,S"
"FRM00007181","1977-09","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","0","4,S","0","4,S","","","","","","","19770919","+,4,S","","","","","1.0","4,S,19,+","","","","","","","","","","","","","7.73","4,,,S"
"FRM00007181","1977-10","48.583","5.955","337.1","OCHEY, FR","","","","","","","","","","","","","0","5,S","1","5,S","0","5,S","","","","","19771021",",5,S","","","","","23.0","5,S,21,","","","","","","","14.96","5,,,S","",""
"FRM00007181","1977-12","48.583","5.955","337.1","OCHEY, FR","","","17","2,S","10","2,S","0","2,S","0","5,S","15","5,S","3","3,S","0","3,S","0","3,S","19771221",",5,S","19771227","+,2,S","19771224",",3,S","-8.0","5,S,21,","10.9","2,,S,27,+","12.0","3,S,24,","","","80.4","2,,,S","2.74","8,S","5.82","3,,,S","-0.35","5,,,S"
