"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007335","1973-02","46.588","0.307","128.9","BIARD, FR","","","13","3,S","6","3,S","0","3,S","0","5,S","13","5,S","0","1,S","0","1,S","0","1,S","19730228","+,5,S","19730213",",3,S","19730209","+,1,S","-4.0","5,S,28,+","15.0","3,,S,13,","11.0","1,S,09,+","","","","","46.5","3,,,S","3.71","6,S","6.81","1,,,S","0.61","5,,,S"
"FRM00007335","1973-03","46.588","0.307","128.9","BIARD, FR","0.0","4,S","3","2,S","1","2,S","0","2,S","0","2,S","19","2,S","0","2,S","0","2,S","0","2,S","19730318",",2,S","19730325",",2,S","19730323",",2,S","-4.0","2,S,18,","4.1","2,,S,25,","21.0","2,S,23,","","","320.5","2,S","5.9","2,,,S","6.53","4,S","12.62","2,,,S","0.45","2,,,S"
"FRM00007335","1973-04","46.588","0.307","128.9","BIARD, FR","0.0","5,S","8","4,S","4","4,S","0","4,S","0","4,S","8","4,S","0","1,S","1","1,S","0","1,S","19730404",",4,S","19730428",",4,S","19730430",",1,S","-4.0","4,S,04,","7.1","4,,S,28,","23.0","1,S,30,","","","247.3","1,S","20.3","4,,,S","8.20","5,S","14.17","1,,,S","2.23","4,,,S"
"FRM00007335","1973-05","46.588","0.307","128.9","BIARD, FR","2.8","5,S","17",",S","14",",S","1",",S","0","3,S","0","3,S","0","3,S","10","3,S","0","3,S","19730511",",3,S","19730510",",,S","19730527",",3,S","2.0","3,S,11,","34.0",",,S,10,","28.0","3,S,27,","","","98.0","3,S","115.5",",,,S","14.57","5,S","20.04","3,,,S","9.11","3,,,S"
"FRM00007335","1973-06","46.588","0.307","128.9","BIARD, FR","23.5","5,S","6","3,S","3","3,S","0","3,S","0","5,S","0","5,S","0","1,S","22","1,S","0","1,S","19730603",",5,S","19730601",",3,S","19730626",",1,S","7.0","5,S,03,","22.1","3,,S,01,","32.0","1,S,26,","","","26.8","1,S","33.5","3,,,S","17.83","5,S","23.86","1,,,S","11.80","5,,,S"
"FRM00007335","1973-07","46.588","0.307","128.9","BIARD, FR","","","13","3,S","8","3,S","0","3,S","0","3,S","0","3,S","0","4,S","20","4,S","2","4,S","19730726",",3,S","19730724","+,3,S","19730704","+,4,S","9.0","3,S,26,","9.9","3,,S,24,+","33.0","4,S,04,+","","","","","64.8","3,,,S","19.06","6,S","24.48","4,,,S","13.64","3,,,S"
"FRM00007335","1973-08","46.588","0.307","128.9","BIARD, FR","88.0","3,S","10","2,S","6","2,S","1","2,S","0","2,S","0","2,S","0","1,S","28","1,S","2","1,S","19730808",",2,S","19730823",",2,S","19730813",",1,S","8.0","2,S,08,","46.2","2,,S,23,","34.0","1,S,13,","","","7.8","1,S","77.0","2,,,S","21.21","3,S","26.93","1,,,S","15.48","2,,,S"
"FRM00007335","1973-09","46.588","0.307","128.9","BIARD, FR","32.0","5,S","12","3,S","6","3,S","1","3,S","0","5,S","0","5,S","0",",S","17",",S","0",",S","19730924",",5,S","19730909",",3,S","19730904",",,S","4.0","5,S,24,","47.0","3,,S,09,","32.0",",S,04,","","","56.8",",S","87.1","3,,,S","17.37","5,S","23.13",",,,S","11.60","5,,,S"
"FRM00007335","1973-10","46.588","0.307","128.9","BIARD, FR","0.0","4,S","7","5,S","3","5,S","0","5,S","0","3,S","3","3,S","0","4,S","1","4,S","0","4,S","19731019",",3,S","19731014",",5,S","19731005",",4,S","-1.0","3,S,19,","18.0","5,,S,14,","22.0","4,S,05,","","","210.5","4,S","41.7","5,,,S","10.51","4,S","15.33","4,,,S","5.68","3,,,S"
"FRM00007335","1973-11","46.588","0.307","128.9","BIARD, FR","","","10","2,S","2","2,S","0","2,S","","","","","0","2,S","0","2,S","0","2,S","","","19731128",",2,S","19731103",",2,S","","","9.9","2,,S,28,","21.0","2,S,03,","","","","","22.5","2,,,S","","","12.07","2,,,S","",""
"FRM00007335","1973-12","46.588","0.307","128.9","BIARD, FR","","","16","4,S","11","4,S","1","4,S","","","","","","","","","","","","","19731222",",4,S","","","","","36.1","4,,S,22,","","","","","","","108.3","4,,,S","","","","","",""
"FRM00007335","1974-01","46.588","0.307","128.9","BIARD, FR","","","15","1,S","7","1,S","0","1,S","","","","","0","3,S","0","3,S","0","3,S","","","19740129",",1,S","19740115","+,3,S","","","23.9","1,,S,29,","14.0","3,S,15,+","","","","","67.3","1,,,S","","","10.43","3,,,S","",""
"FRM00007335","1974-02","46.588","0.307","128.9","BIARD, FR","","","13","2,S","6","2,S","0","2,S","","","","","0","4,S","0","4,S","0","4,S","","","19740206","+,2,S","19740210","+,4,S","","","8.9","2,,S,06,+","15.0","4,S,10,+","","","","","49.1","2,,,S","","","10.13","4,,,S","",""
"FRM00007335","1974-03","46.588","0.307","128.9","BIARD, FR","","","14","2,S","4","2,S","0","2,S","0","5,S","8","5,S","0","1,S","0","1,S","0","1,S","19740306",",5,S","19740320",",2,S","19740325",",1,S","-5.0","5,S,06,","14.0","2,,S,20,","20.0","1,S,25,","","","","","42.2","2,,,S","7.63","6,S","12.10","1,,,S","3.15","5,,,S"
"FRM00007335","1974-04","46.588","0.307","128.9","BIARD, FR","0.0","4,S","8","2,S","5","2,S","0","2,S","0","3,S","1","3,S","0","1,S","0","1,S","0","1,S","19740428",",3,S","19740426",",2,S","19740408",",1,S","-1.0","3,S,28,","13.0","2,,S,26,","21.0","1,S,08,","","","220.7","1,S","36.5","2,,,S","9.73","4,S","15.31","1,,,S","4.15","3,,,S"
"FRM00007335","1974-05","46.588","0.307","128.9","BIARD, FR","0.2","3,S","11","3,S","6","3,S","0","3,S","0","1,S","1","1,S","0","3,S","8","3,S","0","3,S","19740508",",1,S","19740530","+,3,S","19740521","+,3,S","-1.0","1,S,08,","7.1","3,,S,30,+","25.0","3,S,21,+","","","143.0","3,S","39.8","3,,,S","13.12","3,S","19.07","3,,,S","7.17","1,,,S"
"FRM00007335","1974-06","46.588","0.307","128.9","BIARD, FR","14.5","5,S","10","4,S","2","4,S","0","4,S","0","3,S","0","3,S","0","2,S","16","2,S","0","2,S","19740619","+,3,S","19740629",",4,S","19740622","+,2,S","7.0","3,S,19,+","19.1","4,,S,29,","29.0","2,S,22,+","","","43.8","2,S","31.5","4,,,S","16.96","5,S","23.11","2,,,S","10.81","3,,,S"
"FRM00007335","1974-07","46.588","0.307","128.9","BIARD, FR","35.2","4,S","5","1,S","2","1,S","0","1,S","0","4,S","0","4,S","0",",S","29",",S","1",",S","19740719","+,4,S","19740713",",1,S","19740729",",,S","8.0","4,S,19,+","5.1","1,,S,13,","33.0",",S,29,","17.2","S","17.2",",S","13.7","1,,,S","18.86","4,S","25.68",",,,S","12.04","4,,,S"
"FRM00007335","1974-08","46.588","0.307","128.9","BIARD, FR","47.5","3,S","9","1,S","4","1,S","0","1,S","0","3,S","0","3,S","0",",S","29",",S","4",",S","19740829","+,3,S","19740831",",1,S","19740815",",,S","7.0","3,S,29,+","14.0","1,,S,31,","37.0",",S,15,","34.5","S","17.3",",S","35.5","1,,,S","19.39","3,S","26.35",",,,S","12.43","3,,,S"
"FRM00007335","1974-09","46.588","0.307","128.9","BIARD, FR","","","17","1,S","9","1,S","0","1,S","0","4,S","0","4,S","0","2,S","8","2,S","0","2,S","19740930",",4,S","19740918",",1,S","19740912","+,2,S","4.0","4,S,30,","23.1","1,,S,18,","28.0","2,S,12,+","","","","","87.2","1,,,S","15.02","6,S","19.46","2,,,S","10.58","4,,,S"
"FRM00007335","1974-10","46.588","0.307","128.9","BIARD, FR","","","20","2,S","8","2,S","0","2,S","","","","","0","2,S","0","2,S","0","2,S","","","19741019",",2,S","19741017",",2,S","","","14.0","2,,S,19,","20.0","2,S,17,","","","","","58.1","2,,,S","","","11.90","2,,,S","",""
"FRM00007335","1974-11","46.588","0.307","128.9","BIARD, FR","","","23",",S","11",",S","0",",S","","","","","0","2,S","0","2,S","0","2,S","","","19741116",",,S","19741112",",2,S","","","23.9",",,S,16,","20.0","2,S,12,","","","","","88.7",",,,S","","","11.79","2,,,S","",""
"FRM00007335","1974-12","46.588","0.307","128.9","BIARD, FR","","","16",",S","2",",S","0",",S","","","","","0","2,S","0","2,S","0","2,S","","","19741227","+,,S","19741226",",2,S","","","4.1",",,S,27,+","14.0","2,S,26,","","","","","21.9",",,,S","","","10.66","2,,,S","",""
"FRM00007335","1975-01","46.588","0.307","128.9","BIARD, FR","","","17","1,S","6","1,S","0","1,S","","","","","1","4,S","0","4,S","0","4,S","","","19750127",",1,S","19750115",",4,S","","","11.9","1,,S,27,","18.0","4,S,15,","","","","","45.6","1,,,S","","","9.81","4,,,S","",""
"FRM00007335","1975-02","46.588","0.307","128.9","BIARD, FR","0.0","3,S","5","1,S","1","1,S","0","1,S","0","2,S","9","2,S","0","1,S","0","1,S","0","1,S","19750227","+,2,S","19750211",",1,S","19750228","+,1,S","-2.0","2,S,27,+","3.0","1,,S,11,","17.0","1,S,28,+","","","279.3","1,S","7.1","1,,,S","6.97","3,S","12.52","1,,,S","1.42","2,,,S"
"FRM00007335","1975-03","46.588","0.307","128.9","BIARD, FR","0.0","4,S","20","2,S","11","2,S","0","2,S","0","3,S","11","3,S","0","1,S","0","1,S","0","1,S","19750330","+,3,S","19750320",",2,S","19750301",",1,S","-3.0","3,S,30,+","15.0","2,,S,20,","16.0","1,S,01,","","","339.5","1,S","76.1","2,,,S","5.80","4,S","9.60","1,,,S","2.00","3,,,S"
"FRM00007335","1975-04","46.588","0.307","128.9","BIARD, FR","0.0","4,S","14","1,S","8","1,S","0","1,S","0","4,S","6","4,S","0",",S","4",",S","0",",S","19750406","+,4,S","19750403",",1,S","19750428",",,S","-3.0","4,S,06,+","11.9","1,,S,03,","24.0",",S,28,","","","214.7",",S","45.7","1,,,S","9.82","4,S","14.80",",,,S","4.85","4,,,S"
"FRM00007335","1975-05","46.588","0.307","128.9","BIARD, FR","","","14","4,S","8","4,S","0","4,S","0","5,S","0","5,S","0","4,S","2","4,S","0","4,S","19750525","+,5,S","19750514",",4,S","19750520",",4,S","2.0","5,S,25,+","14.0","4,,S,14,","28.0","4,S,20,","","","","","73.2","4,,,S","12.02","6,S","17.00","4,,,S","7.04","5,,,S"
"FRM00007335","1975-06","46.588","0.307","128.9","BIARD, FR","18.0","3,S","7","2,S","1","2,S","0","2,S","0","3,S","0","3,S","0",",S","19",",S","0",",S","19750603",",3,S","19750617",",2,S","19750614",",,S","3.0","3,S,03,","5.1","2,,S,17,","29.0",",S,14,","","","61.0",",S","9.7","2,,,S","16.76","3,S","22.40",",,,S","11.11","3,,,S"
"FRM00007335","1975-07","46.588","0.307","128.9","BIARD, FR","48.5","3,S","6","1,S","3","1,S","0","1,S","0","1,S","0","1,S","0","2,S","26","2,S","2","2,S","19750701",",1,S","19750704",",1,S","19750731",",2,S","7.0","1,S,01,","23.9","1,,S,04,","34.0","2,S,31,","11.3","S","11.3","2,S","33.7","1,,,S","19.52","3,S","25.97","2,,,S","13.07","1,,,S"
"FRM00007335","1975-08","46.588","0.307","128.9","BIARD, FR","86.0","3,S","7","1,S","3","1,S","1","1,S","0","2,S","0","2,S","0","1,S","28","1,S","4","1,S","19750831","+,2,S","19750817",",1,S","19750804",",1,S","10.0","2,S,31,+","28.4","1,,S,17,","38.0","1,S,04,","22.6","S","11.3","1,S","41.5","1,,,S","20.93","3,S","27.23","1,,,S","14.62","2,,,S"
"FRM00007335","1975-09","46.588","0.307","128.9","BIARD, FR","","","14","2,S","10","2,S","0","2,S","","","","","0",",S","15",",S","0",",S","","","19750930",",2,S","19750929",",,S","","","18.0","2,,S,30,","26.0",",S,29,","","","","","86.5","2,,,S","","","21.13",",,,S","",""
"FRM00007335","1975-10","46.588","0.307","128.9","BIARD, FR","0.0","3,S","8","1,S","3","1,S","0","1,S","0","2,S","0","2,S","0","1,S","1","1,S","0","1,S","19751028",",2,S","19751016",",1,S","19751002",",1,S","1.0","2,S,28,","8.9","1,,S,16,","22.0","1,S,02,","","","209.8","1,S","27.8","1,,,S","10.93","3,S","16.00","1,,,S","5.86","2,,,S"
