"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"GG000037539","1955-01","41.55","44.467","1140.0","TETRI TSKARO, GG","4",",I","2",",I","0",",I","","","","","","","19550102",",,I","","","5.3",",,I,02,","","","10.4",",,,I","",""
"GG000037539","1955-02","41.55","44.467","1140.0","TETRI TSKARO, GG","0","1,I","0","1,I","0","1,I","","","","","","","19550228","+,1,I","","","0.0","1,,I,28,+","","","0.0","1,,,I","",""
"GG000037539","1955-03","41.55","44.467","1140.0","TETRI TSKARO, GG","17",",I","10",",I","0",",I","","","","","","","19550303",",,I","","","12.2",",,I,03,","","","83.1",",,,I","",""
"GG000037539","1955-04","41.55","44.467","1140.0","TETRI TSKARO, GG","17","1,I","8","1,I","1","1,I","","","","","","","19550409",",1,I","","","48.3","1,,I,09,","","","106.8","1,,,I","",""
"GG000037539","1955-05","41.55","44.467","1140.0","TETRI TSKARO, GG","16","1,I","8","1,I","2","1,I","","","","","","","19550501",",1,I","","","36.9","1,,I,01,","","","121.4","1,,,I","",""
"GG000037539","1955-06","41.55","44.467","1140.0","TETRI TSKARO, GG","11",",I","6",",I","0",",I","","","","","","","19550614",",,I","","","19.8",",,I,14,","","","79.9",",,,I","",""
"GG000037539","1955-07","41.55","44.467","1140.0","TETRI TSKARO, GG","13",",I","8",",I","1",",I","","","","","","","19550728",",,I","","","40.0",",,I,28,","","","117.5",",,,I","",""
"GG000037539","1955-08","41.55","44.467","1140.0","TETRI TSKARO, GG","10","1,I","7","1,I","0","1,I","","","","","","","19550815",",1,I","","","22.0","1,,I,15,","","","79.3","1,,,I","",""
"GG000037539","1955-09","41.55","44.467","1140.0","TETRI TSKARO, GG","11","3,I","8","3,I","0","3,I","","","","","","","19550911",",3,I","","","18.3","3,,I,11,","","","81.6","3,,,I","",""
"GG000037539","1955-10","41.55","44.467","1140.0","TETRI TSKARO, GG","7",",I","6",",I","0",",I","","","","","","","19551005",",,I","","","16.6",",,I,05,","","","53.9",",,,I","",""
"GG000037539","1955-11","41.55","44.467","1140.0","TETRI TSKARO, GG","15","1,I","10","1,I","0","1,I","","","","","","","19551111",",1,I","","","20.9","1,,I,11,","","","104.3","1,,,I","",""
"GG000037539","1955-12","41.55","44.467","1140.0","TETRI TSKARO, GG","5",",I","3",",I","0",",I","","","","","","","19551226",",,I","","","17.4",",,I,26,","","","31.7",",,,I","",""
"GG000037539","1956-01","41.55","44.467","1140.0","TETRI TSKARO, GG","3",",I","2",",I","1",",I","","","","","","","19560130",",,I","","","25.4",",,I,30,","","","34.0",",,,I","",""
"GG000037539","1956-02","41.55","44.467","1140.0","TETRI TSKARO, GG","11","1,I","7","1,I","0","1,I","","","","","","","19560206",",1,I","","","20.5","1,,I,06,","","","65.5","1,,,I","",""
"GG000037539","1956-03","41.55","44.467","1140.0","TETRI TSKARO, GG","16","2,I","8","2,I","0","2,I","","","","","","","19560317",",2,I","","","23.4","2,,I,17,","","","69.7","2,,,I","",""
"GG000037539","1956-04","41.55","44.467","1140.0","TETRI TSKARO, GG","9","4,I","8","4,I","0","4,I","","","","","","","19560430",",4,I","","","14.2","4,,I,30,","","","56.9","4,,,I","",""
"GG000037539","1956-05","41.55","44.467","1140.0","TETRI TSKARO, GG","17",",I","14",",I","0",",I","","","","","","","19560519",",,I","","","14.1",",,I,19,","","","108.9",",,,I","",""
"GG000037539","1956-06","41.55","44.467","1140.0","TETRI TSKARO, GG","8","1,I","8","1,I","0","1,I","","","","","","","19560613",",1,I","","","12.7","1,,I,13,","","","47.6","1,,,I","",""
"GG000037539","1956-07","41.55","44.467","1140.0","TETRI TSKARO, GG","8","1,I","5","1,I","0","1,I","","","","","","","19560729",",1,I","","","7.6","1,,I,29,","","","27.6","1,,,I","",""
"GG000037539","1956-08","41.55","44.467","1140.0","TETRI TSKARO, GG","6","2,I","3","2,I","0","2,I","","","","","","","19560826",",2,I","","","20.2","2,,I,26,","","","31.8","2,,,I","",""
"GG000037539","1956-09","41.55","44.467","1140.0","TETRI TSKARO, GG","8",",I","6",",I","1",",I","","","","","","","19560921",",,I","","","30.2",",,I,21,","","","82.4",",,,I","",""
"GG000037539","1956-10","41.55","44.467","1140.0","TETRI TSKARO, GG","4",",I","3",",I","1",",I","","","","","","","19561013",",,I","","","28.5",",,I,13,","","","48.8",",,,I","",""
"GG000037539","1956-11","41.55","44.467","1140.0","TETRI TSKARO, GG","4","1,I","2","1,I","0","1,I","","","","","","","19561121",",1,I","","","4.7","1,,I,21,","","","11.3","1,,,I","",""
"GG000037539","1956-12","41.55","44.467","1140.0","TETRI TSKARO, GG","8","2,I","3","2,I","0","2,I","","","","","","","19561209",",2,I","","","21.5","2,,I,09,","","","33.8","2,,,I","",""
"GG000037539","1957-01","41.55","44.467","1140.0","TETRI TSKARO, GG","10","1,I","6","1,I","0","1,I","","","","","","","19570130",",1,I","","","12.6","1,,I,30,","","","57.8","1,,,I","",""
"GG000037539","1957-02","41.55","44.467","1140.0","TETRI TSKARO, GG","5","4,I","3","4,I","0","4,I","","","","","","","19570201",",4,I","","","4.8","4,,I,01,","","","13.0","4,,,I","",""
"GG000037539","1957-05","41.55","44.467","1140.0","TETRI TSKARO, GG","17","3,I","6","3,I","0","3,I","","","","","","","19570507",",3,I","","","7.4","3,,I,07,","","","37.5","3,,,I","",""
"GG000037539","1957-06","41.55","44.467","1140.0","TETRI TSKARO, GG","13",",I","11",",I","1",",I","","","","","","","19570604",",,I","","","32.7",",,I,04,","","","123.6",",,,I","",""
"GG000037539","1957-07","41.55","44.467","1140.0","TETRI TSKARO, GG","6",",I","3",",I","0",",I","","","","","","","19570715",",,I","","","8.2",",,I,15,","","","19.8",",,,I","",""
"GG000037539","1957-08","41.55","44.467","1140.0","TETRI TSKARO, GG","3",",I","1",",I","1",",I","","","","","","","19570814",",,I","","","30.8",",,I,14,","","","34.2",",,,I","",""
"GG000037539","1957-09","41.55","44.467","1140.0","TETRI TSKARO, GG","10",",I","4",",I","0",",I","","","","","","","19570920",",,I","","","16.6",",,I,20,","","","33.8",",,,I","",""
"GG000037539","1957-10","41.55","44.467","1140.0","TETRI TSKARO, GG","9","1,I","1","1,I","0","1,I","","","","","","","19571026",",1,I","","","5.0","1,,I,26,","","","16.6","1,,,I","",""
"GG000037539","1957-11","41.55","44.467","1140.0","TETRI TSKARO, GG","10",",I","7",",I","0",",I","","","","","","","19571107",",,I","","","19.1",",,I,07,","","","57.0",",,,I","",""
"GG000037539","1957-12","41.55","44.467","1140.0","TETRI TSKARO, GG","5",",I","0",",I","0",",I","","","","","","","19571218",",,I","","","2.2",",,I,18,","","","6.0",",,,I","",""
"GG000037539","1958-01","41.55","44.467","1140.0","TETRI TSKARO, GG","4","1,I","2","1,I","0","1,I","","","","","","","19580105",",1,I","","","4.5","1,,I,05,","","","10.5","1,,,I","",""
"GG000037539","1958-02","41.55","44.467","1140.0","TETRI TSKARO, GG","4",",I","1",",I","0",",I","","","","","","","19580203",",,I","","","3.6",",,I,03,","","","4.6",",,,I","",""
"GG000037539","1958-03","41.55","44.467","1140.0","TETRI TSKARO, GG","15","1,I","6","1,I","1","1,I","","","","","","","19580324",",1,I","","","30.9","1,,I,24,","","","73.8","1,,,I","",""
"GG000037539","1958-04","41.55","44.467","1140.0","TETRI TSKARO, GG","16",",I","8",",I","0",",I","","","","","","","19580417",",,I","","","24.7",",,I,17,","","","89.7",",,,I","",""
"GG000037539","1958-05","41.55","44.467","1140.0","TETRI TSKARO, GG","8","1,I","6","1,I","0","1,I","","","","","","","19580521",",1,I","","","20.0","1,,I,21,","","","57.8","1,,,I","",""
"GG000037539","1958-06","41.55","44.467","1140.0","TETRI TSKARO, GG","12",",I","8",",I","0",",I","","","","","","","19580602",",,I","","","23.8",",,I,02,","","","73.0",",,,I","",""
"GG000037539","1958-07","41.55","44.467","1140.0","TETRI TSKARO, GG","12",",I","6",",I","0",",I","","","","","","","19580707",",,I","","","14.7",",,I,07,","","","56.0",",,,I","",""
"GG000037539","1958-08","41.55","44.467","1140.0","TETRI TSKARO, GG","9",",I","5",",I","0",",I","","","","","","","19580825",",,I","","","4.2",",,I,25,","","","24.3",",,,I","",""
"GG000037539","1958-09","41.55","44.467","1140.0","TETRI TSKARO, GG","15","2,I","12","2,I","1","2,I","","","","","","","19580910",",2,I","","","45.4","2,,I,10,","","","141.6","2,,,I","",""
"GG000037539","1958-10","41.55","44.467","1140.0","TETRI TSKARO, GG","8","2,I","5","2,I","1","2,I","","","","","","","19581009",",2,I","","","39.5","2,,I,09,","","","62.0","2,,,I","",""
"GG000037539","1958-11","41.55","44.467","1140.0","TETRI TSKARO, GG","5","1,I","2","1,I","0","1,I","","","","","","","19581108",",1,I","","","10.5","1,,I,08,","","","16.0","1,,,I","",""
"GG000037539","1958-12","41.55","44.467","1140.0","TETRI TSKARO, GG","7",",I","1",",I","0",",I","","","","","","","19581208",",,I","","","4.4",",,I,08,","","","11.5",",,,I","",""
"GG000037539","1959-01","41.55","44.467","1140.0","TETRI TSKARO, GG","6","3,I","4","3,I","0","3,I","","","","","","","19590119",",3,I","","","5.1","3,,I,19,","","","19.0","3,,,I","",""
"GG000037539","1959-02","41.55","44.467","1140.0","TETRI TSKARO, GG","7",",I","3",",I","0",",I","","","","","","","19590212",",,I","","","5.7",",,I,12,","","","16.7",",,,I","",""
"GG000037539","1959-03","41.55","44.467","1140.0","TETRI TSKARO, GG","18",",I","12",",I","0",",I","","","","","","","19590316","+,,I","","","19.7",",,I,16,+","","","119.3",",,,I","",""
"GG000037539","1959-04","41.55","44.467","1140.0","TETRI TSKARO, GG","12",",I","6",",I","0",",I","","","","","","","19590429",",,I","","","10.9",",,I,29,","","","50.4",",,,I","",""
"GG000037539","1959-05","41.55","44.467","1140.0","TETRI TSKARO, GG","17","2,I","11","2,I","0","2,I","","","","","","","19590514",",2,I","","","23.8","2,,I,14,","","","143.8","2,,,I","",""
"GG000037539","1959-10","41.55","44.467","1140.0","TETRI TSKARO, GG","13",",I","9",",I","0",",I","","","","","","","19591029",",,I","","","16.0",",,I,29,","","","78.2",",,,I","",""
"GG000037539","1959-11","41.55","44.467","1140.0","TETRI TSKARO, GG","18",",I","10",",I","0",",I","","","","","","","19591113",",,I","","","14.2",",,I,13,","","","80.7",",,,I","",""
"GG000037539","1959-12","41.55","44.467","1140.0","TETRI TSKARO, GG","9","1,I","6","1,I","0","1,I","","","","","","","19591213",",1,I","","","14.2","1,,I,13,","","","35.2","1,,,I","",""
"GG000037539","1960-01","41.55","44.467","1140.0","TETRI TSKARO, GG","6","2,I","2","2,I","0","2,I","","","","","","","19600123",",2,I","","","3.5","2,,I,23,","","","12.2","2,,,I","",""
"GG000037539","1960-02","41.55","44.467","1140.0","TETRI TSKARO, GG","5","3,I","3","3,I","0","3,I","","","","","","","19600202",",3,I","","","8.5","3,,I,02,","","","24.5","3,,,I","",""
"GG000037539","1960-03","41.55","44.467","1140.0","TETRI TSKARO, GG","11","5,I","7","5,I","0","5,I","","","","","","","19600307",",5,I","","","19.6","5,,I,07,","","","71.0","5,,,I","",""
"GG000037539","1960-04","41.55","44.467","1140.0","TETRI TSKARO, GG","20","1,I","16","1,I","0","1,I","","","","","","","19600407",",1,I","","","14.6","1,,I,07,","","","137.1","1,,,I","",""
"GG000037539","1960-05","41.55","44.467","1140.0","TETRI TSKARO, GG","15",",I","7",",I","0",",I","","","","","","","19600530",",,I","","","17.4",",,I,30,","","","62.5",",,,I","",""
"GG000037539","1960-06","41.55","44.467","1140.0","TETRI TSKARO, GG","15",",I","11",",I","0",",I","","","","","","","19600603",",,I","","","22.2",",,I,03,","","","124.3",",,,I","",""
"GG000037539","1960-07","41.55","44.467","1140.0","TETRI TSKARO, GG","12","1,I","5","1,I","3","1,I","","","","","","","19600720",",1,I","","","42.5","1,,I,20,","","","161.1","1,,,I","",""
"GG000037539","1960-08","41.55","44.467","1140.0","TETRI TSKARO, GG","9",",I","3",",I","0",",I","","","","","","","19600804",",,I","","","13.7",",,I,04,","","","33.6",",,,I","",""
"GG000037539","1960-09","41.55","44.467","1140.0","TETRI TSKARO, GG","10",",I","6",",I","0",",I","","","","","","","19600918",",,I","","","17.8",",,I,18,","","","58.1",",,,I","",""
"GG000037539","1960-10","41.55","44.467","1140.0","TETRI TSKARO, GG","9","1,I","6","1,I","1","1,I","","","","","","","19601005",",1,I","","","30.9","1,,I,05,","","","86.4","1,,,I","",""
"GG000037539","1960-11","41.55","44.467","1140.0","TETRI TSKARO, GG","7","1,I","2","1,I","0","1,I","","","","","","","19601104",",1,I","","","5.4","1,,I,04,","","","16.1","1,,,I","",""
"GG000037539","1960-12","41.55","44.467","1140.0","TETRI TSKARO, GG","1","1,I","0","1,I","0","1,I","","","","","","","19601204",",1,I","","","1.1","1,,I,04,","","","1.1","1,,,I","",""
"GG000037539","1961-01","41.55","44.467","1140.0","TETRI TSKARO, GG","7",",I","3",",I","0",",I","","","","","","","19610120",",,I","","","18.0",",,I,20,","","","44.6",",,,I","",""
"GG000037539","1961-02","41.55","44.467","1140.0","TETRI TSKARO, GG","3","1,I","2","1,I","1","1,I","","","","","","","19610227",",1,I","","","30.6","1,,I,27,","","","49.8","1,,,I","",""
"GG000037539","1961-03","41.55","44.467","1140.0","TETRI TSKARO, GG","4","1,I","4","1,I","0","1,I","","","","","","","19610325",",1,I","","","16.2","1,,I,25,","","","32.5","1,,,I","",""
"GG000037539","1961-04","41.55","44.467","1140.0","TETRI TSKARO, GG","8",",I","5",",I","0",",I","","","","","","","19610422",",,I","","","11.9",",,I,22,","","","37.2",",,,I","",""
