"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GGM00037196","1959-07","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","","","2.7","1,r","14","1,r","9","1,r","0","1,r","0","1,r","0","1,r","0","1,r","14","1,r","0","1,r","19590701",",1,r","19590710",",1,r","19590716",",1,r","4.5","1,r,01,","20.2","1,,r,10,","27.2","1,r,16,","109.2","r","109.2","1,r","88.9","1,,,r","14.79","1,r","20.74","1,,,r","8.83","1,,,r"
"GGM00037196","1959-08","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","","","0.0",",r","14",",r","9",",r","0",",r","0",",r","0",",r","0",",r","6",",r","0",",r","19590825",",,r","19590805",",,r","19590804",",,r","4.0",",r,25,","23.7",",,r,05,","23.6",",r,04,","285.0","r","175.8",",r","79.3",",,,r","12.66",",r","18.26",",,,r","7.07",",,,r"
"GGM00037196","1959-09","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","","","0.0","1,r","15","1,r","13","1,r","4","1,r","0","1,r","6","1,r","0","1,r","1","1,r","0","1,r","19590920",",1,r","19590929",",1,r","19590901",",1,r","-3.5","1,r,20,","45.0","1,,r,29,","22.0","1,r,01,","628.1","r","343.1","1,r","247.5","1,,,r","6.50","1,r","11.18","1,,,r","1.83","1,,,r"
"GGM00037196","1959-10","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","","","0.0","1,r","15","1,r","8","1,r","1","1,r","0","1,r","18","1,r","2","1,r","0","1,r","0","1,r","19591015",",1,r","19591025",",1,r","19591031",",1,r","-7.5","1,r,15,","55.0","1,,r,25,","11.8","1,r,31,","1105.6","r","477.5","1,r","141.2","1,,,r","2.42","1,r","6.17","1,,,r","-1.34","1,,,r"
"GGM00037196","1959-11","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","","","0.0","3,r","15","3,r","7","3,r","0","3,r","0","3,r","16","3,r","7","3,r","0","3,r","0","3,r","19591128",",3,r","19591112",",3,r","19591104",",3,r","-12.1","3,r,28,","18.2","3,,r,12,","13.3","3,r,04,","1597.5","r","491.9","3,r","69.3","3,,,r","0.11","3,r","3.49","3,,,r","-3.26","3,,,r"
"GGM00037196","1959-12","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","","","0.0","1,r","13","1,r","9","1,r","0","1,r","0","1,r","25","1,r","5","1,r","0","1,r","0","1,r","19591213",",1,r","19591206",",1,r","19591229",",1,r","-13.5","1,r,13,","18.9","1,,r,06,","8.6","1,r,29,","2154.0","r","556.5","1,r","72.3","1,,,r","-0.22","1,r","2.95","1,,,r","-3.38","1,,,r"
"GGM00037196","1960-01","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0","2,r","20","2,r","13","2,r","3","2,r","0","2,r","27","2,r","14","2,r","0","2,r","0","2,r","19600126",",2,r","19600120",",2,r","19600113",",2,r","-13.2","2,r,26,","51.3","2,,r,20,","9.0","2,r,13,","2754.3","r","600.3","2,r","207.1","2,,,r","-2.37","2,r","0.61","2,,,r","-5.34","2,,,r"
"GGM00037196","1960-02","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0",",r","20",",r","13",",r","3",",r","0",",r","26",",r","12",",r","0",",r","0",",r","19600204",",,r","19600221",",,r","19600225",",,r","-17.3",",r,04,","58.7",",,r,21,","6.6",",r,25,","3400.1","r","645.8",",r","210.7",",,,r","-3.93",",r","-0.89",",,,r","-6.98",",,,r"
"GGM00037196","1960-03","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0",",r","15",",r","6",",r","1",",r","0",",r","29",",r","9",",r","0",",r","0",",r","19600312",",,r","19600331",",,r","19600322",",,r","-15.9",",r,12,","29.9",",,r,31,","7.5",",r,22,","4046.1","r","646.0",",r","87.8",",,,r","-2.51",",r","1.83",",,,r","-6.85",",,,r"
"GGM00037196","1960-04","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0","1,r","21","1,r","12","1,r","3","1,r","0","1,r","18","1,r","0","1,r","0","1,r","0","1,r","19600411",",1,r","19600424",",1,r","19600419",",1,r","-5.6","1,r,11,","47.7","1,,r,24,","10.6","1,r,19,","4495.7","r","449.6","1,r","204.0","1,,,r","2.83","1,r","6.65","1,,,r","-0.99","1,,,r"
"GGM00037196","1960-05","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0","3,r","15","3,r","10","3,r","1","3,r","0","3,r","6","3,r","0","3,r","3","3,r","0","3,r","19600518",",3,r","19600522",",3,r","19600526",",3,r","-2.2","3,r,18,","42.9","3,,r,22,","22.0","3,r,26,","4784.8","r","289.1","3,r","150.8","3,,,r","8.01","3,r","12.84","3,,,r","3.18","3,,,r"
"GGM00037196","1960-06","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0",",r","18",",r","14",",r","1",",r","0",",r","0",",r","0",",r","2",",r","0",",r","19600604",",,r","19600625",",,r","19600615",",,r","0.3",",r,04,","33.5",",,r,25,","21.8",",r,15,","5033.8","r","249.0",",r","161.4",",,,r","10.03",",r","15.04",",,,r","5.02",",,,r"
"GGM00037196","1960-07","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","5.3","r","5.3",",r","12",",r","7",",r","3",",r","0",",r","0",",r","0",",r","12",",r","0",",r","19600707",",,r","19600706",",,r","19600730",",,r","1.1",",r,07,","41.1",",,r,06,","27.4",",r,30,","148.9","r","148.9",",r","148.5",",,,r","13.70",",r","19.51",",,,r","7.89",",,,r"
"GGM00037196","1960-08","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","5.3","r","0.0",",r","17",",r","11",",r","1",",r","0",",r","0",",r","0",",r","5",",r","0",",r","19600829",",,r","19600823",",,r","19600822",",,r","2.3",",r,29,","32.1",",,r,23,","24.6",",r,22,","351.2","r","202.3",",r","140.4",",,,r","11.81",",r","17.13",",,,r","6.49",",,,r"
"GGM00037196","1960-09","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","5.3","r","0.0",",r","10",",r","6",",r","0",",r","0",",r","2",",r","0",",r","5",",r","0",",r","19600920",",,r","19600925",",,r","19600906",",,r","-0.3",",r,20,","23.2",",,r,25,","24.1",",r,06,","581.9","r","230.7",",r","74.8",",,,r","10.64",",r","16.11",",,,r","5.18",",,,r"
"GGM00037196","1960-10","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","5.3","r","0.0",",r","11",",r","10",",r","2",",r","0",",r","3",",r","0",",r","0",",r","0",",r","19601016",",,r","19601001",",,r","19601013",",,r","-0.6",",r,16,","31.4",",,r,01,","17.5",",r,13,","897.7","r","315.8",",r","119.0",",,,r","8.15",",r","13.15",",,,r","3.15",",,,r"
"GGM00037196","1960-11","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","5.3","r","0.0",",r","10",",r","5",",r","0",",r","0",",r","14",",r","4",",r","0",",r","0",",r","19601124",",,r","19601122",",,r","19601101",",,r","-9.5",",r,24,","15.1",",,r,22,","12.5",",r,01,","1344.6","r","446.9",",r","53.0",",,,r","3.44",",r","6.81",",,,r","0.06",",,,r"
"GGM00037196","1960-12","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","5.3","r","0.0","4,r","10","4,r","6","4,r","1","4,r","0","4,r","25","4,r","4","4,r","0","4,r","0","4,r","19601202",",4,r","19601201",",4,r","19601220",",4,r","-10.2","4,r,02,","28.0","4,,r,01,","9.1","4,r,20,","1835.6","r","491.0","4,r","58.5","4,,,r","0.15","4,r","3.74","4,,,r","-3.44","4,,,r"
"GGM00037196","1961-01","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0","1,r","11","1,r","8","1,r","1","1,r","2","1,r","30","1,r","21","1,r","0","1,r","0","1,r","19610128",",1,r","19610118",",1,r","19610108",",1,r","-19.8","1,r,28,","40.4","1,,r,18,","6.4","1,r,08,","2543.0","r","707.4","1,r","153.9","1,,,r","-5.25","1,r","-1.68","1,,,r","-8.82","1,,,r"
"GGM00037196","1961-02","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0",",r","9",",r","6",",r","0",",r","2",",r","27",",r","9",",r","0",",r","0",",r","19610226",",,r","19610225",",,r","19610206",",,r","-20.0",",r,26,","12.2",",,r,25,","5.8",",r,06,","3164.9","r","621.9",",r","39.6",",,,r","-3.88",",r","-0.03",",,,r","-7.72",",,,r"
"GGM00037196","1961-03","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0","1,r","16","1,r","12","1,r","2","1,r","0","1,r","29","1,r","17","1,r","0","1,r","0","1,r","19610310",",1,r","19610324",",1,r","19610328",",1,r","-17.0","1,r,10,","69.1","1,,r,24,","6.2","1,r,28,","3833.4","r","668.5","1,r","198.2","1,,,r","-3.95","1,r","-0.36","1,,,r","-7.54","1,,,r"
"GGM00037196","1961-04","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0",",r","17",",r","13",",r","2",",r","0",",r","15",",r","0",",r","0",",r","0",",r","19610416",",,r","19610427",",,r","19610420",",,r","-8.4",",r,16,","53.3",",,r,27,","12.2",",r,20,","4284.1","r","450.7",",r","232.9",",,,r","3.31",",r","7.38",",,,r","-0.76",",,,r"
"GGM00037196","1961-05","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0",",r","21",",r","17",",r","2",",r","0",",r","0",",r","0",",r","1",",r","0",",r","19610501",",,r","19610516",",,r","19610515",",,r","0.2",",r,01,","43.8",",,r,16,","21.6",",r,15,","4566.8","r","282.7",",r","212.3",",,,r","9.21",",r","13.61",",,,r","4.81",",,,r"
"GGM00037196","1961-06","43.25","41.83","2037.0","KLUHORSKIJ PEREVAL, GG","0.0","r","0.0",",r","16",",r","13",",r","2",",r","0",",r","0",",r","0",",r","6",",r","0",",r","19610608","+,,r","19610625",",,r","19610624",",,r","3.0",",r,08,+","66.5",",,r,25,","23.5",",r,24,","4758.2","r","191.4",",r","188.7",",,,r","11.95",",r","17.19",",,,r","6.71",",,,r"
