"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GLE00147361","1964-09","59.9831","-45.1331","20.0","ANGISOQ, GL","","","","","","","0","2,","19640930","+,2,E","","","0","2,,E,30,+","","","",""
"GLE00147361","1964-10","59.9831","-45.1331","20.0","ANGISOQ, GL","","","","","","","0",",","19641015",",,E","","","20",",,E,15,","","","",""
"GLE00147361","1964-11","59.9831","-45.1331","20.0","ANGISOQ, GL","14",",E","6",",E","0",",E","9",",","19641125","+,,E","19641102",",,E","150",",,E,25,+","20.3",",,E,02,","73.0",",,,E"
"GLE00147361","1964-12","59.9831","-45.1331","20.0","ANGISOQ, GL","5","5,E","2","5,E","0","5,E","16","4,","19641222","+,4,E","19641228",",5,E","140","4,,E,22,+","9.9","5,,E,28,","18.5","5,,,E"
"GLE00147361","1965-02","59.9831","-45.1331","20.0","ANGISOQ, GL","16","4,E","12","4,E","0","4,E","19","4,","19650212","+,4,E","19650215",",4,E","300","4,,E,12,+","22.5","4,,E,15,","112.5","4,,,E"
"GLE00147361","1965-03","59.9831","-45.1331","20.0","ANGISOQ, GL","3","4,E","1","4,E","0","4,E","1","4,","19650326",",4,E","19650309",",4,E","40","4,,E,26,","14.1","4,,E,09,","16.6","4,,,E"
"GLE00147361","1965-04","59.9831","-45.1331","20.0","ANGISOQ, GL","10","4,E","4","4,E","0","4,E","2","5,","19650407",",5,E","19650419",",4,E","80","5,,E,07,","4.7","4,,E,19,","24.6","4,,,E"
"GLE00147361","1965-05","59.9831","-45.1331","20.0","ANGISOQ, GL","6","5,E","2","5,E","0","5,E","0","5,","19650531","+,5,E","19650529",",5,E","0","5,,E,31,+","3.8","5,,E,29,","13.5","5,,,E"
"GLE00147361","1965-06","59.9831","-45.1331","20.0","ANGISOQ, GL","7","4,E","4","4,E","0","4,E","0","4,","19650617",",4,E","19650629",",4,E","20","4,,E,17,","23.1","4,,E,29,","46.8","4,,,E"
"GLE00147361","1965-07","59.9831","-45.1331","20.0","ANGISOQ, GL","12","4,E","4","4,E","0","4,E","0","4,","19650731","+,4,E","19650726",",4,E","0","4,,E,31,+","17.0","4,,E,26,","38.4","4,,,E"
"GLE00147361","1965-08","59.9831","-45.1331","20.0","ANGISOQ, GL","15","5,E","6","5,E","0","5,E","0","5,","19650831","+,5,E","19650806",",5,E","0","5,,E,31,+","12.0","5,,E,06,","58.6","5,,,E"
"GLE00147361","1965-09","59.9831","-45.1331","20.0","ANGISOQ, GL","13","5,E","10","5,E","0","5,E","0","4,","19650930","+,4,E","19650907",",5,E","0","4,,E,30,+","12.5","5,,E,07,","68.0","5,,,E"
"GLE00147361","1965-12","59.9831","-45.1331","20.0","ANGISOQ, GL","","","","","","","15","5,","19651203",",5,E","","","100","5,,E,03,","","","",""
"GLE00147361","1966-02","59.9831","-45.1331","20.0","ANGISOQ, GL","1","4,E","1","4,E","0","4,E","0","4,","19660226","+,4,E","19660225",",4,E","20","4,,E,26,+","3.0","4,,E,25,","3.3","4,,,E"
"GLE00147361","1966-03","59.9831","-45.1331","20.0","ANGISOQ, GL","10","4,E","6","4,E","1","4,E","13","4,","19660321",",4,E","19660321",",4,E","170","4,,E,21,","38.0","4,,E,21,","85.1","4,,,E"
"GLE00147361","1967-01","59.9831","-45.1331","20.0","ANGISOQ, GL","15","5,E","13","5,E","1","5,E","","","","","19670113",",5,E","","","26.5","5,,E,13,","114.0","5,,,E"
