"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00125194","1955-01","47.9125","10.6133","663.0","LEINAU, GM","0.0","E","0.0",",E","13",",E","8",",E","1",",E","7",",","0",",E","28",",E","14",",E","0",",E","0",",E","19550120",",,E","19550119","+,,E","19550112",",,E","19550116",",,E","-16.2",",E,20,","90",",,E,19,+","35.9",",,E,12,","11.0",",E,16,","","","636.4",",E","101.9",",,,E","-2.20",",E","1.78",",,,E","-6.17",",,,E"
"GME00125194","1955-02","47.9125","10.6133","663.0","LEINAU, GM","0.0","E","0.0",",E","19",",E","13",",E","0",",E","15",",","1",",E","24",",E","11",",E","0",",E","0",",E","19550219",",,E","19550222",",,E","19550208",",,E","19550202",",,E","-20.3",",E,19,","350",",,E,22,","22.6",",,E,08,","10.2",",E,02,","","","566.5",",E","98.2",",,,E","-1.90",",E","1.33",",,,E","-5.13",",,,E"
"GME00125194","1955-03","47.9125","10.6133","663.0","LEINAU, GM","0.0","E","0.0",",E","13",",E","6",",E","0",",E","26",",","0",",E","24",",E","10",",E","1",",E","0",",E","19550308",",,E","19550320",",,E","19550327",",,E","19550325",",,E","-16.7",",E,08,","220",",,E,20,","17.2",",,E,27,","21.5",",E,25,","","","586.2",",E","54.2",",,,E","-0.58",",E","4.41",",,,E","-5.56",",,,E"
"GME00125194","1955-04","47.9125","10.6133","663.0","LEINAU, GM","0.0","E","0.0",",E","13",",E","10",",E","0",",E","2",",","0",",E","16",",E","0",",E","3",",E","0",",E","19550401",",,E","19550415",",,E","19550408",",,E","19550429",",,E","-7.1",",E,01,","70",",,E,15,","21.5",",,E,08,","24.0",",E,29,","","","376.3",",E","91.5",",,,E","5.79",",E","10.84",",,,E","0.74",",,,E"
"GME00125194","1955-05","47.9125","10.6133","663.0","LEINAU, GM","0.2","E","0.2",",E","18",",E","12",",E","0",",E","0",",","0",",E","4",",E","0",",E","3",",E","0",",E","19550523",",,E","19550531","+,,E","19550502",",,E","19550506",",,E","-1.9",",E,23,","0",",,E,31,+","22.5",",,E,02,","24.5",",E,06,","","","266.7",",E","106.8",",,,E","9.73",",E","15.65",",,,E","3.81",",,,E"
"GME00125194","1955-06","47.9125","10.6133","663.0","LEINAU, GM","0.7","E","0.5",",E","17",",E","13",",E","0",",E","0",",","0",",E","0",",E","0",",E","11",",E","0",",E","19550601",",,E","19550630","+,,E","19550626",",,E","19550625",",,E","0.6",",E,01,","0",",,E,30,+","11.2",",,E,26,","25.5",",E,25,","","","125.8",",E","98.1",",,,E","14.16",",E","19.34",",,,E","8.97",",,,E"
"GME00125194","1955-07","47.9125","10.6133","663.0","LEINAU, GM","7.0","E","6.3",",E","19",",E","18",",E","3",",E","0",",","0",",E","0",",E","0",",E","15",",E","0",",E","19550707",",,E","19550731","+,,E","19550703",",,E","19550718",",,E","7.9",",E,07,","0",",,E,31,+","38.3",",,E,03,","28.6",",E,18,","82.0","E","82.0",",E","300.2",",,,E","15.89",",E","20.22",",,,E","11.56",",,,E"
"GME00125194","1955-08","47.9125","10.6133","663.0","LEINAU, GM","7.0","E","0.0",",E","11",",E","3",",E","0",",E","0",",","0",",E","0",",E","0",",E","13",",E","0",",E","19550805",",,E","19550831","+,,E","19550803",",,E","19550823",",,E","5.1",",E,05,","0",",,E,31,+","11.5",",,E,03,","24.6",",E,23,","188.6","E","106.6",",E","34.3",",,,E","14.89",",E","20.44",",,,E","9.35",",,,E"
"GME00125194","1955-09","47.9125","10.6133","663.0","LEINAU, GM","7.0","E","0.0",",E","13",",E","8",",E","1",",E","0",",","0",",E","1",",E","0",",E","5",",E","0",",E","19550930",",,E","19550930","+,,E","19550910",",,E","19550903",",,E","-0.5",",E,30,","0",",,E,30,+","32.9",",,E,10,","23.8",",E,03,","369.5","E","180.9",",E","115.7",",,,E","12.30",",E","17.19",",,,E","7.41",",,,E"
"GME00125194","1955-10","47.9125","10.6133","663.0","LEINAU, GM","7.0","E","0.0",",E","12",",E","10",",E","0",",E","0",",","0",",E","6",",E","0",",E","0",",E","0",",E","19551030",",,E","19551031","+,,E","19551028",",,E","19551021",",,E","-6.6",",E,30,","0",",,E,31,+","13.0",",,E,28,","20.2",",E,21,","716.0","E","346.5",",E","48.7",",,,E","7.15",",E","11.77",",,,E","2.54",",,,E"
