"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"IN001031400","1946-06","13.533","78.5","701.0","AROGYAVARAM, IN","10",",I","2",",I","0",",I","19460613",",,I","15.7",",,I,13,","34.6",",,,I"
"IN001031400","1946-07","13.533","78.5","701.0","AROGYAVARAM, IN","10",",I","3",",I","0",",I","19460704",",,I","5.1",",,I,04,","16.8",",,,I"
"IN001031400","1946-08","13.533","78.5","701.0","AROGYAVARAM, IN","15",",I","8",",I","0",",I","19460806",",,I","9.9",",,I,06,","48.5",",,,I"
"IN001031400","1946-09","13.533","78.5","701.0","AROGYAVARAM, IN","11",",I","9",",I","2",",I","19460903",",,I","75.4",",,I,03,","196.3",",,,I"
"IN001031400","1946-10","13.533","78.5","701.0","AROGYAVARAM, IN","13",",I","11",",I","2",",I","19461008",",,I","92.7",",,I,08,","177.7",",,,I"
"IN001031400","1946-11","13.533","78.5","701.0","AROGYAVARAM, IN","17",",I","13",",I","3",",I","19461116",",,I","51.8",",,I,16,","195.0",",,,I"
"IN001031400","1946-12","13.533","78.5","701.0","AROGYAVARAM, IN","15",",I","14",",I","3",",I","19461206",",,I","72.4",",,I,06,","250.9",",,,I"
"IN001031400","1947-01","13.533","78.5","701.0","AROGYAVARAM, IN","4",",I","4",",I","0",",I","19470105",",,I","19.3",",,I,05,","36.1",",,,I"
"IN001031400","1947-02","13.533","78.5","701.0","AROGYAVARAM, IN","0",",I","0",",I","0",",I","19470228","+,,I","0.0",",,I,28,+","0.0",",,,I"
"IN001031400","1947-03","13.533","78.5","701.0","AROGYAVARAM, IN","2",",I","0",",I","0",",I","19470328",",,I","0.8",",,I,28,","1.3",",,,I"
"IN001031400","1947-04","13.533","78.5","701.0","AROGYAVARAM, IN","3",",I","2",",I","0",",I","19470418",",,I","4.3",",,I,18,","8.4",",,,I"
"IN001031400","1947-05","13.533","78.5","701.0","AROGYAVARAM, IN","1",",I","1",",I","0",",I","19470515",",,I","5.6",",,I,15,","5.6",",,,I"
"IN001031400","1947-06","13.533","78.5","701.0","AROGYAVARAM, IN","7",",I","3",",I","1",",I","19470621",",,I","26.9",",,I,21,","50.8",",,,I"
