"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KZ000028978","1936-01","52.533","68.75","399.0","BALKASINO, KZ","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360131",",,I","","","","","","","4.1",",,I,31,","","","","","","","8.2",",,,I","","","","","",""
"KZ000028978","1936-02","52.533","68.75","399.0","BALKASINO, KZ","","","7","1,I","0","1,I","0","1,I","","","","","","","","","","","","","","","","","19360202",",1,I","","","","","","","1.7","1,,I,02,","","","","","","","6.6","1,,,I","","","","","",""
"KZ000028978","1936-03","52.533","68.75","399.0","BALKASINO, KZ","","","5",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360322",",,I","","","","","","","3.0",",,I,22,","","","","","","","7.8",",,,I","","","","","",""
"KZ000028978","1936-04","52.533","68.75","399.0","BALKASINO, KZ","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360413",",,I","","","","","","","4.2",",,I,13,","","","","","","","7.6",",,,I","","","","","",""
"KZ000028978","1936-05","52.533","68.75","399.0","BALKASINO, KZ","","","5",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19360502",",,I","","","","","","","0.8",",,I,02,","","","","","","","2.7",",,,I","","","","","",""
"KZ000028978","1936-06","52.533","68.75","399.0","BALKASINO, KZ","","","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360619",",,I","","","","","","","13.7",",,I,19,","","","","","","","23.5",",,,I","","","","","",""
"KZ000028978","1936-07","52.533","68.75","399.0","BALKASINO, KZ","","","10",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19360701",",,I","","","","","","","17.2",",,I,01,","","","","","","","40.2",",,,I","","","","","",""
"KZ000028978","1936-08","52.533","68.75","399.0","BALKASINO, KZ","","","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360824",",,I","","","","","","","14.2",",,I,24,","","","","","","","20.3",",,,I","","","","","",""
"KZ000028978","1936-09","52.533","68.75","399.0","BALKASINO, KZ","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360901",",,I","","","","","","","6.5",",,I,01,","","","","","","","9.8",",,,I","","","","","",""
"KZ000028978","1936-10","52.533","68.75","399.0","BALKASINO, KZ","","","5",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19361024",",,I","","","","","","","7.3",",,I,24,","","","","","","","13.0",",,,I","","","","","",""
"KZ000028978","1936-11","52.533","68.75","399.0","BALKASINO, KZ","","","10",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19361107","+,,I","","","","","","","3.0",",,I,07,+","","","","","","","17.2",",,,I","","","","","",""
"KZ000028978","1936-12","52.533","68.75","399.0","BALKASINO, KZ","","","9",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19361230",",,I","","","","","","","7.8",",,I,30,","","","","","","","27.6",",,,I","","","","","",""
"KZ000028978","1937-01","52.533","68.75","399.0","BALKASINO, KZ","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370113",",,I","","","","","","","0.0",",T,I,13,","","","","","","","0.0",",T,,I","","","","","",""
"KZ000028978","1937-02","52.533","68.75","399.0","BALKASINO, KZ","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370201",",,I","","","","","","","1.7",",,I,01,","","","","","","","2.9",",,,I","","","","","",""
"KZ000028978","1937-03","52.533","68.75","399.0","BALKASINO, KZ","","","8",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19370312",",,I","","","","","","","4.0",",,I,12,","","","","","","","10.3",",,,I","","","","","",""
"KZ000028978","1937-04","52.533","68.75","399.0","BALKASINO, KZ","","","12",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19370426",",,I","","","","","","","3.3",",,I,26,","","","","","","","16.0",",,,I","","","","","",""
"KZ000028978","1937-05","52.533","68.75","399.0","BALKASINO, KZ","","","12",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19370514",",,I","","","","","","","16.1",",,I,14,","","","","","","","44.4",",,,I","","","","","",""
"KZ000028978","1937-06","52.533","68.75","399.0","BALKASINO, KZ","","","8",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19370621",",,I","","","","","","","9.9",",,I,21,","","","","","","","35.1",",,,I","","","","","",""
"KZ000028978","1937-07","52.533","68.75","399.0","BALKASINO, KZ","","","10",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19370729",",,I","","","","","","","20.4",",,I,29,","","","","","","","48.5",",,,I","","","","","",""
"KZ000028978","1937-08","52.533","68.75","399.0","BALKASINO, KZ","","","2",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19370826",",,I","","","","","","","8.4",",,I,26,","","","","","","","12.6",",,,I","","","","","",""
"KZ000028978","1937-09","52.533","68.75","399.0","BALKASINO, KZ","","","0","1,I","0","1,I","0","1,I","","","","","","","","","","","","","","","","","19370906",",1,I","","","","","","","0.2","1,,I,06,","","","","","","","0.2","1,,,I","","","","","",""
"KZ000028978","1937-10","52.533","68.75","399.0","BALKASINO, KZ","","","9",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19371020",",,I","","","","","","","6.9",",,I,20,","","","","","","","20.0",",,,I","","","","","",""
"KZ000028978","1937-11","52.533","68.75","399.0","BALKASINO, KZ","","","13",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19371106",",,I","","","","","","","20.3",",,I,06,","","","","","","","42.8",",,,I","","","","","",""
"KZ000028978","1937-12","52.533","68.75","399.0","BALKASINO, KZ","","","7",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19371203",",,I","","","","","","","11.6",",,I,03,","","","","","","","20.8",",,,I","","","","","",""
"KZ000028978","1938-01","52.533","68.75","399.0","BALKASINO, KZ","","","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19380130",",,I","","","","","","","1.4",",,I,30,","","","","","","","3.9",",,,I","","","","","",""
"KZ000028978","1938-02","52.533","68.75","399.0","BALKASINO, KZ","","","14",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19380224",",,I","","","","","","","3.2",",,I,24,","","","","","","","14.0",",,,I","","","","","",""
"KZ000028978","1938-03","52.533","68.75","399.0","BALKASINO, KZ","","","15",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19380313",",,I","","","","","","","3.4",",,I,13,","","","","","","","16.3",",,,I","","","","","",""
