"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"MXN00027036","1970-05","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","5",",m","5",",m","1",",m","19700504",",,m","33.3",",,m,04,","73.9",",,,m"
"MXN00027036","1970-06","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","17",",m","16",",m","7",",m","19700619",",,m","65.8",",,m,19,","368.8",",,,m"
"MXN00027036","1970-07","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","18",",m","17",",m","3",",m","19700706",",,m","62.2",",,m,06,","273.9",",,,m"
"MXN00027036","1970-08","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","13",",m","12",",m","3",",m","19700804",",,m","51.3",",,m,04,","215.3",",,,m"
"MXN00027036","1970-09","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","21",",m","19",",m","8",",m","19700930",",,m","98.3",",,m,30,","504.9",",,,m"
"MXN00027036","1970-10","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","16",",m","15",",m","4",",m","19701028",",,m","84.8",",,m,28,","377.7",",,,m"
"MXN00027036","1970-11","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","10",",m","8",",m","1",",m","19701104",",,m","35.3",",,m,04,","114.3",",,,m"
"MXN00027036","1970-12","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","7",",m","4",",m","0",",m","19701216",",,m","13.2",",,m,16,","36.6",",,,m"
"MXN00027036","1971-01","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","7",",m","6",",m","1",",m","19710119",",,m","50.8",",,m,19,","91.3",",,,m"
"MXN00027036","1971-02","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","3",",m","3",",m","0",",m","19710209",",,m","4.6",",,m,09,","12.0",",,,m"
"MXN00027036","1971-03","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","9",",m","8",",m","2",",m","19710320",",,m","58.4",",,m,20,","147.9",",,,m"
"MXN00027036","1971-04","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","3",",m","2",",m","1",",m","19710404",",,m","82.3",",,m,04,","89.2",",,,m"
"MXN00027036","1971-05","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","2",",m","2",",m","0",",m","19710519",",,m","8.6",",,m,19,","13.4",",,,m"
"MXN00027036","1971-06","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","7",",m","6",",m","0",",m","19710607",",,m","18.3",",,m,07,","74.6",",,,m"
"MXN00027036","1971-07","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","18",",m","16",",m","4",",m","19710712",",,m","45.0",",,m,12,","280.3",",,,m"
"MXN00027036","1971-08","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","22",",m","19",",m","3",",m","19710817",",,m","42.7",",,m,17,","261.2",",,,m"
"MXN00027036","1971-09","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","16",",m","11",",m","2",",m","19710908",",,m","38.4",",,m,08,","171.7",",,,m"
"MXN00027036","1971-10","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","13",",m","11",",m","1",",m","19711010",",,m","69.6",",,m,10,","168.5",",,,m"
"MXN00027036","1971-11","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","11",",m","8",",m","1",",m","19711110",",,m","54.6",",,m,10,","119.5",",,,m"
"MXN00027036","1971-12","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","9",",m","7",",m","1",",m","19711223",",,m","28.4",",,m,23,","91.1",",,,m"
"MXN00027036","1972-01","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","6",",m","5",",m","1",",m","19720105",",,m","127.8",",,m,05,","198.7",",,,m"
"MXN00027036","1972-02","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","5","1,m","4","1,m","1","1,m","19720203",",1,m","55.4","1,,m,03,","94.8","1,,,m"
"MXN00027036","1972-03","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","2",",m","1",",m","0",",m","19720310",",,m","2.8",",,m,10,","4.3",",,,m"
"MXN00027036","1972-04","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","3",",m","2",",m","0",",m","19720401",",,m","7.4",",,m,01,","12.2",",,,m"
"MXN00027036","1972-05","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","1",",m","1",",m","0",",m","19720504",",,m","2.5",",,m,04,","2.5",",,,m"
"MXN00027036","1972-06","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","16",",m","15",",m","6",",m","19720606",",,m","113.3",",,m,06,","553.2",",,,m"
"MXN00027036","1972-07","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","13",",m","9",",m","0",",m","19720722",",,m","19.6",",,m,22,","79.6",",,,m"
"MXN00027036","1972-08","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","13",",m","12",",m","3",",m","19720801",",,m","69.6",",,m,01,","201.7",",,,m"
"MXN00027036","1972-09","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","10",",m","7",",m","2",",m","19720920",",,m","75.2",",,m,20,","163.2",",,,m"
"MXN00027036","1972-10","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","14",",m","11",",m","1",",m","19721015",",,m","43.2",",,m,15,","150.5",",,,m"
"MXN00027036","1972-11","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","12",",m","11",",m","2",",m","19721130",",,m","31.2",",,m,30,","118.6",",,,m"
"MXN00027036","1972-12","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","7",",m","5",",m","3",",m","19721215",",,m","208.3",",,m,15,","329.1",",,,m"
"MXN00027036","1973-01","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","10",",m","6",",m","1",",m","19730128",",,m","26.9",",,m,28,","78.5",",,,m"
"MXN00027036","1973-02","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","12",",m","6",",m","0",",m","19730216",",,m","7.9",",,m,16,","39.2",",,,m"
"MXN00027036","1973-03","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","3",",m","2",",m","0",",m","19730316",",,m","11.9",",,m,16,","15.4",",,,m"
"MXN00027036","1973-04","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","5",",m","4",",m","0",",m","19730410",",,m","22.1",",,m,10,","60.0",",,,m"
"MXN00027036","1973-05","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","7",",m","6",",m","1",",m","19730515",",,m","72.1",",,m,15,","103.1",",,,m"
"MXN00027036","1973-06","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","13",",m","11",",m","3",",m","19730621",",,m","43.4",",,m,21,","223.8",",,,m"
"MXN00027036","1973-07","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","15",",m","13",",m","0",",m","19730716",",,m","20.3",",,m,16,","158.3",",,,m"
"MXN00027036","1973-08","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","24",",m","24",",m","10",",m","19730820",",,m","91.9",",,m,20,","572.9",",,,m"
"MXN00027036","1973-09","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","18",",m","15",",m","3",",m","19730915",",,m","82.3",",,m,15,","255.0",",,,m"
"MXN00027036","1973-10","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","19",",m","19",",m","9",",m","19731018",",,m","76.2",",,m,18,","562.7",",,,m"
"MXN00027036","1973-11","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","12",",m","11",",m","1",",m","19731128",",,m","52.3",",,m,28,","118.9",",,,m"
"MXN00027036","1973-12","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","7",",m","7",",m","2",",m","19731206",",,m","45.5",",,m,06,","152.5",",,,m"
"MXN00027036","1974-01","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","8",",m","6",",m","2",",m","19740104",",,m","56.4",",,m,04,","141.2",",,,m"
"MXN00027036","1974-02","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","10",",m","8",",m","2",",m","19740208",",,m","41.4",",,m,08,","147.6",",,,m"
"MXN00027036","1974-03","18.0667","-93.1667","14.9","PASO DE CUNDUACAN, MX","2",",m","2",",m","0",",m","19740313",",,m","4.8",",,m,13,","7.6",",,,m"
