"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NOE00133494","1977-01","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","6",",","19770129",",,E","","","100",",,E,29,","","","",""
"NOE00133494","1977-02","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","3",",","19770201",",,E","","","70",",,E,01,","","","",""
"NOE00133494","1977-03","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","0",",","19770330",",,E","","","20",",,E,30,","","","",""
"NOE00133494","1977-04","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","1",",","19770413",",,E","","","30",",,E,13,","","","",""
"NOE00133494","1977-05","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","0",",","19770531","+,,E","","","0",",,E,31,+","","","",""
"NOE00133494","1977-06","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","0",",","19770630","+,,E","","","0",",,E,30,+","","","",""
"NOE00133494","1977-07","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","0",",","19770731","+,,E","","","0",",,E,31,+","","","",""
"NOE00133494","1977-08","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","0",",","19770831","+,,E","","","0",",,E,31,+","","","",""
"NOE00133494","1977-09","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","0",",","19770930","+,,E","","","0",",,E,30,+","","","",""
"NOE00133494","1977-10","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","0",",","19771031","+,,E","","","0",",,E,31,+","","","",""
"NOE00133494","1977-11","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","5",",","19771123","+,,E","","","40",",,E,23,+","","","",""
"NOE00133494","1977-12","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","3",",","19771231","+,,E","","","30",",,E,31,+","","","",""
"NOE00133494","1978-01","60.1319","6.3306","33.0","MAURANGER KRAFTSTASJON, NO","","","","","","","18",",","19780113",",,E","","","300",",,E,13,","","","",""
