"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00134470","2002-08","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","","","25.3","4,E","0","4,E","0","4,E","0","4,E","14","4,E","0","4,E","20020831",",4,E","20020819",",4,E","11.3","4,E,31,","26.6","4,E,19,","","","23.9","4,E","18.38","4,E","21.65","4,,,E","15.11","4,,,E"
"NOE00134470","2002-09","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","","","0.1","3,E","0","3,E","0","3,E","0","3,E","4","3,E","0","3,E","20020926",",3,E","20020910",",3,E","3.1","3,E,26,","22.6","3,E,10,","","","145.3","3,E","12.96","3,E","15.62","3,,,E","10.29","3,,,E"
"NOE00134470","2002-10","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","","","0.0",",E","0",",E","2",",E","0",",E","0",",E","0",",E","20021019",",,E","20021002",",,E","-1.3",",E,19,","15.6",",E,02,","","","366.3",",E","6.52",",E","8.86",",,,E","4.17",",,,E"
"NOE00134470","2002-11","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","","","0.0","1,E","0","1,E","9","1,E","0","1,E","0","1,E","0","1,E","20021119",",1,E","20021106",",1,E","-3.6","1,E,19,","9.3","1,E,06,","","","431.6","1,E","3.45","1,E","5.51","1,,,E","1.39","1,,,E"
"NOE00134470","2002-12","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","","","0.0","1,E","0","1,E","15","1,E","3","1,E","0","1,E","0","1,E","20021210",",1,E","20021227",",1,E","-7.7","1,E,10,","9.6","1,E,27,","","","499.1","1,E","1.70","1,E","3.69","1,,,E","-0.30","1,,,E"
"NOE00134470","2003-01","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","0.0","E","0.0","3,E","0","3,E","14","3,E","4","3,E","0","3,E","0","3,E","20030103",",3,E","20030124",",3,E","-8.0","3,E,03,","7.8","3,E,24,","","","455.5","3,E","2.06","3,E","4.49","3,,,E","-0.36","3,,,E"
"NOE00134470","2003-02","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","0.0","E","0.0","2,E","0","2,E","13","2,E","0","2,E","0","2,E","0","2,E","20030204",",2,E","20030226",",2,E","-4.1","2,E,04,","9.1","2,E,26,","","","420.5","2,E","2.16","2,E","4.25","2,,,E","0.07","2,,,E"
"NOE00134470","2003-03","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","0.0","E","0.0",",E","0",",E","2",",E","0",",E","0",",E","0",",E","20030301",",,E","20030325",",,E","-1.5",",E,01,","8.8",",E,25,","","","440.6",",E","4.12",",E","6.18",",,,E","2.06",",,,E"
"NOE00134470","2003-04","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","0.0","E","0.0","2,E","0","2,E","4","2,E","0","2,E","0","2,E","0","2,E","20030409","+,2,E","20030421",",2,E","-0.5","2,E,09,+","18.2","2,E,21,","","","321.3","2,E","6.86","2,E","10.48","2,,,E","3.24","2,,,E"
"NOE00134470","2003-05","61.5831","5.0278","9.0","FLORO LUFTHAVN, NO","0.0","E","0.0","2,E","0","2,E","2","2,E","0","2,E","0","2,E","0","2,E","20030503",",2,E","20030519",",2,E","-0.9","2,E,03,","17.0","2,E,19,","","","285.3","2,E","8.50","2,E","11.43","2,,,E","5.56","2,,,E"
