"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PA000086033","1972-01","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","6",",I","1",",I","","","","","","","19720122",",,I","","","31.0",",,I,22,","54.6",",,,I","",""
"PA000086033","1972-02","-20.23","-58.167","96.0","BAHIA NEGRA, PA","11",",I","11",",I","3",",I","","","","","","","19720210",",,I","","","64.4",",,I,10,","241.3",",,,I","",""
"PA000086033","1972-03","-20.23","-58.167","96.0","BAHIA NEGRA, PA","6",",I","3",",I","1",",I","","","","","","","19720309",",,I","","","39.3",",,I,09,","61.1",",,,I","",""
"PA000086033","1972-04","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","5",",I","1",",I","","","","","","","19720425",",,I","","","41.8",",,I,25,","101.1",",,,I","",""
"PA000086033","1972-05","-20.23","-58.167","96.0","BAHIA NEGRA, PA","8",",I","6",",I","1",",I","","","","","","","19720509",",,I","","","34.8",",,I,09,","84.3",",,,I","",""
"PA000086033","1972-06","-20.23","-58.167","96.0","BAHIA NEGRA, PA","2",",I","2",",I","0",",I","","","","","","","19720616",",,I","","","18.3",",,I,16,","33.8",",,,I","",""
"PA000086033","1972-07","-20.23","-58.167","96.0","BAHIA NEGRA, PA","3",",I","3",",I","0",",I","","","","","","","19720729",",,I","","","12.6",",,I,29,","25.7",",,,I","",""
"PA000086033","1972-08","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","4",",I","1",",I","","","","","","","19720822",",,I","","","26.6",",,I,22,","53.2",",,,I","",""
"PA000086033","1972-09","-20.23","-58.167","96.0","BAHIA NEGRA, PA","3",",I","2",",I","0",",I","","","","","","","19720911",",,I","","","14.0",",,I,11,","18.6",",,,I","",""
"PA000086033","1972-10","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","3",",I","0",",I","","","","","","","19721002",",,I","","","10.8",",,I,02,","22.2",",,,I","",""
"PA000086033","1972-12","-20.23","-58.167","96.0","BAHIA NEGRA, PA","11","1,I","9","1,I","2","1,I","","","","","","","19721208",",1,I","","","45.2","1,,I,08,","129.4","1,,,I","",""
"PA000086033","1973-01","-20.23","-58.167","96.0","BAHIA NEGRA, PA","10",",I","8",",I","1",",I","","","","","","","19730121",",,I","","","39.0",",,I,21,","98.2",",,,I","",""
"PA000086033","1973-02","-20.23","-58.167","96.0","BAHIA NEGRA, PA","10",",I","8",",I","1",",I","","","","","","","19730213",",,I","","","68.4",",,I,13,","132.1",",,,I","",""
"PA000086033","1973-03","-20.23","-58.167","96.0","BAHIA NEGRA, PA","4",",I","4",",I","0",",I","","","","","","","19730308",",,I","","","9.0",",,I,08,","19.4",",,,I","",""
"PA000086033","1973-04","-20.23","-58.167","96.0","BAHIA NEGRA, PA","4",",I","1",",I","1",",I","","","","","","","19730411",",,I","","","48.9",",,I,11,","52.2",",,,I","",""
"PA000086033","1973-05","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","4",",I","0",",I","","","","","","","19730524",",,I","","","16.8",",,I,24,","37.7",",,,I","",""
"PA000086033","1973-06","-20.23","-58.167","96.0","BAHIA NEGRA, PA","2",",I","2",",I","1",",I","","","","","","","19730602",",,I","","","25.4",",,I,02,","29.1",",,,I","",""
"PA000086033","1973-07","-20.23","-58.167","96.0","BAHIA NEGRA, PA","1",",I","0",",I","0",",I","","","","","","","19730716",",,I","","","1.6",",,I,16,","1.6",",,,I","",""
"PA000086033","1973-08","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","2",",I","0",",I","","","","","","","19730827",",,I","","","9.2",",,I,27,","15.6",",,,I","",""
"PA000086033","1973-09","-20.23","-58.167","96.0","BAHIA NEGRA, PA","2",",I","0",",I","0",",I","","","","","","","19730928",",,I","","","2.4",",,I,28,","2.7",",,,I","",""
"PA000086033","1973-10","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","7",",I","2",",I","","","","","","","19731008",",,I","","","34.8",",,I,08,","119.3",",,,I","",""
"PA000086033","1973-11","-20.23","-58.167","96.0","BAHIA NEGRA, PA","8",",I","7",",I","5",",I","","","","","","","19731108",",,I","","","54.2",",,I,08,","234.4",",,,I","",""
"PA000086033","1973-12","-20.23","-58.167","96.0","BAHIA NEGRA, PA","14",",I","12",",I","2",",I","","","","","","","19731204",",,I","","","58.2",",,I,04,","196.7",",,,I","",""
"PA000086033","1974-01","-20.23","-58.167","96.0","BAHIA NEGRA, PA","16",",I","10",",I","0",",I","","","","","","","19740114",",,I","","","21.7",",,I,14,","98.3",",,,I","",""
"PA000086033","1974-02","-20.23","-58.167","96.0","BAHIA NEGRA, PA","11",",I","8",",I","1",",I","","","","","","","19740208",",,I","","","44.8",",,I,08,","111.1",",,,I","",""
"PA000086033","1974-03","-20.23","-58.167","96.0","BAHIA NEGRA, PA","12",",I","8",",I","1",",I","","","","","","","19740311",",,I","","","58.7",",,I,11,","112.2",",,,I","",""
"PA000086033","1974-04","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","4",",I","1",",I","","","","","","","19740423",",,I","","","26.9",",,I,23,","96.8",",,,I","",""
"PA000086033","1974-05","-20.23","-58.167","96.0","BAHIA NEGRA, PA","4",",I","2",",I","1",",I","","","","","","","19740511",",,I","","","31.1",",,I,11,","53.6",",,,I","",""
"PA000086033","1974-06","-20.23","-58.167","96.0","BAHIA NEGRA, PA","7",",I","2",",I","1",",I","","","","","","","19740620",",,I","","","43.4",",,I,20,","52.5",",,,I","",""
"PA000086033","1974-07","-20.23","-58.167","96.0","BAHIA NEGRA, PA","1",",I","1",",I","0",",I","","","","","","","19740718",",,I","","","11.0",",,I,18,","11.0",",,,I","",""
"PA000086033","1974-08","-20.23","-58.167","96.0","BAHIA NEGRA, PA","6",",I","5",",I","1",",I","","","","","","","19740815",",,I","","","25.6",",,I,15,","64.5",",,,I","",""
"PA000086033","1974-09","-20.23","-58.167","96.0","BAHIA NEGRA, PA","1",",I","1",",I","1",",I","","","","","","","19740928",",,I","","","25.6",",,I,28,","25.8",",,,I","",""
"PA000086033","1974-10","-20.23","-58.167","96.0","BAHIA NEGRA, PA","11",",I","7",",I","1",",I","","","","","","","19741019",",,I","","","85.0",",,I,19,","134.3",",,,I","",""
"PA000086033","1974-11","-20.23","-58.167","96.0","BAHIA NEGRA, PA","4",",I","3",",I","2",",I","","","","","","","19741120",",,I","","","54.1",",,I,20,","115.8",",,,I","",""
"PA000086033","1974-12","-20.23","-58.167","96.0","BAHIA NEGRA, PA","16",",I","10",",I","4",",I","","","","","","","19741217",",,I","","","105.6",",,I,17,","244.2",",,,I","",""
"PA000086033","1975-01","-20.23","-58.167","96.0","BAHIA NEGRA, PA","6",",I","2",",I","0",",I","","","","","","","19750110",",,I","","","22.6",",,I,10,","30.6",",,,I","",""
"PA000086033","1975-02","-20.23","-58.167","96.0","BAHIA NEGRA, PA","9",",I","3",",I","0",",I","","","","","","","19750224",",,I","","","9.7",",,I,24,","27.9",",,,I","",""
"PA000086033","1975-03","-20.23","-58.167","96.0","BAHIA NEGRA, PA","10",",I","5",",I","2",",I","","","","","","","19750303",",,I","","","38.7",",,I,03,","128.4",",,,I","",""
"PA000086033","1975-04","-20.23","-58.167","96.0","BAHIA NEGRA, PA","9",",I","5",",I","1",",I","","","","","","","19750401",",,I","","","63.0",",,I,01,","94.1",",,,I","",""
"PA000086033","1975-05","-20.23","-58.167","96.0","BAHIA NEGRA, PA","1",",I","0",",I","0",",I","","","","","","","19750514",",,I","","","0.5",",,I,14,","0.7",",,,I","",""
"PA000086033","1975-06","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","5",",I","0",",I","","","","","","","19750627",",,I","","","15.8",",,I,27,","44.6",",,,I","",""
"PA000086033","1975-07","-20.23","-58.167","96.0","BAHIA NEGRA, PA","5",",I","2",",I","0",",I","","","","","","","19750703",",,I","","","11.4",",,I,03,","22.4",",,,I","",""
