"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PE000084444","1963-03","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19630331",",4,I","","","","","7.2","4,I,31,","","","","","","","","","","","","","9.33","4,,,I"
"PE000084444","1963-07","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","5,I","0","5,I","0","5,I","19","5,I","0","5,I","19630731",",5,I","","","19630722","+,5,I","2.2","5,I,31,","","","22.8","5,I,22,+","","","","","13.48","7,I","21.06","5,,,I","5.90","5,,,I"
"PE000084444","1963-10","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","2,I","0","2,I","","","","","","","19631031",",2,I","","","","","6.1","2,I,31,","","","","","","","","","","","","","8.86","2,,,I"
"PE000084444","1963-12","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19631213",",4,I","","","","","7.2","4,I,13,","","","","","","","","","","","","","9.86","4,,,I"
"PE000084444","1964-01","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19640130","+,4,I","","","","","6.1","4,I,30,+","","","","","","","","","","","","","9.71","4,,,I"
"PE000084444","1964-08","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","5,I","0","5,I","","","","","","","19640808",",5,I","","","","","2.2","5,I,08,","","","","","","","","","","","","","6.99","5,,,I"
"PE000084444","1965-02","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","3,I","0","3,I","","","","","","","19650211","+,3,I","","","","","6.1","3,I,11,+","","","","","","","","","","","","","9.46","3,,,I"
"PE000084444","1965-04","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","1,I","0","1,I","","","","","","","19650420","+,1,I","","","","","6.1","1,I,20,+","","","","","","","","","","","","","9.31","1,,,I"
"PE000084444","1965-05","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","1,I","0","1,I","0","5,I","11","5,I","0","5,I","19650527",",1,I","","","19650514",",5,I","5.0","1,I,27,","","","23.9","5,I,14,","","","","","14.57","6,I","20.45","5,,,I","8.69","1,,,I"
"PE000084444","1965-10","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","2,I","0","2,I","","","","","","","19651028","+,2,I","","","","","7.8","2,I,28,+","","","","","","","","","","","","","9.89","2,,,I"
"PE000084444","1966-03","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19660330",",4,I","","","","","7.8","4,I,30,","","","","","","","","","","","","","10.20","4,,,I"
"PE000084444","1966-05","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19660530","+,4,I","","","","","2.8","4,I,30,+","","","","","","","","","","","","","8.91","4,,,I"
"PE000084444","1968-05","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19680503",",4,I","","","","","5.0","4,I,03,","","","","","","","","","","","","","7.89","4,,,I"
"PE000084444","1973-01","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","5,I","0","5,I","","","","","","","19730115",",5,I","","","","","9.0","5,I,15,","","","","","","","","","","","","","10.92","5,,,I"
"PE000084444","1973-02","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","2","2,I","2","2,I","0","2,I","","","","","","","","","","","","","19730220",",2,I","","","","","9.9","2,,I,20,","","","","","16.0","2,,,I","","","","","",""
"PE000084444","1973-03","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","10","2,I","10","2,I","0","2,I","0","4,I","0","4,I","","","","","","","19730323","+,4,I","19730326",",2,I","","","10.0","4,I,23,+","10.9","2,,I,26,","","","","","66.2","2,,,I","","","","","11.41","4,,,I"
"PE000084444","1973-04","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","12","2,I","7","2,I","0","2,I","0","4,I","0","4,I","","","","","","","19730430","+,4,I","19730413",",2,I","","","10.0","4,I,30,+","20.1","2,,I,13,","","","","","84.0","2,,,I","","","","","11.69","4,,,I"
"PE000084444","1973-05","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","5","1,I","1","1,I","0","1,I","0","2,I","0","2,I","","","","","","","19730524","+,2,I","19730528",",1,I","","","8.0","2,I,24,+","7.9","1,,I,28,","","","","","15.9","1,,,I","","","","","10.55","2,,,I"
"PE000084444","1973-06","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","6","3,I","1","3,I","1","3,I","0","3,I","0","3,I","","","","","","","19730621",",3,I","19730625",",3,I","","","7.0","3,I,21,","30.0","3,,I,25,","","","","","40.0","3,,,I","","","","","9.89","3,,,I"
"PE000084444","1974-01","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","9","5,I","4","5,I","0","5,I","","","","","","","","","","","","","19740107",",5,I","","","","","14.0","5,,I,07,","","","","","34.2","5,,,I","","","","","",""
"PE000084444","1974-10","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","11","4,I","8","4,I","0","4,I","","","","","","","","","","","","","19741020","+,4,I","","","","","14.0","4,,I,20,+","","","","","71.9","4,,,I","","","","","",""
"PE000084444","1975-06","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","5,I","0","5,I","","","","","","","19750625","+,5,I","","","","","8.0","5,I,25,+","","","","","","","","","","","","","9.44","5,,,I"
"PE000084444","1975-09","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","2,I","0","2,I","","","","","","","19750906",",2,I","","","","","3.0","2,I,06,","","","","","","","","","","","","","8.71","2,,,I"
"PE000084444","1975-10","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","3,I","0","3,I","","","","","","","19751020","+,3,I","","","","","6.0","3,I,20,+","","","","","","","","","","","","","8.79","3,,,I"
"PE000084444","1975-12","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","5,I","0","5,I","","","","","","","19751203",",5,I","","","","","2.0","5,I,03,","","","","","","","","","","","","","8.81","5,,,I"
"PE000084444","1976-02","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","2,I","0","2,I","","","","","","","19760207",",2,I","","","","","6.0","2,I,07,","","","","","","","","","","","","","10.00","2,,,I"
"PE000084444","1976-03","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","2,I","0","2,I","","","","","","","19760331",",2,I","","","","","7.0","2,I,31,","","","","","","","","","","","","","10.59","2,,,I"
"PE000084444","1976-04","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","3,I","0","3,I","","","","","","","19760418","+,3,I","","","","","7.0","3,I,18,+","","","","","","","","","","","","","9.74","3,,,I"
"PE000084444","1976-05","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19760526","+,4,I","","","","","6.0","4,I,26,+","","","","","","","","","","","","","9.96","4,,,I"
"PE000084444","1976-06","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","3,I","0","3,I","","","","","","","19760611",",3,I","","","","","4.0","3,I,11,","","","","","","","","","","","","","8.37","3,,,I"
"PE000084444","1976-07","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","4,I","0","4,I","","","","","","","19760728",",4,I","","","","","1.0","4,I,28,","","","","","","","","","","","","","6.74","4,,,I"
"PE000084444","1976-08","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","1,I","0","1,I","","","","","","","19760823","+,1,I","","","","","5.0","1,I,23,+","","","","","","","","","","","","","8.33","1,,,I"
"PE000084444","1976-09","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","","","","","","","0","1,I","0","1,I","","","","","","","19760901",",1,I","","","","","5.0","1,I,01,","","","","","","","","","","","","","9.24","1,,,I"
"PE000084444","1976-10","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","0","2,I","0","2,I","0","2,I","0","2,I","0","2,I","","","","","","","19761016",",2,I","19761031","+,2,I","","","6.0","2,I,16,","0.0","2,,I,31,+","","","","","0.0","2,,,I","","","","","9.41","2,,,I"
"PE000084444","1976-11","-6.2","-77.85","2540.0","CHACHAPOYAS, PE","","","4",",I","4",",I","0",",I","0","2,I","0","2,I","","","","","","","19761112",",2,I","19761121",",,I","","","7.0","2,I,12,","11.9",",,I,21,","","","","","36.8",",,,I","","","","","9.82","2,,,I"
