"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PEM00084782","1963-10","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19631007","+,5,S","","","","","7.8","5,S,07,+","","","","","","","","","","","","","","","10.85","5,,,S"
"PEM00084782","1965-02","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","94.2","5,S","","","","","","","0","3,S","0","3,S","0","4,S","24","4,S","0","4,S","19650224","+,3,S","","","19650224","+,4,S","15.0","3,S,24,+","","","30.0","4,S,24,+","","","0.0","4,S","","","22.42","5,S","28.32","4,,,S","16.52","3,,,S"
"PEM00084782","1965-04","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","","","","","","","","","","","","","0","5,S","25","5,S","0","5,S","","","","","19650415","+,5,S","","","","","27.2","5,S,15,+","","","","","","","","","25.42","5,,,S","",""
"PEM00084782","1965-05","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","3.6","1,S","","","","","","","0",",S","0",",S","0","1,S","30","1,S","0","1,S","19650516",",,S","","","19650505",",1,S","6.1",",S,16,","","","26.1","1,S,05,","","","53.1","1,S","","","16.68","1,S","22.87","1,,,S","10.48",",,,S"
"PEM00084782","1965-06","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","","","","","","","","","","","","","0","4,S","24","4,S","0","4,S","","","","","19650605","+,4,S","","","","","23.9","4,S,05,+","","","","","","","","","22.13","4,,,S","",""
"PEM00084782","1965-07","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","0.0","S","0.0","3,S","","","","","","","0","2,S","0","2,S","0","2,S","12","2,S","0","2,S","19650720",",2,S","","","19650727","+,2,S","7.2","2,S,20,","","","22.2","2,S,27,+","","","70.4","2,S","","","15.81","3,S","20.72","2,,,S","10.90","2,,,S"
"PEM00084782","1965-09","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","","","","","","","","","0","5,S","0","5,S","","","","","","","19650930","+,5,S","","","","","5.0","5,S,30,+","","","","","","","","","","","","","","","9.28","5,,,S"
"PEM00084782","1966-04","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","","","","","","","","","0","5,","0","5,S","","","","","","","19660413",",5,S","","","","","3.9","5,S,13,","","","","","","","","","","","","","","","7.76","5,,,S"
"PEM00084782","1966-05","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","","","","","","","","","0","2,","0","2,S","","","","","","","19660531","+,2,S","","","","","3.9","2,S,31,+","","","","","","","","","","","","","","","7.34","2,,,S"
"PEM00084782","1966-08","-18.053","-70.276","468.8","CORONEL CARLOS CIRIANI SANTA, PE","","","","","","","","","","","0",",S","0",",S","","","","","","","19660810","+,,S","","","","","5.0",",S,10,+","","","","","","","","","","","","","","","7.67",",,,S"
