"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"POM00008521","1973-02","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","14","5,S","8","5,S","0","5,S","","","","","0","4,S","0","4,S","0","4,S","","","19730211",",5,S","19730208","+,4,S","","","17.0","5,,S,11,","19.0","4,S,08,+","","","","","46.6","5,,,S","","","16.63","4,,,S","",""
"POM00008521","1973-04","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","1.0","3,S","12","4,S","9","4,S","1","4,S","0","2,S","0","2,S","0","1,S","2","1,S","0","1,S","19730415",",2,S","19730430",",4,S","19730426","+,1,S","12.0","2,S,15,","39.1","4,,S,30,","22.0","1,S,26,+","","","52.5","1,S","108.4","4,,,S","16.37","3,S","18.28","1,,,S","14.46","2,,,S"
"POM00008521","1973-05","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","5.7","4,S","9","2,S","7","2,S","2","2,S","0","3,S","0","3,S","0","1,S","5","1,S","0","1,S","19730504",",3,S","19730502",",2,S","19730502",",1,S","12.0","3,S,04,","72.9","2,,S,02,","23.0","1,S,02,","","","23.2","1,S","140.3","2,,,S","17.65","4,S","20.40","1,,,S","14.89","3,,,S"
"POM00008521","1973-06","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","3","4,S","0","4,S","0","4,S","","","","","0","2,S","17","2,S","0","2,S","","","19730603",",4,S","19730617",",2,S","","","0.5","4,,S,03,","25.0","2,S,17,","","","","","1.1","4,,,S","","","21.64","2,,,S","",""
"POM00008521","1973-07","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","1","4,S","0","4,S","0","4,S","0","3,S","0","3,S","0","3,S","28","3,S","0","3,S","19730728","+,3,S","19730710",",4,S","19730727",",3,S","18.0","3,S,28,+","1.0","4,,S,10,","26.0","3,S,27,","","","","","1.0","4,,,S","21.21","6,S","23.50","3,,,S","18.93","3,,,S"
"POM00008521","1973-08","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","0","2,S","0","2,S","0","2,S","0","4,S","0","4,S","","","","","","","19730826",",4,S","19730831","+,2,S","","","15.0","4,S,26,","0.0","2,,S,31,+","","","","","","","0.0","2,,,S","","","","","19.59","4,,,S"
"POM00008521","1973-09","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","4","5,S","1","5,S","1","5,S","0","4,S","0","4,S","0","3,S","27","3,S","0","3,S","19730924","+,4,S","19730921",",5,S","19730909",",3,S","19.0","4,S,24,+","25.9","5,,S,21,","28.0","3,S,09,","","","","","31.9","5,,,S","22.48","7,S","25.00","3,,,S","19.96","4,,,S"
"POM00008521","1973-10","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","4,S","19","4,S","0","4,S","","","","","19731014","+,4,S","","","","","26.0","4,S,14,+","","","","","","","","","23.04","4,,,S","",""
"POM00008521","1973-11","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","11","5,S","7","5,S","1","5,S","","","","","0","2,S","9","2,S","0","2,S","","","19731120",",5,S","19731121","+,2,S","","","35.1","5,,S,20,","25.0","2,S,21,+","","","","","114.8","5,,,S","","","20.96","2,,,S","",""
"POM00008521","1973-12","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","10","4,S","2","4,S","0","4,S","","","","","","","","","","","","","19731224",",4,S","","","","","7.9","4,,S,24,","","","","","","","22.8","4,,,S","","","","","",""
"POM00008521","1974-01","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","","","","","19740105",",3,S","","","","","21.0","3,S,05,","","","","","","","","","19.04","3,,,S","",""
"POM00008521","1974-02","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","4","4,S","2","4,S","0","4,S","","","","","0","3,S","2","3,S","0","3,S","","","19740222",",4,S","19740201",",3,S","","","5.1","4,,S,22,","24.0","3,S,01,","","","","","10.4","4,,,S","","","17.84","3,,,S","",""
"POM00008521","1974-03","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","0.0","4,S","14",",S","11",",S","1",",S","0","2,S","0","2,S","0","2,S","0","2,S","0","2,S","19740327","+,2,S","19740307",",,S","19740313",",2,S","10.0","2,S,27,+","29.0",",,S,07,","21.0","2,S,13,","","","81.5","2,S","128.9",",,,S","15.29","4,S","17.41","2,,,S","13.17","2,,,S"
"POM00008521","1974-04","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","7","3,S","3","3,S","1","3,S","","","","","0","4,S","0","4,S","0","4,S","","","19740409",",3,S","19740430","+,4,S","","","40.9","3,,S,09,","19.0","4,S,30,+","","","","","67.8","3,,,S","","","17.65","4,,,S","",""
"POM00008521","1974-05","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","4","5,S","1","5,S","1","5,S","0","4,S","0","4,S","0","5,S","7","5,S","0","5,S","19740509",",4,S","19740528",",5,S","19740522",",5,S","13.0","4,S,09,","59.9","5,,S,28,","24.0","5,S,22,","","","","","62.9","5,,,S","18.23","9,S","20.65","5,,,S","15.81","4,,,S"
"POM00008521","1974-06","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","32.0","2,S","2","1,S","0","1,S","0","1,S","0","1,S","0","1,S","0","1,S","16","1,S","0","1,S","19740623",",1,S","19740610",",1,S","19740629","+,1,S","15.0","1,S,23,","1.0","1,,S,10,","26.0","1,S,29,+","","","0.3","1,S","1.5","1,,,S","19.47","2,S","22.07","1,,,S","16.86","1,,,S"
"POM00008521","1974-07","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","1","2,S","0","2,S","0","2,S","0","4,S","0","4,S","0","2,S","27","2,S","0","2,S","19740710",",4,S","19740717",",2,S","19740701",",2,S","16.0","4,S,10,","1.0","2,,S,17,","28.0","2,S,01,","","","","","1.0","2,,,S","21.17","6,S","23.83","2,,,S","18.52","4,,,S"
"POM00008521","1974-08","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","2","4,S","1","4,S","0","4,S","","","","","0","5,S","26","5,S","0","5,S","","","19740831",",4,S","19740806",",5,S","","","4.1","4,,S,31,","30.0","5,S,06,","","","","","6.1","4,,,S","","","24.08","5,,,S","",""
"POM00008521","1974-09","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","61.2","5,S","8","2,S","5","2,S","0","2,S","0","3,S","0","3,S","0","2,S","23","2,S","0","2,S","19740924","+,3,S","19740917",",2,S","19740911","+,2,S","16.0","3,S,24,+","6.1","2,,S,17,","25.0","2,S,11,+","","","0.0","2,S","23.8","2,,,S","20.75","5,S","22.64","2,,,S","18.85","3,,,S"
"POM00008521","1974-10","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","10","3,S","7","3,S","0","3,S","0","3,S","0","3,S","0","4,S","11","4,S","0","4,S","19741024",",3,S","19741024",",3,S","19741012","+,4,S","13.0","3,S,24,","20.1","3,,S,24,","25.0","4,S,12,+","","","","","73.2","3,,,S","19.67","6,S","21.67","4,,,S","17.68","3,,,S"
"POM00008521","1974-11","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","4","2,S","1","2,S","0","2,S","","","","","0","4,S","7","4,S","0","4,S","","","19741117",",2,S","19741123",",4,S","","","3.0","2,,S,17,","23.0","4,S,23,","","","","","4.6","2,,,S","","","20.46","4,,,S","",""
"POM00008521","1974-12","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","6","2,S","4","2,S","0","2,S","","","","","0","5,S","1","5,S","0","5,S","","","19741221",",2,S","19741204",",5,S","","","23.1","2,,S,21,","25.0","5,S,04,","","","","","60.7","2,,,S","","","19.04","5,,,S","",""
"POM00008521","1975-02","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","0.0","5,S","","","","","","","0","4,S","0","4,S","0","3,S","0","3,S","0","3,S","19750227","+,4,S","","","19750224","+,3,S","11.0","4,S,27,+","","","20.0","3,S,24,+","","","53.2","3,S","","","15.99","5,S","18.48","3,,,S","13.50","4,,,S"
"POM00008521","1975-03","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","3,S","0","3,S","0","3,S","0","3,S","0","3,S","19750312",",3,S","","","19750301",",3,S","11.0","3,S,12,","","","21.0","3,S,01,","","","","","","","16.25","6,S","18.71","3,,,S","13.79","3,,,S"
"POM00008521","1975-04","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","4,S","1","4,S","0","4,S","","","","","19750404",",4,S","","","","","22.0","4,S,04,","","","","","","","","","17.92","4,,,S","",""
"POM00008521","1975-05","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","4,S","5","4,S","0","4,S","","","","","19750520",",4,S","","","","","28.0","4,S,20,","","","","","","","","","20.59","4,,,S","",""
"POM00008521","1975-06","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","32.7","4,S","","","","","","","0","2,S","0","2,S","0","2,S","19","2,S","0","2,S","19750618","+,2,S","","","19750624","+,2,S","16.0","2,S,18,+","","","25.0","2,S,24,+","","","1.3","2,S","","","19.54","4,S","21.96","2,,,S","17.11","2,,,S"
"POM00008521","1975-09","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","4,S","0","4,S","0","5,S","25","5,S","0","5,S","19750916",",4,S","","","19750923",",5,S","18.0","4,S,16,","","","28.0","5,S,23,","","","","","","","21.91","9,S","24.24","5,,,S","19.58","4,,,S"
"POM00008521","1975-10","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","5,S","0","5,S","0","2,S","26","2,S","0","2,S","19751027","+,5,S","","","19751030",",2,S","17.0","5,S,27,+","","","26.0","2,S,30,","","","","","","","20.61","7,S","22.79","2,,,S","18.42","5,,,S"
"POM00008521","1975-11","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","2,S","7","2,S","0","2,S","","","","","19751116",",2,S","","","","","26.0","2,S,16,","","","","","","","","","20.54","2,,,S","",""
"POM00008521","1975-12","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","19751223","+,5,S","","","","","21.0","5,S,23,+","","","","","","","","","18.00","5,,,S","",""
"POM00008521","1976-01","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","3,S","0","3,S","0","3,S","","","","","19760131","+,3,S","","","","","20.0","3,S,31,+","","","","","","","","","17.25","3,,,S","",""
"POM00008521","1976-02","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","","","","","0","2,S","0","2,S","0","2,S","","","","","19760227",",2,S","","","","","20.0","2,S,27,","","","","","","","","","17.26","2,,,S","",""
"POM00008521","1976-03","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","4,S","0","4,S","0","4,S","0","4,S","0","4,S","19760324","+,4,S","","","19760331","+,4,S","11.0","4,S,24,+","","","20.0","4,S,31,+","","","","","","","15.56","7,S","17.56","4,,,S","13.56","4,,,S"
"POM00008521","1976-04","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","4,S","0","4,S","0","3,S","0","3,S","0","3,S","19760408",",4,S","","","19760401",",3,S","11.0","4,S,08,","","","20.0","3,S,01,","","","","","","","15.58","6,S","17.67","3,,,S","13.50","4,,,S"
"POM00008521","1976-05","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","0.8","5,S","","","","","","","0","4,S","0","4,S","0","1,S","2","1,S","0","1,S","19760506","+,4,S","","","19760528","+,1,S","12.0","4,S,06,+","","","22.0","1,S,28,+","","","49.5","1,S","","","16.43","5,S","18.87","1,,,S","14.00","4,,,S"
"POM00008521","1976-07","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","4,S","0","4,S","0","4,S","27","4,S","0","4,S","19760702",",4,S","","","19760729","+,4,S","18.0","4,S,02,","","","27.0","4,S,29,+","","","","","","","23.02","8,S","25.70","4,,,S","20.33","4,,,S"
"POM00008521","1976-08","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","5,S","0","5,S","0","5,S","26","5,S","1","5,S","19760821",",5,S","","","19760812",",5,S","18.0","5,S,21,","","","34.0","5,S,12,","","","","","","","24.65","9,S","27.96","5,,,S","21.35","5,,,S"
"POM00008521","1976-09","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","","","","","","","0","3,S","0","3,S","0","3,S","27","3,S","0","3,S","19760928","+,3,S","","","19760907",",3,S","18.0","3,S,28,+","","","29.0","3,S,07,","","","","","","","23.13","6,S","26.15","3,,,S","20.11","3,,,S"
"POM00008521","1976-10","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","64.7","5,S","7","3,S","2","3,S","0","3,S","0","3,S","0","3,S","0","2,S","25","2,S","0","2,S","19761030",",3,S","19761015",",3,S","19761026","+,2,S","15.0","3,S,30,","7.1","3,,S,15,","26.0","2,S,26,+","","","0.3","2,S","14.6","3,,,S","20.78","5,S","23.34","2,,,S","18.21","3,,,S"
"POM00008521","1976-11","32.683","-16.767","49.0","FUNCHAL S.CATARINA, PO","","","","","7",",S","3",",S","0",",S","0","4,S","0","4,S","0","4,S","7","4,S","0","4,S","19761108","+,4,S","19761121",",,S","19761111","+,4,S","14.0","4,S,08,+","19.1",",,S,21,","23.0","4,S,11,+","","","","","39.1",",,,S","18.62","7,S","20.65","4,,,S","16.58","4,,,S"
