"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"RSM00027618","1959-01","54.933","37.467","166.0","SERPUHOV, RS","20",",I","8",",I","0",",I","19590106",",,I","9.5",",,I,06,","48.8",",,,I"
"RSM00027618","1959-02","54.933","37.467","166.0","SERPUHOV, RS","14",",I","3",",I","0",",I","19590218",",,I","4.3",",,I,18,","20.2",",,,I"
"RSM00027618","1959-03","54.933","37.467","166.0","SERPUHOV, RS","6",",I","4",",I","0",",I","19590325",",,I","5.0",",,I,25,","18.4",",,,I"
"RSM00027618","1959-04","54.933","37.467","166.0","SERPUHOV, RS","8",",I","3",",I","0",",I","19590404",",,I","5.2",",,I,04,","18.5",",,,I"
"RSM00027618","1959-05","54.933","37.467","166.0","SERPUHOV, RS","12",",I","4",",I","0",",I","19590522",",,I","16.3",",,I,22,","36.4",",,,I"
"RSM00027618","1959-06","54.933","37.467","166.0","SERPUHOV, RS","15",",I","12",",I","0",",I","19590615",",,I","18.9",",,I,15,","85.0",",,,I"
"RSM00027618","1959-07","54.933","37.467","166.0","SERPUHOV, RS","9",",I","6",",I","0",",I","19590724",",,I","16.6",",,I,24,","46.0",",,,I"
"RSM00027618","1959-08","54.933","37.467","166.0","SERPUHOV, RS","10",",I","5",",I","0",",I","19590827",",,I","11.6",",,I,27,","37.2",",,,I"
"RSM00027618","1959-09","54.933","37.467","166.0","SERPUHOV, RS","15",",I","5",",I","0",",I","19590920",",,I","11.2",",,I,20,","33.5",",,,I"
"RSM00027618","1959-10","54.933","37.467","166.0","SERPUHOV, RS","17",",I","6",",I","0",",I","19591023",",,I","5.8",",,I,23,","40.1",",,,I"
"RSM00027618","1959-11","54.933","37.467","166.0","SERPUHOV, RS","7",",I","2",",I","0",",I","19591104",",,I","5.9",",,I,04,","14.3",",,,I"
"RSM00027618","1959-12","54.933","37.467","166.0","SERPUHOV, RS","16",",I","5",",I","0",",I","19591202",",,I","7.3",",,I,02,","35.5",",,,I"
"RSM00027618","1960-01","54.933","37.467","166.0","SERPUHOV, RS","14",",I","11",",I","0",",I","19600109",",,I","8.0",",,I,09,","55.5",",,,I"
"RSM00027618","1960-02","54.933","37.467","166.0","SERPUHOV, RS","17",",I","3",",I","0",",I","19600226",",,I","4.9",",,I,26,","26.7",",,,I"
"RSM00027618","1960-03","54.933","37.467","166.0","SERPUHOV, RS","4",",I","1",",I","0",",I","19600330",",,I","4.0",",,I,30,","7.1",",,,I"
"RSM00027618","1960-04","54.933","37.467","166.0","SERPUHOV, RS","3",",I","2",",I","0",",I","19600419",",,I","9.0",",,I,19,","13.8",",,,I"
"RSM00027618","1960-05","54.933","37.467","166.0","SERPUHOV, RS","10",",I","7",",I","0",",I","19600504",",,I","14.9",",,I,04,","65.7",",,,I"
"RSM00027618","1960-06","54.933","37.467","166.0","SERPUHOV, RS","10",",I","5",",I","0",",I","19600608",",,I","10.3",",,I,08,","35.6",",,,I"
"RSM00027618","1960-07","54.933","37.467","166.0","SERPUHOV, RS","10",",I","4",",I","0",",I","19600702",",,I","23.9",",,I,02,","52.1",",,,I"
"RSM00027618","1960-08","54.933","37.467","166.0","SERPUHOV, RS","16",",I","11",",I","1",",I","19600823",",,I","26.2",",,I,23,","114.9",",,,I"
"RSM00027618","1960-09","54.933","37.467","166.0","SERPUHOV, RS","15",",I","8",",I","0",",I","19600929",",,I","24.1",",,I,29,","76.6",",,,I"
"RSM00027618","1960-10","54.933","37.467","166.0","SERPUHOV, RS","15",",I","9",",I","0",",I","19601021",",,I","10.8",",,I,21,","57.6",",,,I"
"RSM00027618","1960-11","54.933","37.467","166.0","SERPUHOV, RS","14",",I","5",",I","0",",I","19601101",",,I","19.5",",,I,01,","48.1",",,,I"
"RSM00027618","1960-12","54.933","37.467","166.0","SERPUHOV, RS","11",",I","2",",I","0",",I","19601228",",,I","3.3",",,I,28,","20.0",",,,I"
"RSM00027618","1961-01","54.933","37.467","166.0","SERPUHOV, RS","12",",I","2",",I","0",",I","19610116",",,I","4.6",",,I,16,","16.0",",,,I"
"RSM00027618","1961-02","54.933","37.467","166.0","SERPUHOV, RS","15",",I","3",",I","0",",I","19610205","+,,I","5.6",",,I,05,+","21.3",",,,I"
"RSM00027618","1961-03","54.933","37.467","166.0","SERPUHOV, RS","16",",I","4",",I","0",",I","19610314",",,I","21.1",",,I,14,","44.3",",,,I"
"RSM00027618","1961-04","54.933","37.467","166.0","SERPUHOV, RS","15",",I","6",",I","0",",I","19610402",",,I","7.5",",,I,02,","40.5",",,,I"
"RSM00027618","1961-05","54.933","37.467","166.0","SERPUHOV, RS","8",",I","5",",I","0",",I","19610513",",,I","10.2",",,I,13,","35.3",",,,I"
"RSM00027618","1961-06","54.933","37.467","166.0","SERPUHOV, RS","6",",I","4",",I","0",",I","19610610",",,I","14.3",",,I,10,","29.5",",,,I"
"RSM00027618","1961-07","54.933","37.467","166.0","SERPUHOV, RS","11",",I","7",",I","1",",I","19610708",",,I","26.5",",,I,08,","105.8",",,,I"
"RSM00027618","1961-08","54.933","37.467","166.0","SERPUHOV, RS","13",",I","8",",I","0",",I","19610805",",,I","19.8",",,I,05,","99.7",",,,I"
"RSM00027618","1961-09","54.933","37.467","166.0","SERPUHOV, RS","10",",I","4",",I","0",",I","19610907",",,I","23.1",",,I,07,","51.7",",,,I"
"RSM00027618","1961-10","54.933","37.467","166.0","SERPUHOV, RS","5",",I","2",",I","0",",I","19611001",",,I","4.9",",,I,01,","13.1",",,,I"
"RSM00027618","1961-11","54.933","37.467","166.0","SERPUHOV, RS","12",",I","5",",I","0",",I","19611128",",,I","8.2",",,I,28,","34.9",",,,I"
"RSM00027618","1961-12","54.933","37.467","166.0","SERPUHOV, RS","14",",I","10",",I","0",",I","19611203",",,I","8.0",",,I,03,","49.3",",,,I"
"RSM00027618","1962-01","54.933","37.467","166.0","SERPUHOV, RS","12",",I","5",",I","0",",I","19620102",",,I","5.7",",,I,02,","26.9",",,,I"
"RSM00027618","1962-02","54.933","37.467","166.0","SERPUHOV, RS","12",",I","2",",I","0",",I","19620215",",,I","11.6",",,I,15,","25.0",",,,I"
"RSM00027618","1962-03","54.933","37.467","166.0","SERPUHOV, RS","12",",I","2",",I","0",",I","19620308",",,I","17.8",",,I,08,","31.2",",,,I"
"RSM00027618","1962-04","54.933","37.467","166.0","SERPUHOV, RS","8",",I","1",",I","0",",I","19620401",",,I","4.6",",,I,01,","11.6",",,,I"
"RSM00027618","1962-05","54.933","37.467","166.0","SERPUHOV, RS","17",",I","10",",I","1",",I","19620513",",,I","47.0",",,I,13,","113.5",",,,I"
"RSM00027618","1962-06","54.933","37.467","166.0","SERPUHOV, RS","16",",I","9",",I","2",",I","19620603",",,I","36.5",",,I,03,","121.9",",,,I"
"RSM00027618","1962-07","54.933","37.467","166.0","SERPUHOV, RS","14",",I","7",",I","1",",I","19620707",",,I","30.7",",,I,07,","89.2",",,,I"
"RSM00027618","1962-08","54.933","37.467","166.0","SERPUHOV, RS","16",",I","11",",I","0",",I","19620821",",,I","18.4",",,I,21,","96.5",",,,I"
"RSM00027618","1962-09","54.933","37.467","166.0","SERPUHOV, RS","13",",I","8",",I","0",",I","19620903",",,I","8.7",",,I,03,","50.0",",,,I"
"RSM00027618","1962-10","54.933","37.467","166.0","SERPUHOV, RS","13",",I","4",",I","0",",I","19621019",",,I","14.2",",,I,19,","42.9",",,,I"
"RSM00027618","1962-11","54.933","37.467","166.0","SERPUHOV, RS","7",",I","5",",I","0",",I","19621117",",,I","16.1",",,I,17,","43.8",",,,I"
"RSM00027618","1962-12","54.933","37.467","166.0","SERPUHOV, RS","10",",I","3",",I","0",",I","19621228",",,I","6.8",",,I,28,","23.1",",,,I"
"RSM00027618","1963-01","54.933","37.467","166.0","SERPUHOV, RS","12",",I","2",",I","0",",I","19630129",",,I","5.1",",,I,29,","19.7",",,,I"
"RSM00027618","1963-02","54.933","37.467","166.0","SERPUHOV, RS","12",",I","5",",I","0",",I","19630218",",,I","7.3",",,I,18,","33.2",",,,I"
"RSM00027618","1963-03","54.933","37.467","166.0","SERPUHOV, RS","13",",I","5",",I","0",",I","19630313",",,I","6.1",",,I,13,","28.2",",,,I"
"RSM00027618","1963-04","54.933","37.467","166.0","SERPUHOV, RS","6",",I","3",",I","0",",I","19630404",",,I","7.0",",,I,04,","17.7",",,,I"
"RSM00027618","1963-05","54.933","37.467","166.0","SERPUHOV, RS","4",",I","0",",I","0",",I","19630502",",,I","1.5",",,I,02,","4.1",",,,I"
"RSM00027618","1963-06","54.933","37.467","166.0","SERPUHOV, RS","15",",I","7",",I","1",",I","19630618",",,I","26.3",",,I,18,","101.8",",,,I"
"RSM00027618","1963-07","54.933","37.467","166.0","SERPUHOV, RS","9",",I","4",",I","0",",I","19630701",",,I","18.1",",,I,01,","42.2",",,,I"
"RSM00027618","1963-08","54.933","37.467","166.0","SERPUHOV, RS","11",",I","6",",I","0",",I","19630820",",,I","23.2",",,I,20,","64.9",",,,I"
"RSM00027618","1963-09","54.933","37.467","166.0","SERPUHOV, RS","7",",I","4",",I","0",",I","19630908",",,I","13.9",",,I,08,","34.7",",,,I"
"RSM00027618","1963-10","54.933","37.467","166.0","SERPUHOV, RS","14",",I","4",",I","0",",I","19631029",",,I","6.9",",,I,29,","28.2",",,,I"
"RSM00027618","1963-11","54.933","37.467","166.0","SERPUHOV, RS","12",",I","6",",I","0",",I","19631117",",,I","18.9",",,I,17,","49.1",",,,I"
"RSM00027618","1963-12","54.933","37.467","166.0","SERPUHOV, RS","9",",I","1",",I","0",",I","19631221",",,I","4.0",",,I,21,","11.9",",,,I"
"RSM00027618","1964-01","54.933","37.467","166.0","SERPUHOV, RS","8",",I","0",",I","0",",I","19640101",",,I","1.8",",,I,01,","8.7",",,,I"
"RSM00027618","1964-02","54.933","37.467","166.0","SERPUHOV, RS","17",",I","4",",I","0",",I","19640207",",,I","8.6",",,I,07,","34.5",",,,I"
"RSM00027618","1964-03","54.933","37.467","166.0","SERPUHOV, RS","10",",I","2",",I","0",",I","19640327",",,I","15.3",",,I,27,","28.0",",,,I"
"RSM00027618","1964-04","54.933","37.467","166.0","SERPUHOV, RS","15",",I","5",",I","0",",I","19640405",",,I","19.4",",,I,05,","45.2",",,,I"
"RSM00027618","1964-05","54.933","37.467","166.0","SERPUHOV, RS","11",",I","5",",I","0",",I","19640521",",,I","16.8",",,I,21,","51.4",",,,I"
"RSM00027618","1964-06","54.933","37.467","166.0","SERPUHOV, RS","3",",I","3",",I","0",",I","19640603",",,I","14.9",",,I,03,","31.9",",,,I"
"RSM00027618","1964-07","54.933","37.467","166.0","SERPUHOV, RS","5",",I","3",",I","0",",I","19640731",",,I","7.6",",,I,31,","18.5",",,,I"
"RSM00027618","1964-08","54.933","37.467","166.0","SERPUHOV, RS","9",",I","5",",I","0",",I","19640809",",,I","15.9",",,I,09,","42.8",",,,I"
"RSM00027618","1964-09","54.933","37.467","166.0","SERPUHOV, RS","10",",I","4",",I","0",",I","19640910",",,I","6.6",",,I,10,","27.4",",,,I"
"RSM00027618","1964-10","54.933","37.467","166.0","SERPUHOV, RS","9",",I","3",",I","0",",I","19641011",",,I","5.5",",,I,11,","18.8",",,,I"
"RSM00027618","1964-11","54.933","37.467","166.0","SERPUHOV, RS","17",",I","7",",I","0",",I","19641130",",,I","6.6",",,I,30,","38.9",",,,I"
"RSM00027618","1964-12","54.933","37.467","166.0","SERPUHOV, RS","15",",I","9",",I","0",",I","19641227",",,I","13.4",",,I,27,","58.8",",,,I"
"RSM00027618","1965-01","54.933","37.467","166.0","SERPUHOV, RS","11",",I","5",",I","0",",I","19650106",",,I","16.0",",,I,06,","51.3",",,,I"
"RSM00027618","1965-02","54.933","37.467","166.0","SERPUHOV, RS","13",",I","0",",I","0",",I","19650228",",,I","1.6",",,I,28,","10.1",",,,I"
"RSM00027618","1965-03","54.933","37.467","166.0","SERPUHOV, RS","7",",I","1",",I","0",",I","19650304",",,I","3.6",",,I,04,","10.9",",,,I"
"RSM00027618","1965-04","54.933","37.467","166.0","SERPUHOV, RS","5",",I","2",",I","0",",I","19650429",",,I","19.3",",,I,29,","28.6",",,,I"
"RSM00027618","1965-05","54.933","37.467","166.0","SERPUHOV, RS","15",",I","9",",I","0",",I","19650530",",,I","8.3",",,I,30,","48.9",",,,I"
"RSM00027618","1965-06","54.933","37.467","166.0","SERPUHOV, RS","11",",I","8",",I","1",",I","19650603",",,I","26.9",",,I,03,","83.5",",,,I"
