"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00030635","1936-01","53.42","109.02","459.0","UST BARGUZIN, RS","","","","","2",",r","0",",r","0",",r","","","","","","","31",",r","0",",r","0",",r","","","","","19360115",",,r","19360110",",,r","","","","","0.4",",,r,15,","-14.5",",r,10,","","","","","2.3",",,,r","","","-22.68",",,,r","",""
"RSM00030635","1936-02","53.42","109.02","459.0","UST BARGUZIN, RS","","","","","5",",r","0",",r","0",",r","","","","","","","29",",r","0",",r","0",",r","","","","","19360206",",,r","19360212",",,r","","","","","2.2",",,r,06,","-8.3",",r,12,","","","","","7.1",",,,r","","","-17.08",",,,r","",""
"RSM00030635","1936-03","53.42","109.02","459.0","UST BARGUZIN, RS","","","0.0",",r","3",",r","1",",r","0",",r","","","25",",r","31",",r","28",",r","0",",r","0",",r","19360304",",,r","","","19360327",",,r","19360329",",,r","-35.9",",r,04,","","","4.2",",,r,27,","3.2",",r,29,","","","1102.2",",r","5.7",",,,r","-17.22",",r","-8.80",",,,r","-25.64",",,,r"
"RSM00030635","1936-04","53.42","109.02","459.0","UST BARGUZIN, RS","","","0.0",",r","4",",r","1",",r","0",",r","","","8",",r","30",",r","10",",r","0",",r","0",",r","19360401",",,r","","","19360417",",,r","19360403",",,r","-25.4",",r,01,","","","9.0",",,r,17,","9.1",",r,03,","","","747.0",",r","12.8",",,,r","-6.57",",r","0.16",",,,r","-13.29",",,,r"
"RSM00030635","1936-05","53.42","109.02","459.0","UST BARGUZIN, RS","","","0.0",",r","11",",r","8",",r","0",",r","","","0",",r","24",",r","0",",r","1",",r","0",",r","19360515",",,r","","","19360520","+,,r","19360519",",,r","-8.0",",r,15,","","","15.6",",,r,20,+","21.5",",r,19,","","","456.2",",r","77.2",",,,r","3.62",",r","9.33",",,,r","-2.10",",,,r"
"RSM00030635","1936-06","53.42","109.02","459.0","UST BARGUZIN, RS","","","0.0",",r","7",",r","5",",r","1",",r","","","0",",r","10",",r","0",",r","3",",r","0",",r","19360611",",,r","","","19360601",",,r","19360619",",,r","-3.5",",r,11,","","","26.6",",,r,01,","24.6",",r,19,","","","304.9",",r","44.1",",,,r","8.17",",r","14.36",",,,r","1.98",",,,r"
"RSM00030635","1936-07","53.42","109.02","459.0","UST BARGUZIN, RS","","","14.9",",r","8",",r","6",",r","0",",r","","","0",",r","0",",r","0",",r","13",",r","0",",r","19360701",",,r","","","19360706",",,r","19360731",",,r","0.3",",r,01,","","","20.5",",,r,06,","30.9",",r,31,","131.2","r","131.2",",r","65.4",",,,r","14.58",",r","20.38",",,,r","8.78",",,,r"
"RSM00030635","1936-08","53.42","109.02","459.0","UST BARGUZIN, RS","","","7.2",",r","9",",r","6",",r","0",",r","","","0",",r","1",",r","0",",r","6",",r","0",",r","19360822",",,r","","","19360828",",,r","19360803",",,r","-2.1",",r,22,","","","21.7",",,r,28,","29.4",",r,03,","321.1","r","189.9",",r","79.5",",,,r","12.44",",r","17.02",",,,r","7.85",",,,r"
"RSM00030635","1936-09","53.42","109.02","459.0","UST BARGUZIN, RS","","","0.0",",r","8",",r","5",",r","0",",r","","","0",",r","7",",r","0",",r","0",",r","0",",r","19360930",",,r","","","19360904",",,r","19360918",",,r","-3.9",",r,30,","","","14.3",",,r,04,","20.8",",r,18,","641.2","r","320.1",",r","39.3",",,,r","7.66",",r","12.62",",,,r","2.70",",,,r"
"RSM00030635","1936-10","53.42","109.02","459.0","UST BARGUZIN, RS","","","0.0",",r","10",",r","1",",r","0",",r","","","0",",r","24",",r","2",",r","0",",r","0",",r","19361016",",,r","","","19361020",",,r","19361007",",,r","-14.0",",r,16,","","","4.5",",,r,20,","14.1",",r,07,","1158.0","r","516.8",",r","11.7",",,,r","1.66",",r","5.63",",,,r","-2.30",",,,r"
