"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00030802","1936-01","51.683","100.983","1304.0","MONDY, RS","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19360110",",,I","","","","","","","1.2",",,I,10,","","","","","1.2",",,,I","","","","","",""
"RSM00030802","1936-02","51.683","100.983","1304.0","MONDY, RS","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360204",",,I","","","","","","","2.5",",,I,04,","","","","","5.6",",,,I","","","","","",""
"RSM00030802","1936-03","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19360320",",,I","","","","","","","1.0",",,I,20,","","","","","2.2",",,,I","","","","","",""
"RSM00030802","1936-04","51.683","100.983","1304.0","MONDY, RS","","","6",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19360427","+,,I","","","","","","","1.2",",,I,27,+","","","","","5.2",",,,I","","","","","",""
"RSM00030802","1936-05","51.683","100.983","1304.0","MONDY, RS","","","7",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19360519",",,I","","","","","","","8.6",",,I,19,","","","","","21.3",",,,I","","","","","",""
"RSM00030802","1936-06","51.683","100.983","1304.0","MONDY, RS","","","11",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19360606",",,I","","","","","","","10.6",",,I,06,","","","","","30.9",",,,I","","","","","",""
"RSM00030802","1936-07","51.683","100.983","1304.0","MONDY, RS","","","14",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19360705",",,I","","","","","","","20.8",",,I,05,","","","","","69.3",",,,I","","","","","",""
"RSM00030802","1936-08","51.683","100.983","1304.0","MONDY, RS","","","17",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19360827",",,I","","","","","","","20.4",",,I,27,","","","","","59.3",",,,I","","","","","",""
"RSM00030802","1936-09","51.683","100.983","1304.0","MONDY, RS","","","6",",I","4",",I","1",",I","","","","","","","","","","","","","","","","","19360905",",,I","","","","","","","26.6",",,I,05,","","","","","40.2",",,,I","","","","","",""
"RSM00030802","1936-10","51.683","100.983","1304.0","MONDY, RS","","","3",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19361012",",,I","","","","","","","4.1",",,I,12,","","","","","7.5",",,,I","","","","","",""
"RSM00030802","1936-11","51.683","100.983","1304.0","MONDY, RS","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19361124",",,I","","","","","","","5.4",",,I,24,","","","","","10.4",",,,I","","","","","",""
"RSM00030802","1936-12","51.683","100.983","1304.0","MONDY, RS","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19361231","+,,I","","","","","","","0.0",",,I,31,+","","","","","0.0",",,,I","","","","","",""
"RSM00030802","1937-01","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370103",",,I","","","","","","","0.7",",,I,03,","","","","","1.4",",,,I","","","","","",""
"RSM00030802","1937-02","51.683","100.983","1304.0","MONDY, RS","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370221",",,I","","","","","","","1.2",",,I,21,","","","","","1.7",",,,I","","","","","",""
"RSM00030802","1937-03","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370317",",,I","","","","","","","1.2",",,I,17,","","","","","3.1",",,,I","","","","","",""
"RSM00030802","1937-04","51.683","100.983","1304.0","MONDY, RS","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19370429",",,I","","","","","","","2.5",",,I,29,","","","","","5.3",",,,I","","","","","",""
"RSM00030802","1937-05","51.683","100.983","1304.0","MONDY, RS","","","2",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19370521",",,I","","","","","","","8.2",",,I,21,","","","","","15.6",",,,I","","","","","",""
"RSM00030802","1937-06","51.683","100.983","1304.0","MONDY, RS","","","19",",I","11",",I","0",",I","","","","","","","","","","","","","","","","","19370618",",,I","","","","","","","21.2",",,I,18,","","","","","113.2",",,,I","","","","","",""
"RSM00030802","1937-07","51.683","100.983","1304.0","MONDY, RS","","","20",",I","9",",I","1",",I","","","","","","","","","","","","","","","","","19370724",",,I","","","","","","","40.4",",,I,24,","","","","","118.4",",,,I","","","","","",""
"RSM00030802","1937-08","51.683","100.983","1304.0","MONDY, RS","","","15",",I","9",",I","1",",I","","","","","","","","","","","","","","","","","19370809",",,I","","","","","","","26.4",",,I,09,","","","","","92.6",",,,I","","","","","",""
