"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00034344","1959-07","49.8","41.15","72.0","KAZANSKAJA, RS","6",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19590711",",,I","","","","","","","14.2",",,I,11,","","","39.0",",,,I","","","",""
"RSM00034344","1959-08","49.8","41.15","72.0","KAZANSKAJA, RS","3",",I","3",",I","1",",I","","","","","","","","","","","","","","","","","19590805",",,I","","","","","","","30.0",",,I,05,","","","37.4",",,,I","","","",""
"RSM00034344","1959-09","49.8","41.15","72.0","KAZANSKAJA, RS","10","1,I","7","1,I","1","1,I","","","","","","","","","","","","","","","","","19590906",",1,I","","","","","","","33.2","1,,I,06,","","","114.6","1,,,I","","","",""
"RSM00034344","1959-10","49.8","41.15","72.0","KAZANSKAJA, RS","11","1,I","4","1,I","0","1,I","","","","","","","","","","","","","","","","","19591010",",1,I","","","","","","","3.8","1,,I,10,","","","22.1","1,,,I","","","",""
"RSM00034344","1959-11","49.8","41.15","72.0","KAZANSKAJA, RS","4","1,I","1","1,I","0","1,I","","","","","","","","","","","","","","","","","19591125",",1,I","","","","","","","4.0","1,,I,25,","","","5.9","1,,,I","","","",""
"RSM00034344","1959-12","49.8","41.15","72.0","KAZANSKAJA, RS","12","3,I","6","3,I","0","3,I","","","","","","","","","","","","","","","","","19591217",",3,I","","","","","","","12.2","3,,I,17,","","","45.6","3,,,I","","","",""
"RSM00034344","1960-01","49.8","41.15","72.0","KAZANSKAJA, RS","19",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19600128","+,,I","","","","","","","6.2",",,I,28,+","","","35.8",",,,I","","","",""
"RSM00034344","1960-02","49.8","41.15","72.0","KAZANSKAJA, RS","14",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19600201",",,I","","","","","","","11.7",",,I,01,","","","40.7",",,,I","","","",""
"RSM00034344","1960-03","49.8","41.15","72.0","KAZANSKAJA, RS","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19600301",",,I","","","","","","","5.4",",,I,01,","","","7.2",",,,I","","","",""
"RSM00034344","1960-04","49.8","41.15","72.0","KAZANSKAJA, RS","9",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","19600428",",,I","","","","","","","14.2",",,I,28,","","","76.7",",,,I","","","",""
