"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SF003247250","1915-06","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","3",",I","1",",I","0",",I","19150630",",,I","5.1",",,I,30,","9.2",",,,I"
"SF003247250","1915-07","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","3",",I","3",",I","0",",I","19150711",",,I","12.7",",,I,11,","23.1",",,,I"
"SF003247250","1915-08","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","0",",I","0",",I","0",",I","19150831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"SF003247250","1915-09","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","1",",I","1",",I","0",",I","19150929",",,I","4.1",",,I,29,","4.1",",,,I"
"SF003247250","1915-10","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","4",",I","4",",I","0",",I","19151029",",,I","6.1",",,I,29,","16.2",",,,I"
"SF003247250","1915-11","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","1",",I","1",",I","1",",I","19151110",",,I","43.9",",,I,10,","43.9",",,,I"
"SF003247250","1915-12","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","4",",I","2",",I","0",",I","19151227",",,I","7.6",",,I,27,","14.8",",,,I"
"SF003247250","1916-01","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","2",",I","2",",I","1",",I","19160105",",,I","25.7",",,I,05,","40.7",",,,I"
"SF003247250","1916-02","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","0",",I","0",",I","0",",I","19160229","+,,I","0.0",",,I,29,+","0.0",",,,I"
"SF003247250","1916-03","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","5",",I","5",",I","0",",I","19160302",",,I","18.3",",,I,02,","63.7",",,,I"
"SF003247250","1916-04","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","1",",I","1",",I","0",",I","19160401",",,I","6.4",",,I,01,","6.4",",,,I"
"SF003247250","1916-05","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","0",",I","0",",I","0",",I","19160531","+,,I","0.0",",,I,31,+","0.0",",,,I"
"SF003247250","1916-06","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","0",",I","0",",I","0",",I","19160630","+,,I","0.0",",,I,30,+","0.0",",,,I"
"SF003247250","1916-07","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","1",",I","0",",I","0",",I","19160707",",,I","2.3",",,I,07,","2.3",",,,I"
"SF003247250","1916-09","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","0",",I","0",",I","0",",I","19160930","+,,I","0.0",",,I,30,+","0.0",",,,I"
"SF003247250","1916-10","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","4",",I","4",",I","0",",I","19161019",",,I","13.2",",,I,19,","37.9",",,,I"
"SF003247250","1916-11","-28.12","24.92","1187.0","NAZARETH HOUSE FARM, SF","2",",I","2",",I","0",",I","19161111",",,I","10.7",",,I,11,","17.8",",,,I"
