"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00137680","1952-02","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","12",",E","4",",E","0",",E","","","","","","","","","","","","","19520213",",,E","","","","","6.9",",,E,13,","","","","","","","29.0",",,,E","","","","","",""
"SWE00137680","1952-03","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","8",",E","3",",E","0",",E","","","","","","","","","","","","","19520303",",,E","","","","","5.9",",,E,03,","","","","","","","17.6",",,,E","","","","","",""
"SWE00137680","1952-04","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","7",",E","2",",E","0",",E","","","","","","","","","","","","","19520401",",,E","","","","","6.7",",,E,01,","","","","","","","19.9",",,,E","","","","","",""
"SWE00137680","1952-05","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","19",",E","6",",E","0",",E","","","","","","","","","","","","","19520513",",,E","","","","","13.0",",,E,13,","","","","","","","46.1",",,,E","","","","","",""
"SWE00137680","1952-06","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","12",",E","5",",E","0",",E","","","","","","","","","","","","","19520622",",,E","","","","","17.0",",,E,22,","","","","","","","51.3",",,,E","","","","","",""
"SWE00137680","1952-07","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","12",",E","4",",E","0",",E","","","","","","","","","","","","","19520720",",,E","","","","","10.0",",,E,20,","","","","","","","33.0",",,,E","","","","","",""
"SWE00137680","1952-08","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","12",",E","6",",E","0",",E","","","","","","","","","","","","","19520810",",,E","","","","","10.8",",,E,10,","","","","","","","42.8",",,,E","","","","","",""
"SWE00137680","1952-09","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","10","2,E","7","2,E","0","2,E","","","","","","","","","","","","","19520921",",2,E","","","","","12.5","2,,E,21,","","","","","","","40.4","2,,,E","","","","","",""
"SWE00137680","1952-10","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","19",",E","9",",E","0",",E","","","","","","","","","","","","","19521002",",,E","","","","","19.0",",,E,02,","","","","","","","93.8",",,,E","","","","","",""
"SWE00137680","1952-11","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","17",",E","11",",E","0",",E","","","","","","","","","","","","","19521112",",,E","","","","","16.0",",,E,12,","","","","","","","76.0",",,,E","","","","","",""
"SWE00137680","1952-12","56.15","15.59","2.0","KARLSKRONA SODERSTJ., SW","","","","","15",",E","8",",E","0",",E","","","","","","","","","","","","","19521213",",,E","","","","","10.3",",,E,13,","","","","","","","51.5",",,,E","","","","","",""
