"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00138960","2010-06","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","5",",E","1",",E","0",",E","20100611",",,E","11.9",",,E,11,","16.1",",,,E"
"SWE00138960","2010-07","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","3",",E","2",",E","0",",E","20100724",",,E","15.0",",,E,24,","23.8",",,,E"
"SWE00138960","2010-08","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","15",",E","8",",E","0",",E","20100807",",,E","23.8",",,E,07,","79.0",",,,E"
"SWE00138960","2010-09","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","12",",E","5",",E","0",",E","20100915",",,E","7.5",",,E,15,","34.4",",,,E"
"SWE00138960","2010-10","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","12",",E","6",",E","0",",E","20101024",",,E","14.9",",,E,24,","43.9",",,,E"
"SWE00138960","2010-11","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","15",",E","4",",E","0",",E","20101109",",,E","13.8",",,E,09,","41.2",",,,E"
"SWE00138960","2010-12","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","17",",E","5",",E","0",",E","20101206",",,E","6.0",",,E,06,","34.3",",,,E"
"SWE00138960","2011-01","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","13",",E","4",",E","0",",E","20110112",",,E","5.2",",,E,12,","24.0",",,,E"
"SWE00138960","2011-02","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","11",",E","3",",E","0",",E","20110210",",,E","20.0",",,E,10,","31.6",",,,E"
"SWE00138960","2011-03","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","5",",E","0",",E","0",",E","20110310",",,E","1.5",",,E,10,","4.6",",,,E"
"SWE00138960","2011-04","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","5",",E","2",",E","0",",E","20110408",",,E","3.6",",,E,08,","12.1",",,,E"
"SWE00138960","2011-05","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","7",",E","4",",E","0",",E","20110513",",,E","6.6",",,E,13,","20.6",",,,E"
"SWE00138960","2011-06","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","12",",E","6",",E","0",",E","20110612",",,E","17.0",",,E,12,","48.6",",,,E"
"SWE00138960","2011-07","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","9",",E","2",",E","0",",E","20110721",",,E","9.6",",,E,21,","22.1",",,,E"
"SWE00138960","2011-08","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","11",",E","3",",E","1",",E","20110810",",,E","40.6",",,E,10,","72.4",",,,E"
"SWE00138960","2011-09","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","9",",E","6",",E","0",",E","20110905",",,E","14.4",",,E,05,","60.9",",,,E"
"SWE00138960","2011-10","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","12",",E","5",",E","0",",E","20111018","+,,E","4.0",",,E,18,+","25.5",",,,E"
"SWE00138960","2011-11","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","5",",E","1",",E","0",",E","20111127",",,E","4.9",",,E,27,","10.2",",,,E"
"SWE00138960","2011-12","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","16",",E","8",",E","0",",E","20111209",",,E","9.8",",,E,09,","54.8",",,,E"
"SWE00138960","2012-01","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","15",",E","7",",E","0",",E","20120112",",,E","7.7",",,E,12,","39.8",",,,E"
"SWE00138960","2012-02","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","15",",E","3",",E","0",",E","20120222",",,E","10.7",",,E,22,","30.5",",,,E"
"SWE00138960","2012-03","59.44","19.51","12.0","SVENSKA HOGARNA A, SW","5",",E","2",",E","0",",E","20120328",",,E","4.0",",,E,28,","10.1",",,,E"
