"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00140066","1969-11","63.42","15.83","380.0","BORGVATTNET, SW","20",",E","6",",E","0",",E","30",",","19691114","+,,E","19691110",",,E","330",",,E,14,+","14.0",",,E,10,","54.9",",,,E"
"SWE00140066","1969-12","63.42","15.83","380.0","BORGVATTNET, SW","8",",E","3",",E","0",",E","31",",","19691228","+,,E","19691202",",,E","470",",,E,28,+","6.8",",,E,02,","20.5",",,,E"
"SWE00140066","1970-01","63.42","15.83","380.0","BORGVATTNET, SW","12",",E","4",",E","0",",E","31",",","19700123","+,,E","19700102",",,E","600",",,E,23,+","9.2",",,E,02,","32.0",",,,E"
"SWE00140066","1970-02","63.42","15.83","380.0","BORGVATTNET, SW","12",",E","3",",E","0",",E","28",",","19700228","+,,E","19700208",",,E","640",",,E,28,+","4.3",",,E,08,","23.1",",,,E"
"SWE00140066","1970-03","63.42","15.83","380.0","BORGVATTNET, SW","15",",E","8",",E","0",",E","31",",","19700331","+,,E","19700326",",,E","850",",,E,31,+","7.9",",,E,26,","51.8",",,,E"
"SWE00140066","1970-04","63.42","15.83","380.0","BORGVATTNET, SW","11",",E","6",",E","0",",E","30",",","19700411","+,,E","19700419",",,E","900",",,E,11,+","10.2",",,E,19,","44.7",",,,E"
"SWE00140066","1970-05","63.42","15.83","380.0","BORGVATTNET, SW","5",",E","4",",E","0",",E","","","","","19700529",",,E","","","9.2",",,E,29,","25.9",",,,E"
"SWE00140066","1970-06","63.42","15.83","380.0","BORGVATTNET, SW","4",",E","2",",E","0",",E","","","","","19700601",",,E","","","9.9",",,E,01,","17.0",",,,E"
"SWE00140066","1970-07","63.42","15.83","380.0","BORGVATTNET, SW","18",",E","13",",E","1",",E","","","","","19700722",",,E","","","41.3",",,E,22,","134.2",",,,E"
"SWE00140066","1970-08","63.42","15.83","380.0","BORGVATTNET, SW","5",",E","2",",E","0",",E","","","","","19700831",",,E","","","4.5",",,E,31,","11.5",",,,E"
"SWE00140066","1970-09","63.42","15.83","380.0","BORGVATTNET, SW","13",",E","9",",E","0",",E","","","","","19700903",",,E","","","18.0",",,E,03,","90.4",",,,E"
"SWE00140066","1970-10","63.42","15.83","380.0","BORGVATTNET, SW","17",",E","10",",E","1",",E","","","","","19701019",",,E","","","25.5",",,E,19,","99.8",",,,E"
"SWE00140066","1970-11","63.42","15.83","380.0","BORGVATTNET, SW","15",",E","9",",E","0",",E","30",",","19701118","+,,E","19701104",",,E","430",",,E,18,+","20.5",",,E,04,","94.3",",,,E"
"SWE00140066","1970-12","63.42","15.83","380.0","BORGVATTNET, SW","12",",E","2",",E","0",",E","","","","","19701207",",,E","","","3.7",",,E,07,","19.2",",,,E"
"SWE00140066","1971-01","63.42","15.83","380.0","BORGVATTNET, SW","12",",E","6",",E","0",",E","20",",","19710131","+,,E","19710124",",,E","200",",,E,31,+","8.2",",,E,24,","44.9",",,,E"
"SWE00140066","1971-02","63.42","15.83","380.0","BORGVATTNET, SW","12",",E","4",",E","0",",E","24","4,","19710224",",4,E","19710207",",,E","320","4,,E,24,","9.0",",,E,07,","38.0",",,,E"
"SWE00140066","1971-03","63.42","15.83","380.0","BORGVATTNET, SW","14","1,E","8","1,E","0","1,E","29","2,","19710329","+,2,E","19710315",",1,E","500","2,,E,29,+","8.1","1,,E,15,","42.8","1,,,E"
"SWE00140066","1971-04","63.42","15.83","380.0","BORGVATTNET, SW","10",",E","6",",E","0",",E","30",",","19710401",",,E","19710417",",,E","460",",,E,01,","7.5",",,E,17,","34.4",",,,E"
"SWE00140066","1971-05","63.42","15.83","380.0","BORGVATTNET, SW","10",",E","6",",E","0",",E","","","","","19710520",",,E","","","8.9",",,E,20,","36.4",",,,E"
"SWE00140066","1971-06","63.42","15.83","380.0","BORGVATTNET, SW","12",",E","7",",E","0",",E","","","","","19710616",",,E","","","10.3",",,E,16,","37.4",",,,E"
