"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWM00002584","1879-11","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","20",",E","10",",E","0",",E","","","","","","","","","","","","","","","","","18791130",",,E","","","","","","","8.0",",,E,30,","","","","","","","57.5",",,,E","","","","","",""
"SWM00002584","1879-12","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","6",",E","4",",E","0",",E","","","","","","","","","","","","","","","","","18791203",",,E","","","","","","","9.3",",,E,03,","","","","","","","24.2",",,,E","","","","","",""
"SWM00002584","1880-01","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","13",",E","0",",E","0",",E","","","","","","","","","","","","","","","","","18800120",",,E","","","","","","","2.2",",,E,20,","","","","","","","17.1",",,,E","","","","","",""
"SWM00002584","1880-02","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","10",",E","5",",E","0",",E","","","","","","","","","","","","","","","","","18800219",",,E","","","","","","","8.4",",,E,19,","","","","","","","25.5",",,,E","","","","","",""
"SWM00002584","1880-03","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","6",",E","2",",E","0",",E","","","","","","","","","","","","","","","","","18800303",",,E","","","","","","","5.6",",,E,03,","","","","","","","11.8",",,,E","","","","","",""
"SWM00002584","1880-04","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","11",",E","5",",E","0",",E","","","","","","","","","","","","","","","","","18800418",",,E","","","","","","","3.8",",,E,18,","","","","","","","22.9",",,,E","","","","","",""
"SWM00002584","1880-05","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","7",",E","4",",E","0",",E","","","","","","","","","","","","","","","","","18800524",",,E","","","","","","","6.7",",,E,24,","","","","","","","19.1",",,,E","","","","","",""
"SWM00002584","1880-06","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","7",",E","6",",E","0",",E","","","","","","","","","","","","","","","","","18800606",",,E","","","","","","","11.7",",,E,06,","","","","","","","37.4",",,,E","","","","","",""
"SWM00002584","1880-07","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","8",",E","4",",E","0",",E","","","","","","","","","","","","","","","","","18800720",",,E","","","","","","","13.9",",,E,20,","","","","","","","37.2",",,,E","","","","","",""
"SWM00002584","1880-08","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","4",",E","2",",E","0",",E","","","","","","","","","","","","","","","","","18800805",",,E","","","","","","","17.0",",,E,05,","","","","","","","24.9",",,,E","","","","","",""
"SWM00002584","1880-09","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","8",",E","3",",E","0",",E","","","","","","","","","","","","","","","","","18800920",",,E","","","","","","","9.4",",,E,20,","","","","","","","23.2",",,,E","","","","","",""
"SWM00002584","1880-10","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","13",",E","8",",E","0",",E","","","","","","","","","","","","","","","","","18801002",",,E","","","","","","","21.8",",,E,02,","","","","","","","69.6",",,,E","","","","","",""
"SWM00002584","1880-11","58.4","19.2","11.0","GOTSKA SANDON, SW","","","","","16",",E","11",",E","0",",E","","","","","","","","","","","","","","","","","18801122",",,E","","","","","","","12.8",",,E,22,","","","","","","","69.1",",,,E","","","","","",""
