"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TI000038725","1936-02","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19360229","+,,I","","","","","","","1.0",",,I,29,+","","","","","","","2.5",",,,I","","","","","",""
"TI000038725","1936-03","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","7","1,I","1","1,I","0","1,I","","","","","","","","","","","","","","","","","19360314",",1,I","","","","","","","5.5","1,,I,14,","","","","","","","10.4","1,,,I","","","","","",""
"TI000038725","1936-05","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","6","3,I","3","3,I","0","3,I","","","","","","","","","","","","","","","","","19360520",",3,I","","","","","","","7.3","3,,I,20,","","","","","","","20.2","3,,,I","","","","","",""
"TI000038725","1936-06","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","9","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19360604",",1,I","","","","","","","9.6","1,,I,04,","","","","","","","34.4","1,,,I","","","","","",""
"TI000038725","1936-07","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","10",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19360718",",,I","","","","","","","8.3",",,I,18,","","","","","","","33.7",",,,I","","","","","",""
"TI000038725","1936-08","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","1","1,I","1","1,I","0","1,I","","","","","","","","","","","","","","","","","19360825",",1,I","","","","","","","5.9","1,,I,25,","","","","","","","5.9","1,,,I","","","","","",""
"TI000038725","1936-09","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","1",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19360908",",,I","","","","","","","5.2",",,I,08,","","","","","","","5.2",",,,I","","","","","",""
"TI000038725","1936-10","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","4","2,I","3","2,I","0","2,I","","","","","","","","","","","","","","","","","19361031",",2,I","","","","","","","4.0","2,,I,31,","","","","","","","11.1","2,,,I","","","","","",""
"TI000038725","1936-11","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","3","2,I","1","2,I","0","2,I","","","","","","","","","","","","","","","","","19361101",",2,I","","","","","","","2.6","2,,I,01,","","","","","","","4.1","2,,,I","","","","","",""
"TI000038725","1936-12","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","5","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19361212",",1,I","","","","","","","5.1","1,,I,12,","","","","","","","14.1","1,,,I","","","","","",""
"TI000038725","1937-01","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370118",",,I","","","","","","","1.5",",,I,18,","","","","","","","3.4",",,,I","","","","","",""
"TI000038725","1937-02","39.4","69.7","2236.0","MADRUSKAT, TI","","","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19370220",",,I","","","","","","","0.5",",,I,20,","","","","","","","1.0",",,,I","","","","","",""
