"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105878","1961-08","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","","","24",",E","17",",E","1",",E","0","1,E","0","1,E","","","","","","","19610825","+,1,E","19610803",",,E","","","5.6","1,E,25,+","26.4",",,E,03,","","","","","","","153.7",",,,E","","","","","9.32","1,,,E"
"UKE00105878","1961-09","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","0.0",",E","23",",E","16",",E","1",",E","0",",E","0",",E","0",",E","0",",E","0",",E","19610918",",,E","19610915",",,E","19610901",",,E","5.0",",E,18,","34.5",",,E,15,","19.4",",E,01,","","","178.3",",E","119.8",",,,E","12.39",",E","16.19",",,,E","8.59",",,,E"
"UKE00105878","1961-10","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","0.0",",E","26",",E","14",",E","2",",E","0",",E","0",",E","0",",E","0",",E","0",",E","19611004",",,E","19611022",",,E","19611012",",,E","1.1",",E,04,","39.4",",,E,22,","16.7",",E,12,","","","292.8",",E","159.9",",,,E","8.89",",E","12.07",",,,E","5.71",",,,E"
"UKE00105878","1961-11","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","0.0","1,E","19",",E","11",",E","1",",E","0","1,E","2","1,E","0",",E","0",",E","0",",E","19611128","+,1,E","19611129",",,E","19611104",",,E","-0.6","1,E,28,+","27.9",",,E,29,","11.1",",E,04,","","","367.0",",E","106.1",",,,E","5.65","1,E","8.16",",,,E","3.15","1,,,E"
"UKE00105878","1961-12","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","","","0.0","4,E","14",",E","12",",E","0",",E","0","3,E","20","3,E","1","3,E","0","3,E","0","3,E","19611231",",3,E","19611204",",,E","19611210",",3,E","-7.8","3,E,31,","24.1",",,E,04,","12.2","3,E,10,","","","438.9","3,E","107.9",",,,E","2.15","4,E","5.70","3,,,E","-1.39","3,,,E"
"UKE00105878","1962-01","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","0.0","E","0.0",",E","","","","","","","0",",E","13",",E","0",",E","0",",E","0",",E","19620103",",,E","","","19620130","+,,E","-3.9",",E,03,","","","10.0",",E,30,+","","","447.7",",E","","","3.89",",E","7.08",",,,E","0.70",",,,E"
"UKE00105878","1962-02","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","0.0","E","0.0","1,E","","","","","","","0","1,E","9","1,E","0","1,E","0","1,E","0","1,E","19620214",",1,E","","","19620219",",1,E","-1.7","1,E,14,","","","11.7","1,E,19,","","","367.3","1,E","","","4.73","1,E","7.48","1,,,E","1.97","1,,,E"
"UKE00105878","1962-03","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","0.0","E","0.0","1,E","","","","","","","0","1,E","21","1,E","0","1,E","0","1,E","0","1,E","19620306",",1,E","","","19620319",",1,E","-7.2","1,E,06,","","","11.1","1,E,19,","","","462.5","1,E","","","2.92","1,E","6.68","1,,,E","-0.85","1,,,E"
"UKE00105878","1962-04","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","0.0","E","0.0",",E","","","","","","","0",",E","7",",E","0",",E","0",",E","0",",E","19620416",",,E","","","19620429",",,E","-1.7",",E,16,","","","18.9",",E,29,","","","335.9",",E","","","7.14",",E","12.00",",,,E","2.27",",,,E"
"UKE00105878","1962-05","54.4389","-7.9031","126.0","LOUGH NAVAR FOREST, UK","0.0","E","0.0",",E","","","","","","","0",",E","0",",E","0",",E","0",",E","0",",E","19620531",",,E","","","19620501",",,E","0.6",",E,31,","","","18.9",",E,01,","","","286.1",",E","","","9.10",",E","13.37",",,,E","4.84",",,,E"
