"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105886","1960-01","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0","4,E","16",",E","9",",E","0",",E","5",",","0","3,E","14","3,E","0","3,E","0","3,E","0","3,E","19600121",",3,E","19600120",",,E","19600119","+,,E","19600122","+,3,E","-6.7","3,E,21,","120",",,E,20,","20.0",",,E,19,+","11.7","3,E,22,+","","","418.4","3,E","107.3",",,,E","2.94","4,E","6.12","3,,,E","-0.24","3,,,E"
"UKE00105886","1960-02","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","15",",E","8",",E","0",",E","7",",","0",",E","19",",E","1",",E","0",",E","0",",E","19600219","+,,E","19600220","+,,E","19600226",",,E","19600228",",,E","-6.1",",E,19,+","80",",,E,20,+","12.2",",,E,26,","12.2",",E,28,","","","458.5",",E","57.1",",,,E","2.52",",E","6.02",",,,E","-0.97",",,,E"
"UKE00105886","1960-03","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0","1,E","13",",E","8",",E","0",",E","0",",","0",",E","4",",E","0","1,E","0","1,E","0","1,E","19600309",",,E","19600309",",,E","19600319",",,E","19600304",",1,E","-2.2",",E,09,","10",",,E,09,","6.8",",,E,19,","12.8","1,E,04,","","","399.1","1,E","42.3",",,,E","5.04","1,E","7.12","1,,,E","2.97",",,,E"
"UKE00105886","1960-04","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","15",",E","9",",E","0",",E","0",",","0",",E","2",",E","0",",E","0",",E","0",",E","19600417",",,E","19600430","+,,E","19600402",",,E","19600429","+,,E","-1.7",",E,17,","0",",,E,30,+","9.7",",,E,02,","16.1",",E,29,+","","","284.9",",E","50.9",",,,E","8.84",",E","12.82",",,,E","4.85",",,,E"
"UKE00105886","1960-05","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","8",",E","2",",E","1",",E","0",",","0",",E","1",",E","0",",E","1",",E","0",",E","19600502",",,E","19600531","+,,E","19600513",",,E","19600525",",,E","-1.1",",E,02,","0",",,E,31,+","34.8",",,E,13,","21.1",",E,25,","","","218.5",",E","44.6",",,,E","11.28",",E","15.98",",,,E","6.58",",,,E"
"UKE00105886","1960-06","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","12",",E","5",",E","0",",E","0",",","0",",E","0",",E","0",",E","4",",E","0",",E","19600628",",,E","19600630","+,,E","19600607",",,E","19600619",",,E","6.1",",E,28,","0",",,E,30,+","11.2",",,E,07,","25.0",",E,19,","","","124.8",",E","37.0",",,,E","14.17",",E","18.38",",,,E","9.97",",,,E"
"UKE00105886","1960-07","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","21",",E","10",",E","0",",E","0",",","0",",E","0",",E","0",",E","2",",E","0",",E","19600701",",,E","19600731","+,,E","19600705",",,E","19600723",",,E","4.4",",E,01,","0",",,E,31,+","16.3",",,E,05,","22.2",",E,23,","141.3","E","141.3",",E","79.3",",,,E","13.78",",E","17.78",",,,E","9.77",",,,E"
"UKE00105886","1960-08","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","22",",E","8",",E","1",",E","0",",","0",",E","0",",E","0",",E","3",",E","0",",E","19600814","+,,E","19600831","+,,E","19600817",",,E","19600805",",,E","5.0",",E,14,+","0",",,E,31,+","26.8",",,E,17,","22.8",",E,05,","277.6","E","136.3",",E","109.7",",,,E","13.94",",E","17.75",",,,E","10.12",",,,E"
"UKE00105886","1960-09","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","13",",E","6",",E","0",",E","0",",","0",",E","0",",E","0",",E","0",",E","0",",E","19600921","+,,E","19600930","+,,E","19600914",",,E","19600909",",,E","3.9",",E,21,+","0",",,E,30,+","9.9",",,E,14,","20.6",",E,09,","458.6","E","181.0",",E","39.4",",,,E","12.30",",E","15.92",",,,E","8.68",",,,E"
"UKE00105886","1960-10","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","26",",E","12",",E","0",",E","0",",","0",",E","0",",E","0",",E","0",",E","0",",E","19601017",",,E","19601031","+,,E","19601023",",,E","19601003",",,E","0.6",",E,17,","0",",,E,31,+","23.1",",,E,23,","16.7",",E,03,","727.5","E","268.9",",E","126.1",",,,E","9.66",",E","12.03",",,,E","7.29",",,,E"
"UKE00105886","1960-11","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","18",",E","10",",E","1",",E","0",",","0",",E","12",",E","0",",E","0",",E","0",",E","19601118",",,E","19601130","+,,E","19601101",",,E","19601129",",,E","-3.9",",E,18,","0",",,E,30,+","27.4",",,E,01,","13.3",",E,29,","1124.2","E","396.7",",E","84.9",",,,E","5.11",",E","8.66",",,,E","1.56",",,,E"
"UKE00105886","1960-12","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0","3,E","17",",E","6",",E","0",",E","0",",","0","2,E","20","2,E","0","2,E","0","2,E","0","2,E","19601215",",2,E","19601231","+,,E","19601209",",,E","19601216",",2,E","-4.4","2,E,15,","0",",,E,31,+","15.3",",,E,09,","11.1","2,E,16,","1568.8","E","444.6","2,E","54.7",",,,E","2.44","3,E","5.64","2,,,E","-0.77","2,,,E"
"UKE00105886","1961-01","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","19",",E","9",",E","0",",E","0",",","0",",E","15",",E","0",",E","0",",E","0",",E","19610116",",,E","19610109","+,,E","19610103",",,E","19610111",",,E","-6.8",",E,16,","10",",,E,09,+","9.3",",,E,03,","10.4",",E,11,","2055.1","E","486.3",",E","67.4",",,,E","2.65",",E","5.55",",,,E","-0.26",",,,E"
"UKE00105886","1961-02","56.3767","-2.8617","10.0","LEUCHARS, UK","0.0","E","0.0",",E","14",",E","8",",E","0",",E","2",",","0",",E","7",",E","0",",E","0",",E","0",",E","19610205",",,E","19610204",",,E","19610212",",,E","19610218",",,E","-3.8",",E,05,","70",",,E,04,","6.0",",,E,12,","12.8",",E,18,","2405.9","E","350.8",",E","41.6",",,,E","5.81",",E","9.14",",,,E","2.47",",,,E"
