"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10box_024","2014-04","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","8",",N","6",",N","1",",N","","","","","20140428",",,N","","","31.0",",,N,28,","67.5",",,,N","",""
"US10box_024","2014-05","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","10",",N","5",",N","2",",N","","","","","20140508",",,N","","","34.3",",,N,08,","87.5",",,,N","",""
"US10box_024","2014-06","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","13",",N","7",",N","1",",N","0","4,N","20140630","+,4,N","20140601",",,N","0","4,,N,30,+","37.1",",,N,01,","99.9",",,,N","0","4,,,N"
"US10box_024","2014-07","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","5","3,N","2","3,N","0","3,N","","","","","20140712",",3,N","","","5.3","3,,N,12,","14.2","3,,,N","",""
"US10box_024","2014-08","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","10","3,N","5","3,N","0","3,N","0","5,N","20140831","+,5,N","20140808",",3,N","0","5,,N,31,+","21.6","3,,N,08,","63.3","3,,,N","0","5,,,N"
"US10box_024","2014-09","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","8",",N","5",",N","1",",N","0","5,N","20140912",",5,N","20140930",",,N","13","5,,N,12,","75.2",",,N,30,","109.8",",,,N","13","5,,,N"
"US10box_024","2014-10","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","7",",N","2",",N","0",",N","","","","","20141027",",,N","","","3.0",",,N,27,","14.2",",,,N","",""
"US10box_024","2014-11","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","6",",N","2",",N","0",",N","","","","","20141104",",,N","","","15.5",",,N,04,","23.7",",,,N","",""
"US10box_024","2014-12","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","5",",N","2",",N","0",",N","","","","","20141215",",,N","","","11.4",",,N,15,","20.0",",,,N","",""
"US10box_024","2015-01","42.326258","-102.993436",,"HEMINGFORD 4.2 E, NE US","3",",N","1",",N","0",",N","","","","","20150131",",,N","","","14.0",",,N,31,","15.8",",,,N","",""
