"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10chey049","2011-02","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20110228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10chey049","2011-03","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0","2,N","0","2,N","0","2,N","20110331","+,2,N","0.0","2,,N,31,+","0.0","2,,,N"
"US10chey049","2011-04","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","11",",N","5",",N","0",",N","20110415",",,N","17.0",",,N,15,","60.0",",,,N"
"US10chey049","2011-05","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","14",",N","10",",N","0",",N","20110519",",,N","23.1",",,N,19,","127.7",",,,N"
"US10chey049","2011-06","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","9",",N","6",",N","1",",N","20110620",",,N","33.8",",,N,20,","82.5",",,,N"
"US10chey049","2011-07","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","14",",N","7",",N","1",",N","20110713",",,N","38.9",",,N,13,","106.8",",,,N"
"US10chey049","2011-08","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","11",",N","5",",N","1",",N","20110830",",,N","26.4",",,N,30,","54.5",",,,N"
"US10chey049","2011-09","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","4","3,N","4","3,N","0","3,N","20110915",",3,N","10.9","3,,N,15,","25.8","3,,,N"
"US10chey049","2011-11","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20111130","+,,N","0.0",",,N,30,+","0.0",",,,N"
"US10chey049","2011-12","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20111231","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10chey049","2012-01","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20120131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10chey049","2012-02","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20120229","+,,N","0.0",",,N,29,+","0.0",",,,N"
"US10chey049","2012-03","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20120331","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10chey049","2012-04","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","10",",N","6",",N","1",",N","20120427",",,N","32.5",",,N,27,","57.9",",,,N"
"US10chey049","2012-05","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","9",",N","4",",N","0",",N","20120506",",,N","5.3",",,N,06,","24.7",",,,N"
"US10chey049","2012-06","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","5",",N","4",",N","1",",N","20120608",",,N","27.4",",,N,08,","48.2",",,,N"
"US10chey049","2012-07","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","9",",N","5",",N","1",",N","20120704",",,N","34.3",",,N,04,","74.5",",,,N"
"US10chey049","2012-08","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","1",",N","0",",N","0",",N","20120810",",,N","0.3",",,N,10,","0.3",",,,N"
"US10chey049","2012-09","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","5",",N","2",",N","0",",N","20120913",",,N","5.3",",,N,13,","12.9",",,,N"
"US10chey049","2012-10","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","3",",N","2",",N","0",",N","20121006",",,N","10.2",",,N,06,","18.4",",,,N"
"US10chey049","2012-11","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20121130","+,,N","0.0",",,N,30,+","0.0",",,,N"
"US10chey049","2012-12","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20121231","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10chey049","2013-01","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","1",",N","0",",N","0",",N","20130127",",,N","1.3",",,N,27,","1.3",",,,N"
"US10chey049","2013-02","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","1",",N","0",",N","0",",N","20130202",",,N","1.0",",,N,02,","1.0",",,,N"
"US10chey049","2013-03","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","2",",N","1",",N","0",",N","20130322",",,N","3.6",",,N,22,","5.1",",,,N"
"US10chey049","2013-04","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","7",",N","5",",N","0",",N","20130409",",,N","20.3",",,N,09,","54.1",",,,N"
"US10chey049","2013-05","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","12",",N","9",",N","1",",N","20130529",",,N","87.6",",,N,29,","155.6",",,,N"
"US10chey049","2013-06","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","4",",N","0",",N","0",",N","20130605",",,N","2.3",",,N,05,","4.9",",,,N"
"US10chey049","2013-07","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","9",",N","4",",N","1",",N","20130725",",,N","31.0",",,N,25,","64.7",",,,N"
"US10chey049","2013-08","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","9",",N","5",",N","0",",N","20130811",",,N","10.9",",,N,11,","37.8",",,,N"
"US10chey049","2013-09","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","14",",N","11",",N","4",",N","20130910",",,N","33.3",",,N,10,","180.2",",,,N"
"US10chey049","2013-10","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","4","2,N","2","2,N","1","2,N","20131011",",2,N","31.8","2,,N,11,","38.7","2,,,N"
"US10chey049","2013-11","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20131130","+,,N","0.0",",,N,30,+","0.0",",,,N"
"US10chey049","2013-12","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20131231","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10chey049","2014-01","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","1","1,N","1","1,N","0","1,N","20140131",",1,N","7.6","1,,N,31,","7.6","1,,,N"
"US10chey049","2014-03","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","3",",N","2",",N","0",",N","20140328",",,N","3.8",",,N,28,","8.8",",,,N"
"US10chey049","2014-04","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","4",",N","2",",N","0",",N","20140414",",,N","5.1",",,N,14,","11.2",",,,N"
"US10chey049","2014-05","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","10",",N","7",",N","2",",N","20140508",",,N","31.5",",,N,08,","105.0",",,,N"
"US10chey049","2014-06","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","13",",N","7",",N","1",",N","20140609",",,N","47.8",",,N,09,","104.4",",,,N"
"US10chey049","2014-07","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","10","2,N","7","2,N","0","2,N","20140730",",2,N","25.1","2,,N,30,","69.1","2,,,N"
"US10chey049","2014-08","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","14",",N","7",",N","1",",N","20140823",",,N","39.4",",,N,23,","80.2",",,,N"
"US10chey049","2014-09","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","8",",N","7",",N","1",",N","20140930",",,N","36.3",",,N,30,","77.6",",,,N"
"US10chey049","2014-10","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","4",",N","1",",N","1",",N","20141002",",,N","30.0",",,N,02,","33.8",",,,N"
"US10chey049","2014-11","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","1",",N","1",",N","0",",N","20141104",",,N","18.5",",,N,04,","18.5",",,,N"
"US10chey049","2014-12","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20141231","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10chey049","2015-01","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","0",",N","0",",N","0",",N","20150131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10chey049","2015-02","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","1",",N","1",",N","0",",N","20150222",",,N","2.5",",,N,22,","2.5",",,,N"
"US10chey049","2015-03","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","2",",N","1",",N","0",",N","20150324",",,N","3.8",",,N,24,","4.8",",,,N"
"US10chey049","2015-04","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","9",",N","8",",N","2",",N","20150426",",,N","35.8",",,N,26,","131.3",",,,N"
"US10chey049","2015-05","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","17",",N","16",",N","2",",N","20150510",",,N","49.8",",,N,10,","209.5",",,,N"
"US10chey049","2015-06","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","8",",N","6",",N","0",",N","20150602",",,N","25.1",",,N,02,","59.6",",,,N"
"US10chey049","2015-07","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","12",",N","4",",N","0",",N","20150722",",,N","15.0",",,N,22,","50.6",",,,N"
"US10chey049","2015-08","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","5",",N","3",",N","0",",N","20150808",",,N","11.9",",,N,08,","26.0",",,,N"
"US10chey049","2015-09","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","3",",N","1",",N","0",",N","20150918",",,N","2.8",",,N,18,","3.8",",,,N"
"US10chey049","2017-06","41.049212","-103.197481",,"SIDNEY 13.1 WSW, NE US","9",",N","2",",N","0",",N","20170623","+,,N","6.4",",,N,23,+","17.2",",,,N"
