"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10furn014","2005-01","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","2","1,N","2","1,N","0","1,N","","","","","","","","","20050105",",1,N","","","","","8.9","1,,N,05,","12.5","1,,,N","",""
"US10furn014","2005-02","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","3",",N","3",",N","0",",N","","","","","","","","","20050207",",,N","","","","","7.1",",,N,07,","12.6",",,,N","",""
"US10furn014","2005-03","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","5",",N","4",",N","1",",N","","","","","","","","","20050321",",,N","","","","","34.3",",,N,21,","70.2",",,,N","",""
"US10furn014","2005-04","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","8",",N","3",",N","0",",N","","","","","","","","","20050406",",,N","","","","","23.4",",,N,06,","35.0",",,,N","",""
"US10furn014","2005-05","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","7",",N","5",",N","1",",N","","","","","","","","","20050525",",,N","","","","","29.2",",,N,25,","53.1",",,,N","",""
"US10furn014","2005-06","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","11",",N","7",",N","1",",N","","","","","","","","","20050603",",,N","","","","","27.4",",,N,03,","87.6",",,,N","",""
"US10furn014","2005-07","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","6",",N","2",",N","0",",N","","","","","","","","","20050718",",,N","","","","","12.7",",,N,18,","22.9",",,,N","",""
"US10furn014","2005-08","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","11",",N","8",",N","2",",N","","","","","","","","","20050818",",,N","","","","","27.4",",,N,18,","126.4",",,,N","",""
"US10furn014","2005-09","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","6",",N","2",",N","0",",N","","","","","","","","","20050906",",,N","","","","","19.3",",,N,06,","26.2",",,,N","",""
"US10furn014","2005-10","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","6",",N","4",",N","0",",N","","","","","","","","","20051012",",,N","","","","","15.2",",,N,12,","42.3",",,,N","",""
"US10furn014","2005-11","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","2",",N","2",",N","0",",N","","","","","","","","","20051128",",,N","","","","","20.3",",,N,28,","26.4",",,,N","",""
"US10furn014","2005-12","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","1",",N","1",",N","0",",N","","","","","","","","","20051203",",,N","","","","","4.1",",,N,03,","4.1",",,,N","",""
"US10furn014","2006-01","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","2",",N","0",",N","0",",N","","","","","","","","","20060113",",,N","","","","","2.0",",,N,13,","2.8",",,,N","",""
"US10furn014","2006-02","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","0",",N","0",",N","0",",N","","","","","","","","","20060216",",,N","","","","","0.0",",T,N,16,","0.0",",T,,N","",""
"US10furn014","2006-03","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","5",",N","5",",N","0",",N","","","","","","","","","20060320",",,N","","","","","13.0",",,N,20,","46.1",",,,N","",""
"US10furn014","2006-04","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","10",",N","4",",N","0",",N","","","","","","","","","20060407",",,N","","","","","9.7",",,N,07,","29.1",",,,N","",""
"US10furn014","2006-05","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","7",",N","1",",N","1",",N","","","","","","","","","20060531",",,N","","","","","31.8",",,N,31,","36.7",",,,N","",""
"US10furn014","2006-06","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","14",",N","8",",N","1",",N","0","3,N","0","3,N","20060630","+,3,N","20060630","+,3,N","20060617",",,N","0","3,,N,30,+","0","3,,N,30,+","41.7",",,N,17,","112.8",",,,N","0","3,,,N"
"US10furn014","2006-07","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","8",",N","4",",N","1",",N","","","","","","","","","20060721",",,N","","","","","31.8",",,N,21,","71.7",",,,N","",""
"US10furn014","2006-08","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","12",",N","9",",N","2",",N","","","","","","","","","20060819",",,N","","","","","76.2",",,N,19,","179.5",",,,N","",""
"US10furn014","2006-09","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","8",",N","6",",N","0",",N","","","","","","","","","20060922",",,N","","","","","13.2",",,N,22,","53.2",",,,N","",""
"US10furn014","2006-10","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","9",",N","7",",N","1",",N","","","","","","","","","20061009",",,N","","","","","30.5",",,N,09,","89.4",",,,N","",""
"US10furn014","2006-11","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","3",",N","1",",N","0",",N","","","","","","","","","20061115",",,N","","","","","5.3",",,N,15,","7.8",",,,N","",""
"US10furn014","2006-12","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","6",",N","4",",N","1",",N","","","","","","","","","20061230",",,N","","","","","41.7",",,N,30,","90.5",",,,N","",""
"US10furn014","2007-01","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","3",",N","2",",N","0",",N","","","","","","","","","20070121",",,N","","","","","17.3",",,N,21,","21.4",",,,N","",""
"US10furn014","2007-02","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","4",",N","3",",N","0",",N","","","","","","","","","20070224",",,N","","","","","4.1",",,N,24,","9.4",",,,N","",""
"US10furn014","2007-03","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","6",",N","5",",N","0",",N","","","","","","","","","20070329","+,,N","","","","","11.2",",,N,29,+","45.2",",,,N","",""
"US10furn014","2007-04","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","12",",N","8",",N","2",",N","","","","","","","","","20070424",",,N","","","","","52.3",",,N,24,","149.0",",,,N","",""
"US10furn014","2007-05","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","11",",N","5",",N","2",",N","","","","","","","","","20070530",",,N","","","","","47.0",",,N,30,","115.4",",,,N","",""
"US10furn014","2007-06","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","7",",N","5",",N","0",",N","","","","","","","","","20070613",",,N","","","","","19.3",",,N,13,","62.1",",,,N","",""
"US10furn014","2007-07","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","11",",N","7",",N","1",",N","","","","","","","","","20070709",",,N","","","","","26.2",",,N,09,","75.0",",,,N","",""
"US10furn014","2007-08","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","7",",N","3",",N","0",",N","","","","","","","","","20070808",",,N","","","","","7.1",",,N,08,","18.9",",,,N","",""
"US10furn014","2007-09","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","6",",N","4",",N","0",",N","","","","","","","","","20070930",",,N","","","","","14.5",",,N,30,","42.7",",,,N","",""
"US10furn014","2007-10","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","8",",N","2",",N","0",",N","","","","","","","","","20071018","+,,N","","","","","13.0",",,N,18,+","33.1",",,,N","",""
"US10furn014","2007-11","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","1",",N","1",",N","0",",N","","","","","","","","","20071124",",,N","","","","","2.8",",,N,24,","2.8",",,,N","",""
"US10furn014","2007-12","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","10",",N","6",",N","0",",N","","","","","","","","","20071211",",,N","","","","","15.2",",,N,11,","40.6",",,,N","",""
"US10furn014","2008-01","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","1",",N","1",",N","0",",N","","","","","","","","","20080116",",,N","","","","","2.5",",,N,16,","2.5",",,,N","",""
"US10furn014","2008-02","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","2",",N","2",",N","0",",N","","","","","","","","","20080205",",,N","","","","","4.6",",,N,05,","8.7",",,,N","",""
"US10furn014","2008-03","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","3",",N","2",",N","0",",N","","","","","","","","","20080331",",,N","","","","","13.2",",,N,31,","23.1",",,,N","",""
"US10furn014","2008-04","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","9",",N","7",",N","0",",N","","","","","","","","","20080411",",,N","","","","","23.9",",,N,11,","65.7",",,,N","",""
"US10furn014","2008-05","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","15",",N","8",",N","2",",N","","","","","","","","","20080524",",,N","","","","","107.2",",,N,24,","192.0",",,,N","",""
"US10furn014","2008-06","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","13",",N","5",",N","0",",N","","","0","5,N","","","20080630","+,5,N","20080627",",,N","","","0","5,,N,30,+","13.7",",,N,27,","41.3",",,,N","0","5,,,N"
