"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10harl012","2005-08","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","8",",N","8",",N","1",",N","20050818",",,N","42.4",",,N,18,","90.3",",,,N"
"US10harl012","2005-09","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","3",",N","2",",N","0",",N","20050906",",,N","7.6",",,N,06,","11.7",",,,N"
"US10harl012","2005-11","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","2",",N","2",",N","0",",N","20051127",",,N","5.8",",,N,27,","10.4",",,,N"
"US10harl012","2006-02","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","0",",N","0",",N","0",",N","20060228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10harl012","2006-03","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","6",",N","5",",N","0",",N","20060330",",,N","22.9",",,N,30,","54.2",",,,N"
"US10harl012","2006-04","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","6",",N","3",",N","1",",N","20060402",",,N","37.8",",,N,02,","56.6",",,,N"
"US10harl012","2006-05","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","4",",N","3",",N","1",",N","20060530",",,N","37.1",",,N,30,","63.5",",,,N"
"US10harl012","2006-06","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","7",",N","7",",N","2",",N","20060617",",,N","50.8",",,N,17,","125.3",",,,N"
"US10harl012","2006-07","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","4",",N","3",",N","1",",N","20060721",",,N","38.4",",,N,21,","65.1",",,,N"
"US10harl012","2006-08","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","8","2,N","8","2,N","2","2,N","20060819",",2,N","46.5","2,,N,19,","111.9","2,,,N"
"US10harl012","2006-09","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","5",",N","5",",N","1",",N","20060910",",,N","31.8",",,N,10,","51.3",",,,N"
"US10harl012","2006-10","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","7",",N","5",",N","0",",N","20061009",",,N","20.8",",,N,09,","73.4",",,,N"
"US10harl012","2006-11","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","1",",N","1",",N","0",",N","20061115",",,N","10.9",",,N,15,","10.9",",,,N"
"US10harl012","2007-01","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","1",",N","1",",N","0",",N","20070122",",,N","19.6",",,N,22,","19.6",",,,N"
"US10harl012","2007-02","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","1",",N","1",",N","0",",N","20070213",",,N","3.6",",,N,13,","3.6",",,,N"
"US10harl012","2007-03","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","6",",N","6",",N","1",",N","20070325",",,N","41.4",",,N,25,","98.0",",,,N"
"US10harl012","2007-04","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","10",",N","8",",N","2",",N","20070425",",,N","59.7",",,N,25,","132.4",",,,N"
"US10harl012","2007-05","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","10",",N","8",",N","3",",N","20070530",",,N","42.4",",,N,30,","149.3",",,,N"
"US10harl012","2007-06","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","3","5,N","3","5,N","1","5,N","20070613",",5,N","40.9","5,,N,13,","65.0","5,,,N"
"US10harl012","2007-07","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","6",",N","5",",N","2",",N","20070729",",,N","43.7",",,N,29,","100.4",",,,N"
"US10harl012","2007-08","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","4",",N","3",",N","0",",N","20070808",",,N","11.7",",,N,08,","30.5",",,,N"
"US10harl012","2007-09","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","7",",N","6",",N","0",",N","20070907",",,N","18.3",",,N,07,","68.4",",,,N"
"US10harl012","2007-10","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","8",",N","4",",N","0",",N","20071018",",,N","19.8",",,N,18,","51.3",",,,N"
"US10harl012","2007-11","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","1",",N","0",",N","0",",N","20071124",",,N","0.8",",,N,24,","0.8",",,,N"
"US10harl012","2007-12","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","3",",N","3",",N","0",",N","20071215",",,N","17.8",",,N,15,","32.5",",,,N"
"US10harl012","2008-01","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","0",",N","0",",N","0",",N","20080131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10harl012","2008-02","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","0",",N","0",",N","0",",N","20080229","+,,N","0.0",",,N,29,+","0.0",",,,N"
"US10harl012","2008-03","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","3",",N","2",",N","0",",N","20080318",",,N","8.4",",,N,18,","14.8",",,,N"
"US10harl012","2008-04","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","8",",N","8",",N","0",",N","20080411",",,N","18.3",",,N,11,","66.3",",,,N"
"US10harl012","2008-05","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","10",",N","8",",N","1",",N","20080524",",,N","47.5",",,N,24,","122.5",",,,N"
"US10harl012","2008-06","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","8",",N","7",",N","0",",N","20080627",",,N","19.8",",,N,27,","77.8",",,,N"
"US10harl012","2008-07","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","7",",N","6",",N","0",",N","20080708",",,N","24.1",",,N,08,","95.8",",,,N"
"US10harl012","2008-08","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","4",",N","3",",N","1",",N","20080824",",,N","28.2",",,N,24,","46.5",",,,N"
"US10harl012","2008-10","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","4","3,N","3","3,N","1","3,N","20081007",",3,N","42.9","3,,N,07,","69.5","3,,,N"
"US10harl012","2008-11","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","1",",N","1",",N","0",",N","20081111",",,N","23.1",",,N,11,","23.1",",,,N"
"US10harl012","2008-12","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","1",",N","1",",N","0",",N","20081219",",,N","13.2",",,N,19,","13.2",",,,N"
"US10harl012","2009-01","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","0",",N","0",",N","0",",N","20090131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10harl012","2009-02","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","1",",N","0",",N","0",",N","20090210",",,N","2.3",",,N,10,","2.3",",,,N"
"US10harl012","2009-03","40.3073","-99.3492","687.9","HOLDREGE 9.2 S, NE US","0",",N","0",",N","0",",N","20090319",",,N","0.0",",T,N,19,","0.0",",T,,N"
