"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10jeff012","2005-04","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","10",",N","6",",N","1",",N","20050419",",,N","32.3",",,N,19,","74.2",",,,N"
"US10jeff012","2005-05","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","2",",N","2",",N","1",",N","20050512",",,N","50.8",",,N,12,","58.4",",,,N"
"US10jeff012","2005-06","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","8",",N","7",",N","2",",N","20050610",",,N","51.8",",,N,10,","121.2",",,,N"
"US10jeff012","2005-07","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","3",",N","3",",N","2",",N","20050726",",,N","62.7",",,N,26,","114.3",",,,N"
"US10jeff012","2005-08","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","6",",N","5",",N","1",",N","20050813",",,N","47.5",",,N,13,","91.3",",,,N"
"US10jeff012","2005-09","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","2",",N","2",",N","0",",N","20050902",",,N","12.7",",,N,02,","18.0",",,,N"
"US10jeff012","2005-10","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","4",",N","4",",N","0",",N","20051020",",,N","19.8",",,N,20,","45.9",",,,N"
"US10jeff012","2005-11","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","1","2,N","1","2,N","0","2,N","20051128",",2,N","20.3","2,,N,28,","20.3","2,,,N"
"US10jeff012","2006-02","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","0",",N","0",",N","0",",N","20060228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10jeff012","2006-03","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","5",",N","4",",N","0",",N","20060331",",,N","20.8",",,N,31,","36.6",",,,N"
"US10jeff012","2006-04","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","10",",N","9",",N","0",",N","20060403",",,N","24.4",",,N,03,","110.1",",,,N"
"US10jeff012","2006-05","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","8",",N","6",",N","1",",N","20060530",",,N","31.0",",,N,30,","82.3",",,,N"
"US10jeff012","2006-06","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","7",",N","4",",N","1",",N","20060604",",,N","25.9",",,N,04,","61.1",",,,N"
"US10jeff012","2006-07","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","5",",N","5",",N","2",",N","20060721",",,N","34.3",",,N,21,","103.5",",,,N"
"US10jeff012","2006-08","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","9",",N","9",",N","1",",N","20060817",",,N","40.6",",,N,17,","123.3",",,,N"
"US10jeff012","2006-09","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","5",",N","5",",N","1",",N","20060910",",,N","33.8",",,N,10,","103.1",",,,N"
"US10jeff012","2006-10","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","3",",N","3",",N","0",",N","20061011",",,N","6.4",",,N,11,","15.6",",,,N"
"US10jeff012","2006-11","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","1","2,N","1","2,N","0","2,N","20061128",",2,N","3.0","2,,N,28,","3.0","2,,,N"
"US10jeff012","2006-12","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","1",",N","1",",N","0",",N","20061221",",,N","16.3",",,N,21,","16.3",",,,N"
"US10jeff012","2007-01","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","0",",N","0",",N","0",",N","20070131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10jeff012","2007-02","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","0",",N","0",",N","0",",N","20070228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10jeff012","2007-03","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","3",",N","3",",N","1",",N","20070331",",,N","39.4",",,N,31,","73.2",",,,N"
"US10jeff012","2007-04","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","4",",N","2",",N","1",",N","20070425",",,N","44.2",",,N,25,","64.3",",,,N"
"US10jeff012","2007-05","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","8",",N","7",",N","4",",N","20070524",",,N","45.7",",,N,24,","178.5",",,,N"
"US10jeff012","2007-06","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","4",",N","4",",N","2",",N","20070601",",,N","35.8",",,N,01,","79.8",",,,N"
"US10jeff012","2007-07","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","5",",N","5",",N","0",",N","20070729",",,N","20.1",",,N,29,","52.9",",,,N"
"US10jeff012","2007-08","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","9",",N","9",",N","2",",N","20070823",",,N","57.7",",,N,23,","139.5",",,,N"
"US10jeff012","2007-09","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","5",",N","5",",N","1",",N","20070918",",,N","25.4",",,N,18,","64.2",",,,N"
"US10jeff012","2007-10","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","9","1,N","9","1,N","2","1,N","20071008",",1,N","46.5","1,,N,08,","172.2","1,,,N"
"US10jeff012","2007-11","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","0",",N","0",",N","0",",N","20071130","+,,N","0.0",",,N,30,+","0.0",",,,N"
"US10jeff012","2007-12","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","1",",N","1",",N","0",",N","20071202",",,N","18.8",",,N,02,","18.8",",,,N"
"US10jeff012","2008-01","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","0",",N","0",",N","0",",N","20080131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10jeff012","2008-02","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","0",",N","0",",N","0",",N","20080229","+,,N","0.0",",,N,29,+","0.0",",,,N"
"US10jeff012","2008-03","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","4",",N","4",",N","0",",N","20080331",",,N","21.3",",,N,31,","37.1",",,,N"
"US10jeff012","2008-04","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","9",",N","8",",N","1",",N","20080411",",,N","28.4",",,N,11,","119.1",",,,N"
"US10jeff012","2008-05","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","9",",N","9",",N","2",",N","20080530",",,N","52.8",",,N,30,","160.4",",,,N"
"US10jeff012","2008-06","40.3318","-96.9568","415.1","DEWITT 4.6 SSW, NE US","9",",N","9",",N","1",",N","20080612",",,N","27.7",",,N,12,","121.4",",,,N"
