"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10john016","2006-09","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","5",",N","5",",N","3",",N","","","","","20060910",",,N","","","64.5",",,N,10,","165.8",",,,N","",""
"US10john016","2013-06","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","8",",N","7",",N","0",",N","0","5,N","20130630","+,5,N","20130628",",,N","0","5,,N,30,+","20.3",",,N,28,","79.0",",,,N","0","5,,,N"
"US10john016","2013-07","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","3",",N","2",",N","1",",N","","","","","20130730",",,N","","","40.6",",,N,30,","53.6",",,,N","",""
"US10john016","2013-08","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","4",",N","4",",N","2",",N","","","","","20130802",",,N","","","35.6",",,N,02,","72.4",",,,N","",""
"US10john016","2013-09","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","6","1,N","6","1,N","2","1,N","","","","","20130901",",1,N","","","48.3","1,,N,01,","122.3","1,,,N","",""
"US10john016","2013-10","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","6",",N","6",",N","2",",N","","","","","20131015",",,N","","","30.5",",,N,15,","76.4",",,,N","",""
"US10john016","2013-11","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","2",",N","2",",N","0",",N","0","5,N","20131130","+,5,N","20131106",",,N","0","5,,N,30,+","19.1",",,N,06,","24.2",",,,N","0","5,,,N"
"US10john016","2013-12","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","1","1,N","1","1,N","0","1,N","","","","","20131209",",1,N","","","3.8","1,,N,09,","3.8","1,,,N","",""
"US10john016","2014-02","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","5",",N","2",",N","0",",N","0",",N","20140228","+,,N","20140221",",,N","0",",,N,28,+","6.1",",,N,21,","15.5",",,,N","0",",,,N"
"US10john016","2014-03","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","2",",N","1",",N","0",",N","0","1,N","20140331","+,1,N","20140306",",,N","0","1,,N,31,+","3.0",",,N,06,","3.3",",,,N","0","1,,,N"
"US10john016","2014-04","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","8",",N","6",",N","1",",N","0",",N","20140430","+,,N","20140428",",,N","0",",,N,30,+","36.8",",,N,28,","73.6",",,,N","0",",,,N"
"US10john016","2014-05","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","5",",N","4",",N","2",",N","0",",N","20140531","+,,N","20140526",",,N","0",",,N,31,+","66.0",",,N,26,","120.9",",,,N","0",",,,N"
"US10john016","2014-06","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","11",",N","10",",N","4",",N","0","4,N","20140630","+,4,N","20140604",",,N","0","4,,N,30,+","57.2",",,N,04,","268.7",",,,N","0","4,,,N"
"US10john016","2014-07","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","5","2,N","5","2,N","0","2,N","0","3,N","20140731","+,3,N","20140707",",2,N","0","3,,N,31,+","15.2","2,,N,07,","35.7","2,,,N","0","3,,,N"
"US10john016","2014-08","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","13",",N","13",",N","1",",N","0","5,N","20140831","+,5,N","20140807",",,N","0","5,,N,31,+","55.9",",,N,07,","172.7",",,,N","0","5,,,N"
"US10john016","2014-09","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","7",",N","6",",N","1",",N","0","1,N","20140930","+,1,N","20140910",",,N","0","1,,N,30,+","40.6",",,N,10,","84.2",",,,N","0","1,,,N"
"US10john016","2014-10","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","8",",N","7",",N","2",",N","0",",N","20141031","+,,N","20141002",",,N","0",",,N,31,+","66.0",",,N,02,","170.1",",,,N","0",",,,N"
"US10john016","2014-11","40.3348","-96.2326","384.0","TECUMSEH 2.9 SW, NE US","2","2,N","1","2,N","0","2,N","0","2,N","20141130","+,2,N","20141116",",2,N","0","2,,N,30,+","2.5","2,,N,16,","2.8","2,,,N","0","2,,,N"
