"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10plat023","2013-10","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","7",",N","6",",N","2",",N","20131004",",,N","81.8",",,N,04,","167.6",",,,N"
"US10plat023","2013-11","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","1","1,N","1","1,N","0","1,N","20131106",",1,N","23.1","1,,N,06,","23.1","1,,,N"
"US10plat023","2013-12","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","0",",N","0",",N","0",",N","20131231","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10plat023","2014-01","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","0",",N","0",",N","0",",N","20140131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10plat023","2014-02","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","0",",N","0",",N","0",",N","20140228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10plat023","2014-03","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","1",",N","0",",N","0",",N","20140329",",,N","1.8",",,N,29,","1.8",",,,N"
"US10plat023","2014-04","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","7",",N","6",",N","1",",N","20140424",",,N","36.8",",,N,24,","61.6",",,,N"
"US10plat023","2014-05","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","5",",N","3",",N","0",",N","20140512",",,N","12.4",",,N,12,","22.0",",,,N"
"US10plat023","2014-06","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","12",",N","12",",N","4",",N","20140615",",,N","58.2",",,N,15,","239.7",",,,N"
"US10plat023","2014-07","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","2","3,N","2","3,N","0","3,N","20140725",",3,N","7.4","3,,N,25,","9.9","3,,,N"
"US10plat023","2014-08","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","7","1,N","7","1,N","1","1,N","20140826",",1,N","35.6","1,,N,26,","100.3","1,,,N"
"US10plat023","2014-09","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","8",",N","7",",N","0",",N","20140923",",,N","15.0",",,N,23,","77.1",",,,N"
"US10plat023","2014-10","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","5",",N","5",",N","0",",N","20141023",",,N","15.2",",,N,23,","39.5",",,,N"
"US10plat023","2014-11","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","0",",N","0",",N","0",",N","20141130","+,,N","0.0",",,N,30,+","0.0",",,,N"
"US10plat023","2014-12","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","1",",N","1",",N","0",",N","20141216",",,N","22.9",",,N,16,","22.9",",,,N"
"US10plat023","2015-01","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","0",",N","0",",N","0",",N","20150131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10plat023","2015-02","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","0",",N","0",",N","0",",N","20150228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10plat023","2015-03","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","2",",N","2",",N","0",",N","20150325",",,N","4.1",",,N,25,","6.6",",,,N"
"US10plat023","2015-04","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","9",",N","7",",N","0",",N","20150420",",,N","22.9",",,N,20,","77.3",",,,N"
"US10plat023","2015-05","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","9",",N","7",",N","0",",N","20150514",",,N","20.6",",,N,14,","80.3",",,,N"
"US10plat023","2015-06","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","7","3,N","6","3,N","1","3,N","20150611",",3,N","62.2","3,,N,11,","115.0","3,,,N"
"US10plat023","2015-07","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6",",N","5",",N","1",",N","20150703",",,N","37.6",",,N,03,","98.3",",,,N"
"US10plat023","2015-08","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","7",",N","6",",N","1",",N","20150804",",,N","38.1",",,N,04,","93.7",",,,N"
"US10plat023","2015-09","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","8",",N","6",",N","0",",N","20150924",",,N","20.8",",,N,24,","61.8",",,,N"
"US10plat023","2017-06","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","3",",N","3",",N","0",",N","20170628",",,N","20.3",",,N,28,","47.2",",,,N"
"US10plat023","2017-07","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","3","2,N","2","2,N","1","2,N","20170726",",2,N","33.5","2,,N,26,","44.7","2,,,N"
"US10plat023","2017-08","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","10","3,N","7","3,N","1","3,N","20170816",",3,N","67.3","3,,N,16,","141.8","3,,,N"
"US10plat023","2017-09","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6",",N","5",",N","1",",N","20170916",",,N","44.5",",,N,16,","97.0",",,,N"
"US10plat023","2017-10","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6",",N","6",",N","2",",N","20171003",",,N","73.7",",,N,03,","148.4",",,,N"
"US10plat023","2017-12","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","2","3,N","2","3,N","0","3,N","20171222",",3,N","3.0","3,,N,22,","5.5","3,,,N"
"US10plat023","2018-01","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","2",",N","2",",N","1",",N","20180123",",,N","27.9",",,N,23,","30.4",",,,N"
"US10plat023","2018-02","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","2",",N","2",",N","0",",N","20180207",",,N","3.8",",,N,07,","6.8",",,,N"
"US10plat023","2018-03","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","7",",N","5",",N","0",",N","20180317",",,N","14.0",",,N,17,","37.3",",,,N"
"US10plat023","2018-05","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","10","1,N","9","1,N","1","1,N","20180514",",1,N","34.0","1,,N,14,","94.2","1,,,N"
"US10plat023","2018-06","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","13",",N","10",",N","4",",N","20180625",",,N","104.1",",,N,25,","342.6",",,,N"
"US10plat023","2018-07","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","11","1,N","9","1,N","1","1,N","20180701",",1,N","29.5","1,,N,01,","100.1","1,,,N"
"US10plat023","2018-08","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6","1,N","5","1,N","1","1,N","20180816",",1,N","36.8","1,,N,16,","84.8","1,,,N"
"US10plat023","2018-09","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","11","1,N","8","1,N","2","1,N","20180905",",1,N","68.6","1,,N,05,","156.0","1,,,N"
"US10plat023","2018-10","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","11","5,N","9","5,N","1","5,N","20181010",",5,N","36.8","5,,N,10,","80.3","5,,,N"
"US10plat023","2018-11","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6",",N","6",",N","0",",N","20181104",",,N","7.9",",,N,04,","36.2",",,,N"
"US10plat023","2018-12","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","3",",N","3",",N","2",",N","20181227",",,N","41.9",",,N,27,","77.2",",,,N"
"US10plat023","2019-01","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","1",",N","1",",N","0",",N","20190122",",,N","3.0",",,N,22,","3.0",",,,N"
"US10plat023","2019-02","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","0",",N","0",",N","0",",N","20190228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10plat023","2019-03","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","7","1,N","7","1,N","1","1,N","20190314",",1,N","31.0","1,,N,14,","84.3","1,,,N"
"US10plat023","2019-04","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6","3,N","5","3,N","0","3,N","20190422",",3,N","13.0","3,,N,22,","41.5","3,,,N"
"US10plat023","2019-05","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","12",",N","11",",N","3",",N","20190527",",,N","71.1",",,N,27,","190.1",",,,N"
"US10plat023","2019-06","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","14","3,N","11","3,N","0","3,N","20190623",",3,N","24.1","3,,N,23,","121.4","3,,,N"
"US10plat023","2019-07","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6",",N","5",",N","0",",N","20190722",",,N","14.0",",,N,22,","42.6",",,,N"
"US10plat023","2019-08","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","8",",N","8",",N","1",",N","20190812",",,N","44.2",",,N,12,","120.1",",,,N"
"US10plat023","2019-09","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","9",",N","6",",N","0",",N","20190930",",,N","8.9",",,N,30,","39.6",",,,N"
"US10plat023","2019-10","41.6142306","-97.523146",,"HUMPHREY 5.7 SSW, NE US","6",",N","5",",N","0",",N","20191002",",,N","14.5",",,N,02,","33.3",",,,N"
