"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ALCT0001","2007-11","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","6","4,N","4","4,N","2","4,N","0","4,N","20071130","+,4,N","20071115",",4,N","0","4,,N,30,+","32.0","4,,N,15,","98.4","4,,,N","0","4,,,N"
"US1ALCT0001","2007-12","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","10",",N","9",",N","0",",N","0",",N","20071231","+,,N","20071221",",,N","0",",,N,31,+","15.5",",,N,21,","83.9",",,,N","0",",,,N"
"US1ALCT0001","2008-01","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","10",",N","5",",N","0",",N","1",",N","20080117",",,N","20080109",",,N","25",",,N,17,","12.2",",,N,09,","42.9",",,,N","25",",,,N"
"US1ALCT0001","2008-02","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","9","1,N","8","1,N","0","1,N","0","1,N","20080229","+,1,N","20080201",",1,N","0","1,,N,29,+","23.1","1,,N,01,","108.7","1,,,N","0","1,,,N"
"US1ALCT0001","2008-03","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","12","1,N","8","1,N","1","1,N","0","1,N","20080308",",1,N","20080304",",1,N","20","1,,N,08,","25.4","1,,N,04,","119.5","1,,,N","20","1,,,N"
"US1ALCT0001","2008-04","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","11",",N","6",",N","2",",N","0",",N","20080430","+,,N","20080405",",,N","0",",,N,30,+","32.8",",,N,05,","113.4",",,,N","0",",,,N"
"US1ALCT0001","2008-05","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","9","5,N","6","5,N","3","5,N","0","5,N","20080531","+,5,N","20080527",",5,N","0","5,,N,31,+","79.5","5,,N,27,","244.0",",a,,N","0","5,,,N"
"US1ALCT0001","2008-06","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","11",",N","9",",N","2",",N","0",",N","20080630","+,,N","20080626",",,N","0",",,N,30,+","53.3",",,N,26,","158.9",",,,N","0",",,,N"
"US1ALCT0001","2008-07","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","7",",N","5",",N","2",",N","0",",N","20080731","+,,N","20080723",",,N","0",",,N,31,+","110.5",",,N,23,","174.1",",,,N","0",",,,N"
"US1ALCT0001","2008-08","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","13",",N","8",",N","1",",N","0",",N","20080831","+,,N","20080826",",,N","0",",,N,31,+","63.2",",,N,26,","150.3",",,,N","0",",,,N"
"US1ALCT0001","2008-09","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","6",",N","3",",N","0",",N","0",",N","20080930","+,,N","20080906",",,N","0",",,N,30,+","6.6",",,N,06,","19.3",",,,N","0",",,,N"
"US1ALCT0001","2008-10","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","4","3,N","4","3,N","0","3,N","0","3,N","20081031","+,3,N","20081024",",3,N","0","3,,N,31,+","23.9","3,,N,24,","64.5",",a,,N","0","3,,,N"
"US1ALCT0001","2008-11","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","11",",N","7",",N","0",",N","0",",N","20081130","+,,N","20081113","+,,N","0",",,N,30,+","17.5",",,N,13,+","76.5",",,,N","0",",,,N"
"US1ALCT0001","2008-12","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","12","4,N","8","4,N","3","4,N","","","","","20081210",",4,N","","","94.5","4,,N,10,","295.8",",a,,N","",""
"US1ALCT0001","2009-01","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","11","2,N","6","2,N","1","2,N","","","","","20090107",",2,N","","","27.4","2,,N,07,","70.4",",a,,N","",""
"US1ALCT0001","2009-02","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","10",",N","7",",N","1",",N","","","","","20090228",",,N","","","49.8",",,N,28,","96.6",",,,N","",""
"US1ALCT0001","2009-03","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","11",",N","8",",N","2",",N","","","","","20090326",",,N","","","85.9",",,N,26,","167.7",",,,N","",""
"US1ALCT0001","2009-04","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","13",",N","7",",N","2",",N","","","","","20090420",",,N","","","33.8",",,N,20,","111.2",",,,N","",""
"US1ALCT0001","2009-05","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","19",",N","15",",N","2",",N","","","","","20090528",",,N","","","29.7",",,N,28,","202.5",",,,N","",""
"US1ALCT0001","2009-06","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","7","3,N","5","3,N","2","3,N","","","","","20090615",",3,N","","","43.9","3,,N,15,","203.9",",a,,N","",""
"US1ALCT0001","2009-07","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","10",",N","9",",N","1",",N","","","","","20090706",",,N","","","26.4",",,N,06,","119.1",",,,N","",""
"US1ALCT0001","2009-08","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","9",",N","3",",N","1",",N","","","","","20090802",",,N","","","31.0",",,N,02,","62.2",",,,N","",""
"US1ALCT0001","2009-09","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","21",",N","14",",N","3",",N","","","","","20090923",",,N","","","43.7",",,N,23,","228.1",",,,N","",""
"US1ALCT0001","2009-10","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","19",",N","14",",N","3",",N","","","","","20091031",",,N","","","37.8",",,N,31,","210.5",",,,N","",""
"US1ALCT0001","2009-11","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","6","3,N","4","3,N","0","3,N","","","","","20091130",",3,N","","","24.9","3,,N,30,","40.7",",a,,N","",""
"US1ALCT0001","2009-12","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","13",",N","8",",N","2",",N","","","","","20091209",",,N","","","51.6",",,N,09,","111.4",",,,N","",""
"US1ALCT0001","2010-01","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","9","2,N","4","2,N","3","2,N","","","","","20100121",",2,N","","","46.2","2,,N,21,","128.2","2,,,N","",""
"US1ALCT0001","2010-02","34.6224","-87.7941","236.2","TUSCUMBIA 8.9 SW, AL US","12",",N","6",",N","1",",N","","","","","20100205",",,N","","","41.9",",,N,05,","93.1",",,,N","",""
