"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ALMB0049","2008-02","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","9","1,N","6","1,N","2","1,N","0","1,N","20080229","+,1,N","20080201",",1,N","0","1,,N,29,+","42.7","1,,N,01,","151.7","1,,,N","0","1,,,N"
"US1ALMB0049","2008-03","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","9",",N","6",",N","2",",N","0",",N","20080331","+,,N","20080307",",,N","0",",,N,31,+","53.6",",,N,07,","120.2",",,,N","0",",,,N"
"US1ALMB0049","2008-04","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","9",",N","6",",N","2",",N","0",",N","20080430","+,,N","20080405",",,N","0",",,N,30,+","180.8",",,N,05,","270.2",",,,N","0",",,,N"
"US1ALMB0049","2008-05","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","7","1,N","4","1,N","2","1,N","0","1,N","20080531","+,1,N","20080504",",1,N","0","1,,N,31,+","47.2","1,,N,04,","109.5","1,,,N","0","1,,,N"
"US1ALMB0049","2008-06","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","10","4,N","10","4,N","2","4,N","0","3,N","20080630","+,3,N","20080611",",4,N","0","3,,N,30,+","63.2","4,,N,11,","174.1","4,,,N","0","3,,,N"
"US1ALMB0049","2008-08","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","14","1,N","13","1,N","5","1,N","0","1,N","20080831","+,1,N","20080825",",1,N","0","1,,N,31,+","97.0","1,,N,25,","356.9","1,,,N","0","1,,,N"
"US1ALMB0049","2008-09","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","9","1,N","7","1,N","1","1,N","0","1,N","20080930","+,1,N","20080902",",1,N","0","1,,N,30,+","69.3","1,,N,02,","145.8","1,,,N","0","1,,,N"
"US1ALMB0049","2008-10","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","5","1,N","3","1,N","1","1,N","0","1,N","20081031","+,1,N","20081024",",1,N","0","1,,N,31,+","64.3","1,,N,24,","90.7","1,,,N","0","1,,,N"
"US1ALMB0049","2008-11","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","5","2,N","5","2,N","3","2,N","0","2,N","20081130","+,2,N","20081113",",2,N","0","2,,N,30,+","50.5","2,,N,13,","132.6","2,,,N","0","2,,,N"
"US1ALMB0049","2008-12","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","9","4,N","5","4,N","1","4,N","","","","","20081210",",4,N","","","61.0","4,,N,10,","120.0",",a,,N","",""
"US1ALMB0049","2009-01","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","8","1,N","5","1,N","0","1,N","","","","","20090107",",1,N","","","20.6","1,,N,07,","53.4","1,,,N","",""
"US1ALMB0049","2009-02","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","6","2,N","5","2,N","1","2,N","","","","","20090214",",2,N","","","41.7","2,,N,14,","77.4","2,,,N","",""
"US1ALMB0049","2009-03","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","","","","","","","","","","","","","","","","","409.1",",a,,N","",""
"US1ALMB0049","2009-04","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","6","2,N","4","2,N","1","2,N","","","","","20090401",",2,N","","","31.0","2,,N,01,","57.2","2,,,N","",""
"US1ALMB0049","2009-05","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","11","1,N","6","1,N","4","1,N","","","","","20090526",",1,N","","","98.6","1,,N,26,","219.1","1,,,N","",""
"US1ALMB0049","2009-06","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","4","3,N","4","3,N","1","3,N","","","","","20090604",",3,N","","","38.4","3,,N,04,","59.3","3,,,N","",""
"US1ALMB0049","2009-07","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","","","","","","","","","","","","","","","","","140.8",",a,,N","",""
"US1ALMB0049","2009-08","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","","","","","","","","","","","","","","","","","339.2","2,a,,N","",""
"US1ALMB0049","2009-09","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","13","4,N","10","4,N","3","4,N","","","","","20090915",",4,N","","","59.9","4,,N,15,","249.8",",a,,N","",""
"US1ALMB0049","2009-10","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","14",",N","8",",N","2",",N","","","","","20091005",",,N","","","36.3",",,N,05,","161.2",",,,N","",""
"US1ALMB0049","2009-11","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","6",",N","3",",N","2",",N","","","","","20091110",",,N","","","101.9",",,N,10,","137.1",",,,N","",""
"US1ALMB0049","2009-12","30.671","-88.108","10.1","MOBILE 1.2 WSW, AL US","17",",N","13",",N","6",",N","","","","","20091213",",,N","","","175.0",",,N,13,","505.5",",,,N","",""
