"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ALMD0010","2007-11","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","6",",N","4",",N","1",",N","0","1,N","20071130","+,1,N","20071122",",,N","0","1,,N,30,+","29.0",",,N,22,","73.0",",,,N","0","1,,,N"
"US1ALMD0010","2007-12","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","11",",N","6",",N","0",",N","0",",N","20071231","+,,N","20071229",",,N","0",",,N,31,+","9.7",",,N,29,","47.2",",,,N","0",",,,N"
"US1ALMD0010","2008-01","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","8",",N","7",",N","1",",N","0",",N","20080117",",,N","20080130",",,N","3",",,N,17,","26.4",",,N,30,","73.8",",,,N","3",",,,N"
"US1ALMD0010","2008-02","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","12",",N","8",",N","1",",N","0",",N","20080227","+,,N","20080201",",,N","3",",,N,27,+","30.7",",,N,01,","125.2",",,,N","6",",,,N"
"US1ALMD0010","2008-03","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","11",",N","9",",N","2",",N","0",",N","20080308",",,N","20080304",",,N","5",",,N,08,","41.4",",,N,04,","131.3",",,,N","5",",,,N"
"US1ALMD0010","2008-04","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","10",",N","6",",N","2",",N","0",",N","20080430","+,,N","20080428",",,N","0",",,N,30,+","46.2",",,N,28,","131.8",",,,N","0",",,,N"
"US1ALMD0010","2008-05","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","13",",N","9",",N","1",",N","0",",N","20080531","+,,N","20080503",",,N","0",",,N,31,+","26.4",",,N,03,","112.4",",,,N","0",",,,N"
"US1ALMD0010","2008-06","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","7",",N","6",",N","2",",N","0",",N","20080630","+,,N","20080614",",,N","0",",,N,30,+","55.9",",,N,14,","120.1",",,,N","0",",,,N"
"US1ALMD0010","2008-07","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","11",",N","8",",N","0",",N","0",",N","20080731","+,,N","20080710",",,N","0",",,N,31,+","24.4",",,N,10,","75.8",",,,N","0",",,,N"
"US1ALMD0010","2008-08","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","9",",N","9",",N","1",",N","0",",N","20080831","+,,N","20080826",",,N","0",",,N,31,+","93.7",",,N,26,","175.8",",,,N","0",",,,N"
"US1ALMD0010","2008-09","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","5",",N","1",",N","0",",N","0",",N","20080930","+,,N","20080915",",,N","0",",,N,30,+","20.3",",,N,15,","23.7",",,,N","0",",,,N"
"US1ALMD0010","2008-10","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","6",",N","4",",N","1",",N","0",",N","20081031","+,,N","20081008",",,N","0",",,N,31,+","48.3",",,N,08,","74.3",",,,N","0",",,,N"
"US1ALMD0010","2008-11","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","9",",N","6",",N","1",",N","0",",N","20081130","+,,N","20081115",",,N","0",",,N,30,+","80.3",",,N,15,","127.6",",,,N","0",",,,N"
"US1ALMD0010","2008-12","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","18",",N","12",",N","4",",N","","","","","20081210",",,N","","","74.4",",,N,10,","303.9",",,,N","",""
"US1ALMD0010","2009-01","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","11",",N","8",",N","2",",N","","","","","20090107",",,N","","","70.6",",,N,07,","143.6",",,,N","",""
"US1ALMD0010","2009-02","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","12",",N","6",",N","0",",N","","","","","20090227",",,N","","","24.9",",,N,27,","94.2",",,,N","",""
"US1ALMD0010","2009-03","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","13",",N","9",",N","2",",N","","","","","20090326",",,N","","","45.2",",,N,26,","134.2",",,,N","",""
"US1ALMD0010","2009-04","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","10","1,N","7","1,N","2","1,N","","","","","20090403",",1,N","","","38.4","1,,N,03,","134.0","1,,,N","",""
"US1ALMD0010","2009-05","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","20",",N","16",",N","6",",N","","","","","20090502",",,N","","","93.7",",,N,02,","350.3",",,,N","",""
"US1ALMD0010","2009-06","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","9",",N","5",",N","1",",N","","","","","20090605",",,N","","","29.5",",,N,05,","53.4",",,,N","",""
"US1ALMD0010","2009-07","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","11",",N","10",",N","2",",N","","","","","20090713",",,N","","","47.0",",,N,13,","165.3",",,,N","",""
"US1ALMD0010","2009-08","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","8",",N","6",",N","1",",N","","","","","20090802",",,N","","","37.8",",,N,02,","68.8",",,,N","",""
"US1ALMD0010","2009-09","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","19",",N","15",",N","0",",N","","","","","20090927",",,N","","","22.9",",,N,27,","138.7",",,,N","",""
"US1ALMD0010","2009-10","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","18",",N","11",",N","2",",N","","","","","20091007",",,N","","","38.6",",,N,07,","173.5",",,,N","",""
"US1ALMD0010","2009-11","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","7",",N","4",",N","0",",N","","","","","20091130","+,,N","","","18.8",",,N,30,+","65.2",",,,N","",""
"US1ALMD0010","2009-12","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","14",",N","10",",N","2",",N","","","","","20091209",",,N","","","137.2",",,N,09,","255.7",",,,N","",""
"US1ALMD0010","2010-01","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","10",",N","6",",N","3",",N","","","","","20100124",",,N","","","35.8",",,N,24,","138.6",",,,N","",""
"US1ALMD0010","2010-02","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","11",",N","7",",N","1",",N","","","","","20100205",",,N","","","33.3",",,N,05,","79.9",",,,N","",""
"US1ALMD0010","2010-03","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","15",",N","12",",N","0",",N","","","","","20100326",",,N","","","23.1",",,N,26,","131.8",",,,N","",""
"US1ALMD0010","2010-04","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","9",",N","4",",N","0",",N","","","","","20100424",",,N","","","20.8",",,N,24,","63.3",",,,N","",""
"US1ALMD0010","2010-05","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","11",",N","9",",N","1",",N","","","","","20100503",",,N","","","54.1",",,N,03,","106.9",",,,N","",""
"US1ALMD0010","2010-06","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","12",",N","6",",N","2",",N","","","","","20100616",",,N","","","30.2",",,N,16,","113.1",",,,N","",""
"US1ALMD0010","2010-07","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","8",",N","6",",N","0",",N","","","","","20100727",",,N","","","24.1",",,N,27,","80.3",",,,N","",""
"US1ALMD0010","2010-08","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","12",",N","8",",N","2",",N","","","","","20100816",",,N","","","30.7",",,N,16,","135.4",",,,N","",""
"US1ALMD0010","2010-09","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","6",",N","4",",N","0",",N","","","","","20100927",",,N","","","19.8",",,N,27,","50.3",",,,N","",""
"US1ALMD0010","2010-10","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","4",",N","3",",N","1",",N","0","5,N","20101031","+,5,N","20101025",",,N","0","5,,N,31,+","100.3",",,N,25,","128.0",",,,N","0","5,,,N"
"US1ALMD0010","2010-11","34.62023","-86.558954","277.1","HUNTSVILLE 7.2 SSE, AL US","10",",N","9",",N","1",",N","","","","","20101130",",,N","","","118.6",",,N,30,","189.6",",,,N","",""
