"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ARPS0088","2019-09","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","5","1,N","4","1,N","0","1,N","","","","","20190920",",1,N","","","8.9","1,,N,20,","24.1","1,,,N","",""
"US1ARPS0088","2019-10","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","10","4,N","7","4,N","2","4,N","","","","","20191021",",4,N","","","65.5","4,,N,21,","184.0","4,,,N","",""
"US1ARPS0088","2020-05","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","16","3,N","11","3,N","2","3,N","","","","","20200517",",3,N","","","72.4","3,,N,17,","233.6","3,,,N","",""
"US1ARPS0088","2020-06","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","10",",N","7",",N","3",",N","","","","","20200609",",,N","","","81.0",",,N,09,","188.9",",,,N","",""
"US1ARPS0088","2020-07","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","7",",N","4",",N","3",",N","","","","","20200710",",,N","","","68.1",",,N,10,","139.6",",,,N","",""
"US1ARPS0088","2020-08","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","7",",N","5",",N","1",",N","","","","","20200828",",,N","","","81.5",",,N,28,","126.8",",,,N","",""
"US1ARPS0088","2020-09","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","9",",N","7",",N","2",",N","","","","","20200902",",,N","","","58.7",",,N,02,","141.0",",,,N","",""
"US1ARPS0088","2020-10","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","11",",N","5",",N","1",",N","","","","","20201029",",,N","","","27.4",",,N,29,","60.3",",,,N","",""
"US1ARPS0088","2020-11","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","7",",N","3",",N","0",",N","","","","","20201125",",,N","","","23.4",",,N,25,","44.2",",,,N","",""
"US1ARPS0088","2020-12","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","8","1,N","7","1,N","1","1,N","","","","","20201231",",1,N","","","31.0","1,,N,31,","97.1","1,,,N","",""
"US1ARPS0088","2021-01","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","12",",N","7",",N","2",",N","","","","","20210101",",,N","","","37.3",",,N,01,","117.5",",,,N","",""
"US1ARPS0088","2021-02","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","8","4,N","5","4,N","1","4,N","","","","","20210226",",4,N","","","41.7","4,,N,26,","85.2","4,,,N","",""
"US1ARPS0088","2021-03","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","10",",N","8",",N","3",",N","","","","","20210325",",,N","","","37.3",",,N,25,","150.1",",,,N","",""
"US1ARPS0088","2021-04","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","10",",N","7",",N","1",",N","","","","","20210424",",,N","","","42.4",",,N,24,","114.2",",,,N","",""
"US1ARPS0088","2021-05","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","14",",N","10",",N","4",",N","","","","","20210519",",,N","","","62.0",",,N,19,","219.2",",,,N","",""
"US1ARPS0088","2021-06","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","9",",N","8",",N","3",",N","","","","","20210609",",,N","","","47.8",",,N,09,","184.9",",,,N","",""
"US1ARPS0088","2021-07","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","13",",N","7",",N","0",",N","","","","","20210702",",,N","","","22.1",",,N,02,","86.2",",,,N","",""
"US1ARPS0088","2021-08","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","8",",N","4",",N","1",",N","","","","","20210814",",,N","","","33.3",",,N,14,","75.3",",,,N","",""
"US1ARPS0088","2021-09","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","5",",N","3",",N","0",",N","0","5,N","20210930","+,5,N","20210922",",,N","0","5,,N,30,+","5.8",",,N,22,","14.5",",,,N","0","5,,,N"
"US1ARPS0088","2021-10","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","9",",N","6",",N","2",",N","","","","","20211003",",,N","","","66.5",",,N,03,","157.3",",,,N","",""
"US1ARPS0088","2021-11","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","7",",N","6",",N","1",",N","","","","","20211111",",,N","","","33.3",",,N,11,","63.2",",,,N","",""
"US1ARPS0088","2021-12","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","12",",N","8",",N","1",",N","","","","","20211230",",,N","","","47.8",",,N,30,","152.7",",,,N","",""
"US1ARPS0088","2022-01","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","7",",N","7",",N","2",",N","","","","","20220109",",,N","","","87.1",",,N,09,","142.5",",,,N","",""
"US1ARPS0088","2022-02","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","8","2,N","6","2,N","0","2,N","","","","","20220222",",2,N","","","18.8","2,,N,22,","74.1","2,,,N","",""
"US1ARPS0088","2022-03","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","8","1,N","8","1,N","2","1,N","","","","","20220322",",1,N","","","68.3","1,,N,22,","177.1","1,,,N","",""
"US1ARPS0088","2022-04","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","14",",N","11",",N","2",",N","","","","","20220414",",,N","","","42.7",",,N,14,","163.6",",,,N","",""
"US1ARPS0088","2022-05","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","10",",N","6",",N","1",",N","","","","","20220522",",,N","","","46.0",",,N,22,","139.6",",,,N","",""
"US1ARPS0088","2022-06","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","8",",N","7",",N","1",",N","","","","","20220609",",,N","","","29.2",",,N,09,","106.1",",,,N","",""
"US1ARPS0088","2022-07","34.75997","-92.43945","163.4","LITTLE ROCK 5.5 WNW, AR US","7",",N","4",",N","0",",N","","","","","20220713",",,N","","","18.0",",,N,13,","55.4",",,,N","",""
