"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1AZCH0024","2010-03","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","7",",N","3",",N","0",",N","","","","","20100323",",,N","","","5.1",",,N,23,","13.8",",,,N","",""
"US1AZCH0024","2010-04","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","2","1,N","1","1,N","0","1,N","0","5,N","20100430","+,5,N","20100423",",1,N","0","5,,N,30,+","6.6","1,,N,23,","8.1","1,,,N","0","5,,,N"
"US1AZCH0024","2010-05","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","1","1,N","0","1,N","0","1,N","0","2,N","20100531","+,2,N","20100503",",1,N","0","2,,N,31,+","0.3","1,,N,03,","0.3","1,,,N","0","2,,,N"
"US1AZCH0024","2010-06","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0","4,N","0","4,N","0","4,N","0","4,N","20100630","+,4,N","20100630","+,4,N","0","4,,N,30,+","0.0","4,,N,30,+","0.0","4,,,N","0","4,,,N"
"US1AZCH0024","2010-07","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","11","5,N","7","5,N","2","5,N","","","","","20100731",",5,N","","","39.4","5,,N,31,","109.6","5,,,N","",""
"US1AZCH0024","2010-08","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","13",",N","7",",N","0",",N","","","","","20100822","+,,N","","","10.7",",,N,22,+","51.7",",,,N","",""
"US1AZCH0024","2010-09","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","3",",N","1",",N","0",",N","0","4,N","20100930","+,4,N","20100922",",,N","0","4,,N,30,+","8.4",",,N,22,","11.2",",,,N","0","4,,,N"
"US1AZCH0024","2010-10","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","4",",N","3",",N","0",",N","0","4,N","20101031","+,4,N","20101005",",,N","0","4,,N,31,+","6.4",",,N,05,","12.2",",,,N","0","4,,,N"
"US1AZCH0024","2010-11","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0",",N","0",",N","0",",N","0",",N","20101130","+,,N","20101130","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1AZCH0024","2010-12","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","1",",N","1",",N","0",",N","0","1,N","20101231","+,1,N","20101217",",,N","0","1,,N,31,+","2.8",",,N,17,","2.8",",,,N","0","1,,,N"
"US1AZCH0024","2011-01","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0","1,N","0","1,N","0","1,N","0","1,N","20110131","+,1,N","20110131","+,1,N","0","1,,N,31,+","0.0","1,,N,31,+","0.0","1,,,N","0","1,,,N"
"US1AZCH0024","2011-02","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","2",",N","1",",N","0",",N","0","1,N","20110227",",1,N","20110201",",,N","8","1,,N,27,","3.8",",,N,01,","4.1",",,,N","8","1,,,N"
"US1AZCH0024","2011-03","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0",",N","0",",N","0",",N","0",",N","20110331","+,,N","20110331","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1AZCH0024","2011-04","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","1",",N","0",",N","0",",N","0","1,N","20110430","+,1,N","20110410",",,N","0","1,,N,30,+","1.0",",,N,10,","1.0",",,,N","0","1,,,N"
"US1AZCH0024","2011-05","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0",",N","0",",N","0",",N","0",",N","20110531","+,,N","20110531","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1AZCH0024","2011-06","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","1",",N","0",",N","0",",N","0","1,N","20110630","+,1,N","20110630",",,N","0","1,,N,30,+","1.0",",,N,30,","1.0",",,,N","0","1,,,N"
"US1AZCH0024","2011-07","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","12","3,N","6","3,N","1","3,N","","","","","20110724",",3,N","","","33.5","3,,N,24,","78.3","3,,,N","",""
"US1AZCH0024","2011-08","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","10",",N","5",",N","0",",N","","","","","20110812",",,N","","","10.2",",,N,12,","41.7",",,,N","",""
"US1AZCH0024","2011-09","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","8","3,N","5","3,N","0","3,N","","","","","20110905",",3,N","","","14.0","3,,N,05,","39.2","3,,,N","",""
"US1AZCH0024","2011-10","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","1",",N","0",",N","0",",N","0","1,N","20111031","+,1,N","20111003",",,N","0","1,,N,31,+","0.5",",,N,03,","0.5",",,,N","0","1,,,N"
"US1AZCH0024","2011-11","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","5","2,N","1","2,N","0","2,N","","","","","20111114",",2,N","","","9.7","2,,N,14,","12.9","2,,,N","",""
"US1AZCH0024","2011-12","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","5",",N","3",",N","0",",N","0","5,N","20111231","+,5,N","20111214",",,N","0","5,,N,31,+","16.0",",,N,14,","31.8",",,,N","0","5,,,N"
"US1AZCH0024","2012-02","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","2","1,N","1","1,N","0","1,N","0","3,N","20120229","+,3,N","20120217",",1,N","0","3,,N,29,+","3.8","1,,N,17,","4.3","1,,,N","0","3,,,N"
"US1AZCH0024","2012-03","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","2",",N","1",",N","0",",N","0","2,N","20120331","+,2,N","20120319",",,N","0","2,,N,31,+","3.0",",,N,19,","5.0",",,,N","0","2,,,N"
"US1AZCH0024","2012-04","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0","5,N","0","5,N","0","5,N","0","5,N","20120430","+,5,N","20120430","+,5,N","0","5,,N,30,+","0.0","5,,N,30,+","0.0","5,,,N","0","5,,,N"
"US1AZCH0024","2012-05","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0",",N","0",",N","0",",N","0",",N","20120531","+,,N","20120531","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1AZCH0024","2012-06","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0",",N","0",",N","0",",N","0",",N","20120630","+,,N","20120630","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1AZCH0024","2012-07","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","12",",N","6",",N","0",",N","","","","","20120705",",,N","","","14.7",",,N,05,","61.8",",,,N","",""
"US1AZCH0024","2012-09","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","4","1,N","2","1,N","1","1,N","0","5,N","20120930","+,5,N","20120904",",1,N","0","5,,N,30,+","58.2","1,,N,04,","65.1","1,,,N","0","5,,,N"
"US1AZCH0024","2012-10","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","0",",N","0",",N","0",",N","0",",N","20121031","+,,N","20121031","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1AZCH0024","2012-11","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","2",",N","0",",N","0",",N","0","2,N","20121130","+,2,N","20121118",",,N","0","2,,N,30,+","1.8",",,N,18,","2.1",",,,N","0","2,,,N"
"US1AZCH0024","2012-12","31.916101","-110.222179","1130.5","ST. DAVID 1.2 NNW, AZ US","5",",N","2",",N","0",",N","0","5,N","20121231","+,5,N","20121214",",,N","0","5,,N,31,+","13.2",",,N,14,","18.5",",,,N","0","5,,,N"
