"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1AZCN0166","2021-08","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","7",",N","2",",N","0",",N","0","3,N","20210831","+,3,N","20210818",",,N","0","3,,N,31,+","15.7",",,N,18,","22.8",",,,N","0","3,,,N"
"US1AZCN0166","2021-09","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","11",",N","3",",N","0",",N","0","3,N","20210930","+,3,N","20210903",",,N","0","3,,N,30,+","22.6",",,N,03,","44.2",",,,N","0","3,,,N"
"US1AZCN0166","2021-10","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","7",",N","4",",N","0",",N","0","2,N","20211012",",2,N","20211006",",,N","8","2,,N,12,","7.4",",,N,06,","23.3",",,,N","8","2,,,N"
"US1AZCN0166","2021-11","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","0",",N","0",",N","0",",N","0","1,N","20211130","+,1,N","20211124",",,N","0","1,,N,30,+","0.0",",T,N,24,","0.0",",T,,N","0","1,,,N"
"US1AZCN0166","2021-12","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","7","2,N","5","2,N","0","2,N","4","2,N","20211229",",2,N","20211215",",2,N","127","2,,N,29,","14.2","2,,N,15,","47.2",",a,,N","280","2,,,N"
"US1AZCN0166","2022-01","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","2",",N","1",",N","0",",N","1","4,N","20220101",",4,N","20220101",",,N","33","4,,N,01,","2.8",",,N,01,","3.1",",,,N","33","4,,,N"
"US1AZCN0166","2022-02","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","4",",N","3",",N","0",",N","3","1,N","20220223",",1,N","20220223",",,N","152","1,,N,23,","16.8",",,N,23,","27.2",",,,N","274","1,,,N"
"US1AZCN0166","2022-03","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","8",",N","4",",N","0",",N","3","2,N","20220305",",2,N","20220306",",,N","51","2,,N,05,","5.8",",,N,06,","21.8",",,,N","145","2,,,N"
"US1AZCN0166","2022-04","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","1",",N","0",",N","0",",N","0","3,N","20220430","+,3,N","20220412",",,N","0","3,,N,30,+","0.5",",,N,12,","0.5",",,,N","0","3,,,N"
"US1AZCN0166","2022-05","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","0",",N","0",",N","0",",N","0",",N","20220531","+,,N","20220531","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1AZCN0166","2022-06","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","4",",N","2",",N","0",",N","0","1,N","20220630","+,1,N","20220627",",,N","0","1,,N,30,+","4.1",",,N,27,","8.9",",,,N","0","1,,,N"
"US1AZCN0166","2022-07","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","9","1,N","4","1,N","1","1,N","","","","","20220730",",1,N","","","45.0","1,,N,30,","62.3","1,,,N","",""
"US1AZCN0166","2022-08","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","15",",N","6",",N","1",",N","","","","","20220801",",,N","","","49.0",",,N,01,","85.6",",,,N","",""
"US1AZCN0166","2022-10","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","6",",N","2",",N","0",",N","0","2,N","20221031","+,2,N","20221016","+,,N","0","2,,N,31,+","10.7",",,N,16,+","24.3",",,,N","0","2,,,N"
"US1AZCN0166","2022-11","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","3",",N","3",",N","0",",N","1","2,N","20221104",",2,N","20221110",",,N","38","2,,N,04,","4.8",",,N,10,","13.5",",,,N","41","2,,,N"
"US1AZCN0166","2022-12","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","7",",N","3",",N","0",",N","3",",N","20221212",",,N","20221212",",,N","127",",,N,12,","9.7",",,N,12,","26.4",",,,N","224",",,,N"
"US1AZCN0166","2023-01","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","15",",N","8",",N","0",",N","9","2,N","20230115",",2,N","20230115",",,N","229","2,,N,15,","16.0",",,N,15,","74.2",",,,N","827","2,,,N"
"US1AZCN0166","2023-02","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","7",",N","7",",N","0",",N","6","1,N","20230215",",1,N","20230222",",,N","203","1,,N,15,","18.3",",,N,22,","66.0",",,,N","635","1,,,N"
"US1AZCN0166","2023-03","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","11",",N","7",",N","2",",N","4","2,N","20230302",",2,N","20230322",",,N","432","2,,N,02,","31.5",",,N,22,","86.6",",,,N","734","2,,,N"
"US1AZCN0166","2023-04","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","1",",N","0",",N","0",",N","0",",N","20230404",",,N","20230404",",,N","13",",,N,04,","1.3",",,N,04,","1.3",",,,N","13",",,,N"
"US1AZCN0166","2023-05","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","2",",N","1",",N","0",",N","0","3,N","20230510",",3,N","20230518",",,N","0","3,T,N,10,","3.0",",,N,18,","5.0",",,,N","0","3,T,,N"
"US1AZCN0166","2023-06","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","2",",N","1",",N","0",",N","0","3,N","20230630","+,3,N","20230605",",,N","0","3,,N,30,+","3.8",",,N,05,","4.3",",,,N","0","3,,,N"
"US1AZCN0166","2023-07","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","5",",N","1",",N","0",",N","0","1,N","20230731","+,1,N","20230730",",,N","0","1,,N,31,+","22.4",",,N,30,","25.8",",,,N","0","1,,,N"
"US1AZCN0166","2023-08","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","16",",N","9",",N","0",",N","0","1,N","20230831","+,1,N","20230810",",,N","0","1,,N,31,+","11.7",",,N,10,","55.6",",,,N","0","1,,,N"
"US1AZCN0166","2023-09","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","10",",N","3",",N","0",",N","0","2,N","20230930","+,2,N","20230903",",,N","0","2,,N,30,+","6.6",",,N,03,","23.6",",,,N","0","2,,,N"
"US1AZCN0166","2023-10","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","6",",N","2",",N","0",",N","0","1,N","20231031","+,1,N","20231009",",,N","0","1,,N,31,+","6.6",",,N,09,","16.6",",,,N","0","1,,,N"
"US1AZCN0166","2023-11","35.221683","-111.616403","2135.7","FLAGSTAFF 2.9 NE, AZ US","5",",N","3",",N","0",",N","0",",N","20231130","+,,N","20231125",",,N","13",",,N,30,+","5.3",",,N,25,","13.9",",,,N","26",",,,N"
