"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1AZYV0085","2016-05","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","8","1,N","2","1,N","0","1,N","","","","","20160507","+,1,N","","","5.6","1,,N,07,+","17.1","1,,,N","",""
"US1AZYV0085","2016-06","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","5","3,N","3","3,N","0","3,N","","","","","20160629",",3,N","","","16.5","3,,N,29,","28.9","3,,,N","",""
"US1AZYV0085","2016-07","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","12",",N","4",",N","1",",N","","","","","20160702",",,N","","","36.8",",,N,02,","72.7",",,,N","",""
"US1AZYV0085","2016-10","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","4","2,N","3","2,N","0","2,N","","","","","20161027",",2,N","","","20.3","2,,N,27,","34.5","2,,,N","",""
"US1AZYV0085","2017-03","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","3","4,N","1","4,N","1","4,N","","","","","20170323",",4,N","","","30.5","4,,N,23,","33.3","4,,,N","",""
"US1AZYV0085","2017-04","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","2",",N","1",",N","0",",N","","","","","20170401",",,N","","","4.8",",,N,01,","6.1",",,,N","",""
"US1AZYV0085","2017-05","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","3","1,N","1","1,N","0","1,N","","","","","20170509",",1,N","","","4.1","1,,N,09,","6.6","1,,,N","",""
"US1AZYV0085","2017-06","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","0",",N","0",",N","0",",N","","","","","20170630","+,,N","","","0.0",",,N,30,+","0.0",",,,N","",""
"US1AZYV0085","2017-07","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","20","3,N","11","3,N","0","3,N","","","","","20170729",",3,N","","","24.9","3,,N,29,","118.0","3,,,N","",""
"US1AZYV0085","2017-08","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","10",",N","5",",N","0",",N","","","","","20170802",",,N","","","12.2",",,N,02,","41.7",",,,N","",""
"US1AZYV0085","2021-07","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","20","4,N","12","4,N","1","4,N","","","","","20210730",",4,N","","","33.0","4,,N,30,","134.8","1,a,,N","",""
"US1AZYV0085","2021-08","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","10",",N","6",",N","1",",N","","","","","20210810",",,N","","","37.1",",,N,10,","97.2",",,,N","",""
"US1AZYV0085","2021-09","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","7","1,N","3","1,N","0","1,N","","","","","20210927",",1,N","","","11.9","1,,N,27,","27.9","1,,,N","",""
"US1AZYV0085","2021-10","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","5","2,N","4","2,N","0","2,N","","","","","20211005",",2,N","","","17.0","2,,N,05,","34.8","2,,,N","",""
"US1AZYV0085","2021-11","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","1",",N","1",",N","0",",N","0","1,N","20211130","+,1,N","20211124",",,N","0","1,,N,30,+","2.8",",,N,24,","2.8",",,,N","0","1,,,N"
"US1AZYV0085","2021-12","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","8",",N","7",",N","2",",N","","","","","20211224",",,N","","","57.2",",,N,24,","159.0",",,,N","",""
"US1AZYV0085","2022-01","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","2",",N","2",",N","0",",N","0","2,N","20220131","+,2,N","20220101",",,N","0","2,,N,31,+","22.4",",,N,01,","25.4",",,,N","0","2,,,N"
"US1AZYV0085","2022-02","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","2",",N","1",",N","0",",N","0","2,N","20220228","+,2,N","20220223",",,N","0","2,,N,28,+","24.6",",,N,23,","24.9",",,,N","0","2,,,N"
"US1AZYV0085","2022-08","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","19",",N","11",",N","2",",N","","","","","20220824",",,N","","","50.5",",,N,24,","185.7",",,,N","",""
"US1AZYV0085","2022-09","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","2","1,N","1","1,N","0","1,N","0","3,N","20220930","+,3,N","20220912",",1,N","0","3,,N,30,+","11.9","1,,N,12,","13.4","1,,,N","0","3,,,N"
"US1AZYV0085","2022-10","34.509436","-112.510549","1840.7","PRESCOTT 3.6 SW, AZ US","6","1,N","2","1,N","0","1,N","","","","","20221004",",1,N","","","23.1","1,,N,04,","44.5","1,,,N","",""
