"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASD0082","2013-03","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","1",",N","1",",N","0",",N","0","1,N","20130331","+,1,N","20130308",",,N","0","1,,N,31,+","17.3",",,N,08,","17.3",",,,N","0","1,,,N"
"US1CASD0082","2014-03","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","7",",N","2",",N","0",",N","","","","","20140301",",,N","","","20.1",",,N,01,","31.4",",,,N","",""
"US1CASD0082","2014-04","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","4",",N","3",",N","0",",N","0","4,N","20140430","+,4,N","20140403",",,N","0","4,,N,30,+","5.3",",,N,03,","15.5",",,,N","0","4,,,N"
"US1CASD0082","2014-05","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","0",",N","0",",N","0",",N","0",",N","20140531","+,,N","20140531","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0082","2014-06","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","0",",N","0",",N","0",",N","0",",N","20140630","+,,N","20140630","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASD0082","2014-07","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","1",",N","0",",N","0",",N","0","2,N","20140731","+,2,N","20140726",",,N","0","2,,N,31,+","0.5",",,N,26,","0.5",",,,N","0","2,,,N"
"US1CASD0082","2014-08","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","1",",N","0",",N","0",",N","0","1,N","20140831","+,1,N","20140803",",,N","0","1,,N,31,+","2.3",",,N,03,","2.3",",,,N","0","1,,,N"
"US1CASD0082","2014-09","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","1",",N","1",",N","0",",N","0","1,N","20140930","+,1,N","20140917",",,N","0","1,,N,30,+","5.6",",,N,17,","5.6",",,,N","0","1,,,N"
"US1CASD0082","2014-10","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","0",",N","0",",N","0",",N","0",",N","20141031","+,,N","20141031","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0082","2014-11","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","4",",N","1",",N","0",",N","0","5,N","20141130","+,5,N","20141101",",,N","0","5,,N,30,+","5.6",",,N,01,","8.9",",,,N","0","5,,,N"
"US1CASD0082","2014-12","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","9",",N","7",",N","0",",N","","","","","20141213",",,N","","","22.1",",,N,13,","91.1",",,,N","",""
"US1CASD0082","2015-01","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","5",",N","1",",N","0",",N","0","5,N","20150131","+,5,N","20150112",",,N","0","5,,N,31,+","8.4",",,N,12,","11.5",",,,N","0","5,,,N"
"US1CASD0082","2015-02","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","2",",N","1",",N","0",",N","0","2,N","20150228","+,2,N","20150223",",,N","0","2,,N,28,+","7.9",",,N,23,","8.4",",,,N","0","2,,,N"
"US1CASD0082","2015-03","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","3",",N","3",",N","0",",N","0","3,N","20150331","+,3,N","20150302",",,N","0","3,,N,31,+","14.7",",,N,02,","28.4",",,,N","0","3,,,N"
"US1CASD0082","2015-04","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","1",",N","1",",N","0",",N","0","3,N","20150430","+,3,N","20150426",",,N","0","3,,N,30,+","3.3",",,N,26,","3.3",",,,N","0","3,,,N"
"US1CASD0082","2015-05","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","5",",N","2",",N","0",",N","","","","","20150516","+,,N","","","12.7",",,N,16,+","30.4",",,,N","",""
"US1CASD0082","2015-06","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","0",",N","0",",N","0",",N","0",",N","20150630","+,,N","20150630","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASD0082","2015-07","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","5",",N","2",",N","0",",N","","","","","20150720",",,N","","","15.2",",,N,20,","27.5",",,,N","",""
"US1CASD0082","2015-08","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","1",",N","0",",N","0",",N","0",",N","20150831","+,,N","20150825",",,N","0",",,N,31,+","0.3",",,N,25,","0.3",",,,N","0",",,,N"
"US1CASD0082","2015-09","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","2",",N","1",",N","0",",N","0","2,N","20150930","+,2,N","20150916",",,N","0","2,,N,30,+","12.2",",,N,16,","13.5",",,,N","0","2,,,N"
"US1CASD0082","2015-10","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","4",",N","2",",N","0",",N","0","5,N","20151031","+,5,N","20151006",",,N","0","5,,N,31,+","9.1",",,N,06,","15.2",",,,N","0","5,,,N"
"US1CASD0082","2015-11","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","8",",N","5",",N","1",",N","","","","","20151104",",,N","","","27.9",",,N,04,","50.6",",,,N","",""
"US1CASD0082","2015-12","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","8",",N","5",",N","0",",N","","","","","20151223",",,N","","","11.7",",,N,23,","36.7",",,,N","",""
"US1CASD0082","2016-01","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","7",",N","5",",N","1",",N","","","","","20160106",",,N","","","32.0",",,N,06,","73.3",",,,N","",""
"US1CASD0082","2016-02","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","2",",N","1",",N","0",",N","0","2,N","20160229","+,2,N","20160201",",,N","0","2,,N,29,+","11.4",",,N,01,","12.7",",,,N","0","2,,,N"
"US1CASD0082","2016-03","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","6",",N","3",",N","0",",N","","","","","20160308",",,N","","","15.0",",,N,08,","28.0",",,,N","",""
"US1CASD0082","2016-04","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","4",",N","2",",N","0",",N","0","4,N","20160430","+,4,N","20160408",",,N","0","4,,N,30,+","10.7",",,N,08,","20.1",",,,N","0","4,,,N"
"US1CASD0082","2016-05","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","6",",N","2",",N","0",",N","0","5,N","20160531","+,5,N","20160506",",,N","0","5,,N,31,+","21.6",",,N,06,","28.8",",,,N","0","5,,,N"
"US1CASD0082","2016-06","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","0",",N","0",",N","0",",N","0",",N","20160630","+,,N","20160630","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASD0082","2016-07","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","0",",N","0",",N","0",",N","0",",N","20160731","+,,N","20160731","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0082","2016-08","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","0",",N","0",",N","0",",N","0",",N","20160831","+,,N","20160831","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0082","2016-09","32.71885833","-117.0043111","103.3","SPRING VALLEY 0.9 W, CA US","1",",N","1",",N","0",",N","0","1,N","20160930","+,1,N","20160921",",,N","0","1,,N,30,+","9.7",",,N,21,","9.7",",,,N","0","1,,,N"
