"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASJ0006","2008-10","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","1","3,N","1","3,N","0","3,N","0","1,N","20081031","+,1,N","20081031",",3,N","0","1,,N,31,+","7.1","3,,N,31,","7.1","3,,,N","0","1,,,N"
"US1CASJ0006","2008-11","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","2",",N","2",",N","0",",N","0",",N","20081130","+,,N","20081127",",,N","0",",,N,30,+","7.1",",,N,27,","10.9",",,,N","0",",,,N"
"US1CASJ0006","2008-12","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","8",",N","4",",N","0",",N","","","","","20081225",",,N","","","13.0",",,N,25,","39.6",",,,N","",""
"US1CASJ0006","2009-01","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","5","1,N","4","1,N","1","1,N","","","","","20090122",",1,N","","","30.0","1,,N,22,","54.9","1,,,N","",""
"US1CASJ0006","2009-03","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","5","2,N","2","2,N","0","2,N","","","","","20090304",",2,N","","","14.0","2,,N,04,","24.5","2,,,N","",""
"US1CASJ0006","2009-04","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","2",",N","2",",N","0",",N","0","3,N","20090430","+,3,N","20090408",",,N","0","3,,N,30,+","9.1",",,N,08,","14.2",",,,N","0","3,,,N"
"US1CASJ0006","2009-05","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","2","2,N","1","2,N","0","2,N","0","4,N","20090531","+,4,N","20090502",",2,N","0","4,,N,31,+","11.4","2,,N,02,","12.2","2,,,N","0","4,,,N"
"US1CASJ0006","2009-06","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","2","2,N","0","2,N","0","2,N","0","3,N","20090630","+,3,N","20090604",",2,N","0","3,,N,30,+","1.5","2,,N,04,","2.8",",a,,N","0","3,,,N"
"US1CASJ0006","2009-07","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","0",",N","0",",N","0",",N","0",",N","20090731","+,,N","20090731","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASJ0006","2009-08","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","0",",N","0",",N","0",",N","0",",N","20090831","+,,N","20090831","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASJ0006","2009-09","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","1",",N","1",",N","0",",N","0","1,N","20090930","+,1,N","20090914",",,N","0","1,,N,30,+","7.1",",,N,14,","7.1",",,,N","0","1,,,N"
"US1CASJ0006","2009-10","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","3",",N","2",",N","1",",N","0","3,N","20091031","+,3,N","20091014",",,N","0","3,,N,31,+","45.2",",,N,14,","51.3",",,,N","0","3,,,N"
"US1CASJ0006","2009-11","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","4",",N","0",",N","0",",N","0","4,N","20091130","+,4,N","20091128",",,N","0","4,,N,30,+","2.0",",,N,28,","3.4",",,,N","0","4,,,N"
"US1CASJ0006","2009-12","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","8",",N","2",",N","0",",N","","","","","20091207",",,N","","","8.4",",,N,07,","19.7",",,,N","",""
"US1CASJ0006","2010-01","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","15",",N","9",",N","0",",N","","","","","20100122",",,N","","","18.3",",,N,22,","75.1",",,,N","",""
"US1CASJ0006","2010-02","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","9","2,N","6","2,N","1","2,N","","","","","20100224",",2,N","","","27.9","2,,N,24,","73.3",",a,,N","",""
"US1CASJ0006","2010-03","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","8",",N","5",",N","0",",N","","","","","20100313",",,N","","","12.7",",,N,13,","48.4",",,,N","",""
"US1CASJ0006","2010-04","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","9",",N","8",",N","0",",N","","","","","20100421",",,N","","","22.4",",,N,21,","75.6",",,,N","",""
"US1CASJ0006","2010-05","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","3","2,N","3","2,N","0","2,N","0","5,N","20100531","+,5,N","20100511",",2,N","0","5,,N,31,+","4.6","2,,N,11,","11.4","2,,,N","0","5,,,N"
"US1CASJ0006","2010-06","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","0",",N","0",",N","0",",N","0",",N","20100630","+,,N","20100630","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASJ0006","2010-07","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","0",",N","0",",N","0",",N","0",",N","20100731","+,,N","20100731","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASJ0006","2010-08","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","0",",N","0",",N","0",",N","0",",N","20100831","+,,N","20100831","+,,N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASJ0006","2010-09","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","0",",N","0",",N","0",",N","0",",N","20100930","+,,N","20100930","+,,N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASJ0006","2010-10","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","4","2,N","1","2,N","0","2,N","","","","","20101018",",2,N","","","6.4","2,,N,18,","32.1",",a,,N","",""
"US1CASJ0006","2010-11","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","9",",N","7",",N","0",",N","","","","","20101121",",,N","","","16.5",",,N,21,","60.9",",,,N","",""
"US1CASJ0006","2010-12","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","8","3,N","6","3,N","0","3,N","","","","","20101226",",3,N","","","20.8","3,,N,26,","106.0",",a,,N","",""
"US1CASJ0006","2011-01","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","2","5,N","0","5,N","0","5,N","","","","","20110114","+,5,N","","","1.5","5,,N,14,+","21.1",",a,,N","",""
"US1CASJ0006","2011-02","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","8",",N","6",",N","0",",N","","","","","20110219",",,N","","","21.1",",,N,19,","72.2",",,,N","",""
"US1CASJ0006","2011-03","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","14","2,N","10","2,N","0","2,N","","","","","20110325",",2,N","","","18.3","2,,N,25,","79.4","2,,,N","",""
"US1CASJ0006","2011-04","37.941722","-121.258522","7.0","STOCKTON 3.3 SE, CA US","4",",N","0",",N","0",",N","0","3,N","20110430","+,3,N","20110414",",,N","0","3,,N,30,+","2.3",",,N,14,","4.2",",,,N","0","3,,,N"
